source,interpolation,reflux_ratio,equilibrium_stages
Experimental interpolation,linear,0.6805715019840208,13
Experimental interpolation,linear,0.7115065702560218,13
Experimental interpolation,linear,0.7424416385280227,12
Experimental interpolation,linear,0.7733767068000236,12
Experimental interpolation,linear,0.8043117750720246,12
Experimental interpolation,linear,0.8352468433440255,11
Experimental interpolation,linear,0.8661819116160265,11
Experimental interpolation,linear,0.8971169798880274,11
Experimental interpolation,linear,0.9280520481600283,11
Experimental interpolation,linear,0.9589871164320293,11
Experimental interpolation,linear,0.9899221847040303,11
Experimental interpolation,linear,1.0208572529760311,10
Experimental interpolation,linear,1.0517923212480322,10
Experimental interpolation,linear,1.082727389520033,10
Experimental interpolation,linear,1.113662457792034,10
Experimental interpolation,linear,1.1445975260640349,10
Experimental interpolation,linear,1.1755325943360357,10
Experimental interpolation,linear,1.2064676626080368,10
Experimental interpolation,linear,1.2374027308800377,10
Experimental interpolation,linear,1.2683377991520386,10
Experimental interpolation,linear,1.2992728674240397,9
Experimental interpolation,linear,1.3302079356960406,9
Experimental interpolation,linear,1.3611430039680417,9
Experimental interpolation,linear,1.3920780722400425,9
Experimental interpolation,linear,1.4230131405120432,9
Experimental interpolation,linear,1.4539482087840443,9
Experimental interpolation,linear,1.4848832770560452,9
Experimental interpolation,linear,1.5158183453280463,9
Experimental interpolation,linear,1.5467534136000471,9
Experimental interpolation,linear,1.577688481872048,9
Experimental interpolation,linear,1.608623550144049,9
Experimental interpolation,linear,1.63955861841605,9
Experimental interpolation,linear,1.670493686688051,9
Experimental interpolation,linear,1.7014287549600517,9
Experimental interpolation,linear,1.7323638232320526,9
Experimental interpolation,linear,1.7632988915040535,9
Experimental interpolation,linear,1.7942339597760546,9
Experimental interpolation,linear,1.8251690280480557,9
Experimental interpolation,linear,1.8561040963200566,9
Experimental interpolation,pchip,0.6805715019840208,13
Experimental interpolation,pchip,0.7115065702560218,12
Experimental interpolation,pchip,0.7424416385280227,12
Experimental interpolation,pchip,0.7733767068000236,12
Experimental interpolation,pchip,0.8043117750720246,11
Experimental interpolation,pchip,0.8352468433440255,11
Experimental interpolation,pchip,0.8661819116160265,11
Experimental interpolation,pchip,0.8971169798880274,11
Experimental interpolation,pchip,0.9280520481600283,11
Experimental interpolation,pchip,0.9589871164320293,10
Experimental interpolation,pchip,0.9899221847040303,10
Experimental interpolation,pchip,1.0208572529760311,10
Experimental interpolation,pchip,1.0517923212480322,10
Experimental interpolation,pchip,1.082727389520033,10
Experimental interpolation,pchip,1.113662457792034,10
Experimental interpolation,pchip,1.1445975260640349,10
Experimental interpolation,pchip,1.1755325943360357,10
Experimental interpolation,pchip,1.2064676626080368,10
