source,interpolation,stage_from_top,x_liquid_heptane,y_vapor_heptane,section,equilibrium_interpolation_residual
Experimental interpolation,linear,1,0.9644999999999999,0.995,rectifying,0.0
Experimental interpolation,linear,2,0.8766091118945308,0.9803190750239894,rectifying,0.0
Experimental interpolation,linear,3,0.7093998514540799,0.9380135165206671,rectifying,0.0
Experimental interpolation,linear,4,0.5307842865522789,0.8575287097068812,rectifying,0.0
Experimental interpolation,linear,5,0.40873706302649737,0.7715535717438948,stripping,0.0
Experimental interpolation,linear,6,0.29652410064513024,0.6480979526562735,stripping,0.0
Experimental interpolation,linear,7,0.18414542354606395,0.4672804596959805,stripping,5.551115123125783e-17
Experimental interpolation,linear,8,0.10061606258194354,0.28619593769407686,stripping,0.0
Experimental interpolation,linear,9,0.0499586477044527,0.15159856750099168,stripping,0.0
Experimental interpolation,linear,10,0.02246753597117125,0.06997032631021897,stripping,0.0
Experimental interpolation,linear,11,0.008243224121710743,0.025671755121899145,stripping,0.0
Experimental interpolation,pchip,1,0.9621690075219219,0.995,rectifying,0.0
Experimental interpolation,pchip,2,0.8670868590589874,0.9791970709029957,rectifying,0.0
Experimental interpolation,pchip,3,0.6859998917495888,0.9334300581770205,rectifying,3.1086244689504383e-15
Experimental interpolation,pchip,4,0.5051923778738531,0.8462653309244778,rectifying,0.0
Experimental interpolation,pchip,5,0.3909114287237112,0.7592351162914068,stripping,0.0
Experimental interpolation,pchip,6,0.27406593803674334,0.6193741186476635,stripping,1.1102230246251565e-16
Experimental interpolation,pchip,7,0.16564081390130903,0.4310918717364008,stripping,5.551115123125783e-17
Experimental interpolation,pchip,8,0.08861635584538352,0.25637801779279246,stripping,5.551115123125783e-17
Experimental interpolation,pchip,9,0.04274348210507264,0.1322625046940106,stripping,2.7755575615628914e-17
Experimental interpolation,pchip,10,0.018507721297857247,0.05834396757869078,stripping,2.9282132274488504e-15
Experimental interpolation,pchip,11,0.006051221595112349,0.01929099708271105,stripping,3.469446951953614e-18
ThermoFormer,linear,1,0.9739822732501209,0.995,rectifying,0.0
ThermoFormer,linear,2,0.9228410479947105,0.9848832895219257,rectifying,0.0
ThermoFormer,linear,3,0.823448072699887,0.9602668799758295,rectifying,0.0
ThermoFormer,linear,4,0.6857705610480003,0.9124248860923614,rectifying,0.0
ThermoFormer,linear,5,0.5502778800169947,0.8461549444712084,rectifying,1.1102230246251565e-16
ThermoFormer,linear,6,0.4523767537520496,0.7809366531592503,stripping,0.0
ThermoFormer,linear,7,0.380614959841001,0.7184179879097691,stripping,0.0
ThermoFormer,linear,8,0.275986134795429,0.602782615757045,stripping,1.1102230246251565e-16
ThermoFormer,linear,9,0.1691644092259793,0.4341860344474431,stripping,5.551115123125783e-17
ThermoFormer,linear,10,0.0902121857385644,0.262055861593477,stripping,0.0
ThermoFormer,linear,11,0.04243278609936173,0.134833989791208,stripping,2.7755575615628914e-17
ThermoFormer,linear,12,0.017959926235237414,0.057843318886835624,stripping,6.938893903907228e-18
ThermoFormer,linear,13,0.005715639703566601,0.01840829219927423,stripping,0.0
ThermoFormer,pchip,1,0.9722039065897647,0.995,rectifying,1.5543122344752192e-15
ThermoFormer,pchip,2,0.9181762588310115,0.9840272873081379,rectifying,2.220446049250313e-16
ThermoFormer,pchip,3,0.8140168326901732,0.9580215219515288,rectifying,0.0
ThermoFormer,pchip,4,0.6709097862743243,0.9078852360263497,rectifying,0.0
ThermoFormer,pchip,5,0.5351096068403925,0.8390018323552173,rectifying,0.0
ThermoFormer,pchip,6,0.44102846465089157,0.7736355292077313,stripping,0.0
ThermoFormer,pchip,7,0.35954441035335305,0.7001316051148279,stripping,0.0
ThermoFormer,pchip,8,0.2511873298233059,0.5688299969793329,stripping,5.329070518200751e-15
ThermoFormer,pchip,9,0.1487691762624933,0.39422578700088673,stripping,2.2148949341271873e-14
ThermoFormer,pchip,10,0.07688453395918837,0.22919143297011305,stripping,2.7755575615628914e-17
ThermoFormer,pchip,11,0.03520680889290289,0.1133581056272701,stripping,4.599098879509711e-14
ThermoFormer,pchip,12,0.013872208151540602,0.04619953857008796,stripping,5.176414852314792e-15
UNIFAC,linear,1,0.9757580824788211,0.995,rectifying,0.0
UNIFAC,linear,2,0.9308526489386191,0.9857380607369505,rectifying,1.1102230246251565e-16
UNIFAC,linear,3,0.8431215678598346,0.9641231984150181,rectifying,0.0
UNIFAC,linear,4,0.713463258180909,0.9218945617139712,rectifying,0.0
UNIFAC,linear,5,0.5709861942665965,0.8594845972250319,rectifying,0.0
UNIFAC,linear,6,0.46029011067113074,0.7909044304667275,stripping,0.0
UNIFAC,linear,7,0.3888893814023052,0.7311693967367213,stripping,0.0
UNIFAC,linear,8,0.27860375692705674,0.6161158361859537,stripping,0.0
UNIFAC,linear,9,0.16512867628901565,0.43840401302419346,stripping,0.0
UNIFAC,linear,10,0.0838132707628377,0.2555527705384616,stripping,0.0
UNIFAC,linear,11,0.036785284063552026,0.1245229193139429,stripping,4.996003610813204e-16
UNIFAC,linear,12,0.014338604417133487,0.04874305865011964,stripping,0.0
