temperature_K,tie_line,extract_heptane,extract_furfural,extract_benzene,raffinate_heptane,raffinate_furfural,raffinate_benzene
298.15,1,0.054400000000000004,0.9214,0.0242,0.9069,0.06399999999999995,0.0291
298.15,2,0.06389999999999985,0.8731000000000001,0.06300000000000001,0.8509,0.07320000000000004,0.0759
298.15,3,0.07150000000000001,0.8255,0.103,0.7984,0.08189999999999997,0.1197
298.15,4,0.07540000000000002,0.7864,0.1382,0.7496,0.08860000000000001,0.1618
298.15,5,0.09389999999999998,0.7193,0.1868,0.7081,0.09580000000000011,0.1961
298.15,6,0.13070000000000004,0.6253,0.244,0.6030999999999999,0.1343000000000001,0.2626
303.15,1,0.05689999999999995,0.918,0.0251,0.8417999999999999,0.1205000000000001,0.0377
303.15,2,0.061799999999999966,0.8751,0.0631,0.7896999999999998,0.1253000000000001,0.085
303.15,3,0.07150000000000001,0.825,0.1035,0.7439999999999999,0.1345000000000001,0.1215
303.15,4,0.07989999999999997,0.7821,0.138,0.6987,0.1381,0.1632
303.15,5,0.0897,0.7211,0.1892,0.6308,0.1556,0.2136
303.15,6,0.12319999999999998,0.6232,0.2536,0.5306,0.1966000000000001,0.2728
