model,T,allocation,N,total_S,status,benzene_recovery,heptane_retention
Experiment-interpolation,303.15,"[0.2, 1.3]",2,1.5,valid,0.6347540200297807,0.837813519581607
ThermoFormer,303.15,"[0.2, 1.3]",2,1.5,valid,0.6257223289947927,0.8249285504795396
UNIFAC-LLE,303.15,"[0.2, 1.3]",2,1.5,valid,0.6937717439549771,0.8277088783180637
Experiment-interpolation,303.15,"[0.3, 1.2]",2,1.5,valid,0.6551829631479816,0.8359581159960179
ThermoFormer,303.15,"[0.3, 1.2]",2,1.5,valid,0.6486859228469688,0.8175532555007027
UNIFAC-LLE,303.15,"[0.3, 1.2]",2,1.5,valid,0.7152566281858042,0.8244150288479156
Experiment-interpolation,303.15,"[0.4, 1.1]",2,1.5,valid,0.6698134333164776,0.8344129406011104
ThermoFormer,303.15,"[0.4, 1.1]",2,1.5,valid,0.6635056051751393,0.8146968493515621
UNIFAC-LLE,303.15,"[0.4, 1.1]",2,1.5,valid,0.7307106264922593,0.8224186595900087
Experiment-interpolation,303.15,"[0.5, 1.0]",2,1.5,valid,0.6805821323141986,0.8331042242352122
ThermoFormer,303.15,"[0.5, 1.0]",2,1.5,valid,0.67318755185508,0.8142406662599412
UNIFAC-LLE,303.15,"[0.5, 1.0]",2,1.5,valid,0.7417445342100112,0.8212382060553853
Experiment-interpolation,303.15,"[0.6, 0.9]",2,1.5,valid,0.6881720966825274,0.8320047986060097
ThermoFormer,303.15,"[0.6, 0.9]",2,1.5,valid,0.6793004095074531,0.8150502213767603
UNIFAC-LLE,303.15,"[0.6, 0.9]",2,1.5,valid,0.7493010305314782,0.8206102073714368
Experiment-interpolation,303.15,"[0.7, 0.8]",2,1.5,valid,0.6930023409814996,0.831102601690006
ThermoFormer,303.15,"[0.7, 0.8]",2,1.5,valid,0.6826903766440088,0.8164964214452647
UNIFAC-LLE,303.15,"[0.7, 0.8]",2,1.5,valid,0.7539326188208444,0.8203851836472077
Experiment-interpolation,303.15,"[0.8, 0.7]",2,1.5,valid,0.6957013453110235,0.8305499210159765
ThermoFormer,303.15,"[0.8, 0.7]",2,1.5,valid,0.6837976878716071,0.8182273538521657
UNIFAC-LLE,303.15,"[0.8, 0.7]",2,1.5,valid,0.7559351374922246,0.8204790518201673
Experiment-interpolation,303.15,"[0.9, 0.6]",2,1.5,valid,0.6966749995865841,0.8304463863972823
ThermoFormer,303.15,"[0.9, 0.6]",2,1.5,valid,0.6828047957613755,0.8200410475381625
UNIFAC-LLE,303.15,"[0.9, 0.6]",2,1.5,valid,0.7554105234095441,0.8208493802706729
Experiment-interpolation,303.15,"[1.0, 0.5]",2,1.5,valid,0.6953550782080109,0.8306162240514265
ThermoFormer,303.15,"[1.0, 0.5]",2,1.5,valid,0.6797002219388409,0.8218183707004555
UNIFAC-LLE,303.15,"[1.0, 0.5]",2,1.5,valid,0.7522878333657093,0.8214842183051309
Experiment-interpolation,303.15,"[1.1, 0.3999999999999999]",2,1.5,valid,0.69148400688366,0.8310888580887387
ThermoFormer,303.15,"[1.1, 0.3999999999999999]",2,1.5,valid,0.6742923430956969,0.8234839048317566
UNIFAC-LLE,303.15,"[1.1, 0.3999999999999999]",2,1.5,valid,0.7463117935327861,0.8223985346315669
