model,stage,stream,flow_mol_s,x_heptane,x_benzene,x_furfural
Experiment-interpolation,1,E1,0.46157161294704685,0.08422126192325435,0.16057638882353303,0.7552023492532126
Experiment-interpolation,1,R1,1.0384283870529532,0.6687598281031661,0.1854236327481653,0.1458165391486685
Experiment-interpolation,2,E2,0.6542930259466313,0.07395993014199573,0.11360328451176815,0.8124367853462361
Experiment-interpolation,2,R2,0.8841353611063218,0.7307339481628088,0.1337117960620502,0.13555425577514107
Experiment-interpolation,3,E3,0.6033923489604407,0.06432838961172554,0.07363061240347557,0.8620409979847988
Experiment-interpolation,3,R3,0.7807430121458815,0.7777878963653753,0.09451404338432819,0.1276980602502965
ThermoFormer,1,E1,0.528718186354644,0.08856554746367179,0.1565024298734603,0.754932022662868
ThermoFormer,1,R1,0.971281813645356,0.7068052835543968,0.18935903380461208,0.10383568264099102
ThermoFormer,2,E2,0.6501586973124543,0.07322502303165285,0.10410098479397488,0.8226739921743722
ThermoFormer,2,R2,0.8211231163329015,0.7780797049938084,0.1415607754905243,0.08035951951566722
ThermoFormer,3,E3,0.5937265566470924,0.0737701346430194,0.06620411380048623,0.8600257515564943
ThermoFormer,3,R3,0.7273965596858093,0.8181231216600134,0.1057630580929284,0.0761138202470581
UNIFAC-LLE,1,E1,0.5395123997551401,0.08886252926930589,0.16989549104384566,0.7412419796868486
UNIFAC-LLE,1,R1,0.9604876002448598,0.7135864083453133,0.18220531169940027,0.10420827995528639
UNIFAC-LLE,2,E2,0.6535342203806986,0.07378337854054116,0.11417678003757152,0.8120398414218873
UNIFAC-LLE,2,R2,0.806953379864161,0.789600675883718,0.12440310947763744,0.08599621463864462
UNIFAC-LLE,3,E3,0.5987979256528129,0.06470224522722903,0.07276010190834986,0.8625376528644212
UNIFAC-LLE,3,R3,0.7081554542113482,0.8450508435138707,0.08023508288707767,0.07471407359905179
