model,T,S,status,E,R,xE,xR,total_balance_error,benzene_recovery,heptane_retention,solvent_to_raffinate,E_benzene_solvent_free
Experiment-interpolation,298.15,0.2,valid,0.11602620428100784,1.083973795718992,"[0.10905817639379516, 0.6805807450810668, 0.2103610785251381]","[0.664849768441617, 0.11165841823807385, 0.22349181332030915]",5.551115123125783e-17,0.09152774051149037,0.9827450823825719,0.12103479944150364,0.6585735683921952
ThermoFormer,298.15,0.2,valid,0.0637541206372707,1.1362458793627292,"[0.11387765074277362, 0.6900921677681827, 0.1960301814890436]","[0.6390106024034272, 0.13729755462151155, 0.22369184297506126]",1.1102230246251565e-16,0.04686649439699475,0.9900997688863494,0.15600378068527174,0.6325434890668047
UNIFAC-LLE,298.15,0.2,valid,0.10928169991370375,1.090718300086296,"[0.0987280830686046, 0.6910570012993141, 0.21021491563208136]","[0.6624480037872365, 0.11412673295285834, 0.22342526325990533]",1.6653345369377348e-16,0.08614741247808566,0.985287491708693,0.12448011616074432,0.6804326899012992
Experiment-interpolation,298.15,0.3,valid,0.27778458751404095,1.022215412485959,"[0.10018353014908835, 0.7032496784235244, 0.19656679142738734]","[0.6901714493028729, 0.10237380192228004, 0.20745474877484715]",5.551115123125783e-17,0.20476209403355727,0.9620507628206841,0.10464807815973937,0.6623979053607529
ThermoFormer,298.15,0.3,valid,0.2369221940988141,1.0630778059011858,"[0.10276765552723982, 0.7164052044983182, 0.18082713997444191]","[0.6669176902836493, 0.12253826235796461, 0.2105440473583861]",5.551115123125783e-17,0.16065736033259326,0.9667982657774026,0.1302677070864489,0.6376250299465371
UNIFAC-LLE,298.15,0.3,valid,0.2645290088266547,1.0354709911733453,"[0.09332162950617572, 0.712018194809614, 0.1946601756842104]","[0.6843717122147208, 0.10782584313052793, 0.2078024446547514]",5.551115123125783e-16,0.19309973749412634,0.9663368934245133,0.1116505326604694,0.6759460916481153
Experiment-interpolation,298.15,0.4,valid,0.42393472010341293,0.9760652798965869,"[0.09255540586993953, 0.7241768792501112, 0.18326771487994928]","[0.7111162516971625, 0.09527669850073332, 0.1936070498021041]",1.1102230246251565e-16,0.29135080279358805,0.9464943862524582,0.09299627738974099,0.6644392768151333
ThermoFormer,298.15,0.4,valid,0.3893035213285576,1.0106964786714423,"[0.09458617508286443, 0.737547205858669, 0.16786661905846645]","[0.6891392391315501, 0.1116757384586411, 0.1991850224098088]",1.1102230246251565e-16,0.24506649717367723,0.9497871849607836,0.11287027561318151,0.6396069038155114
UNIFAC-LLE,298.15,0.4,valid,0.40855276943781393,0.991447230562186,"[0.08900953046727779, 0.7297019805444975, 0.18128848898822475]","[0.7029806747852446, 0.1027570927063049, 0.19426223250845046]",1.6653345369377348e-16,0.27774717841250995,0.9504112406653195,0.10187823498428779,0.6706985473050021
Experiment-interpolation,298.15,0.5,valid,0.5531631968479902,0.9468368031520098,"[0.08693793275758195, 0.7445516060522298, 0.16851046119018825]","[0.7237176103005594, 0.09309043869484278, 0.1831919510045979]",1.1102230246251565e-16,0.349551695303601,0.9344215479842642,0.08814145337784308,0.6596653773624526
ThermoFormer,298.15,0.5,valid,0.5292657940047061,0.9707342059952939,"[0.0885580202600933, 0.7547518464060623, 0.15669013333384435]","[0.7071581470862666, 0.10356662422573043, 0.18927522868800303]",1.1102230246251565e-16,0.3109902293686513,0.9360853669430321,0.1005356647353774,0.638904436333818
UNIFAC-LLE,298.15,0.5,valid,0.5448571583537591,0.955142841646241,"[0.08548604521314607, 0.7448510085472207, 0.1696629462396332]","[0.7190083197147106, 0.09858483148314791, 0.18240684880214153]",1.6653345369377348e-16,0.34665776537269866,0.9364849768085423,0.0941625960860297,0.6649563663708737
