point,source_id,pressure_kPa,T_exp_K,x_alcohol,x_ester,x_DMF,y_exp_alcohol,y_exp_ester,y_exp_DMF,y_tf_alcohol,y_tf_ester,y_tf_DMF,y_unifac_alcohol,y_unifac_ester,y_unifac_DMF,T_tf_K,T_unifac_K,y_tf_MAE,y_unifac_MAE,T_tf_abs_error_K,T_unifac_abs_error_K,alpha_exp,alpha_tf,alpha_unifac
1,V02_1939,101.3,402.73,0.288,0.003,0.7090000000000001,0.632,0.009,0.359,0.635727253416926,0.007433537501580995,0.35683920908149286,0.6416379497828085,0.006947538362002029,0.3514145118551917,401.6653840580105,401.06076294969284,0.0024848356112840554,0.006425299855204933,1.0646159419895298,1.6692370503071743,1.3670886075949364,1.1225247876604179,1.0394704412012394
2,V02_1940,101.3,402.21,0.104,0.149,0.747,0.226,0.383,0.391,0.2314597776638949,0.35510985488213315,0.41343036745397194,0.2545252409553167,0.3215748376691202,0.4238999213755626,403.92966005860757,404.7478893470813,0.01859343007857789,0.04095010822058636,1.7196600586075874,2.537889347081318,1.1828710577893924,1.0708638651352136,0.8818572154565845
3,V02_1941,101.3,402.22,0.091,0.161,0.748,0.202,0.418,0.38,0.2025192307643722,0.3815049350134042,0.41597583422222345,0.22465524085756336,0.3458626969452025,0.4294820621972291,404.02013956801585,405.0478184053592,0.024330043324397133,0.04809153536986332,1.8001395680158225,2.827818405359153,1.1696082651743434,1.0647543115986686,0.8701671528811441
4,V02_1942,101.3,401.97,0.078,0.173,0.749,0.172,0.44,0.388,0.17366807316370522,0.4077087813796401,0.4186231454566547,0.19437353056211387,0.37016810287369106,0.43545836656419806,404.1168508868576,405.3677496860892,0.02152747908023993,0.046554598084206956,2.146850886857578,3.3977496860891847,1.1533808307568223,1.0584700630109518,0.8586385235324995
5,V02_1943,101.3,402.08,0.069,0.179,0.752,0.152,0.461,0.387,0.15420955039292475,0.4225029760300128,0.4232874735770625,0.17355559816596744,0.38403933560725123,0.4424050662267816,404.3142015720286,405.7077450778658,0.02566468264665815,0.05130710959516594,2.23420157202861,3.627745077865825,1.1691046750955605,1.0561231471163541,0.8529687939818653
6,V02_1944,101.3,402.27,0.058,0.188,0.754,0.13,0.477,0.393,0.12996920881357069,0.4429941610791768,0.42703663010725257,0.1473466506224149,0.403346381008452,0.44930696836913125,404.4656005621548,406.0572133925317,0.02269108673816836,0.049102412661031374,2.195600562154823,3.7872133925317257,1.131996726677578,1.0515445361586067,0.844516308544611
7,V02_1945,101.3,402.15,0.052,0.199,0.749,0.114,0.493,0.393,0.11577417674530519,0.4623445721482997,0.42188125110639507,0.13203707260536854,0.42149701151000585,0.446465915884623,404.22283334783725,405.9796042540152,0.020436951901133506,0.04766865899332854,2.0728333478372747,3.829604254015237,1.130036145640483,1.0435285349474617,0.8341590769345143
8,V02_1946,101.3,402.37,0.042,0.203,0.755,0.092,0.5,0.40800000000000003,0.09430892584086266,0.4753605822615523,0.43033049189758504,0.10813109885991053,0.4340945879714101,0.4577743131686771,404.58948561431083,406.5040873335903,0.016426278492298454,0.04393694135239251,2.219485614310827,4.134087333590287,1.1244377811094453,1.0428542623998351,0.8305905916091004
9,V02_1947,101.3,402.33,0.031,0.216,0.753,0.065,0.509,0.42599999999999993,0.06950686627564831,0.5009472697506775,0.4295458639736742,0.0803922373110048,0.4585620429963591,0.46104571969263475,404.540633208507,406.7133344088917,0.005368486832881704,0.033625304669093505,2.2106332085070335,4.383334408891699,1.1238603988603988,1.0343612633231654,0.8186380583620567
10,V02_1948,101.3,402.78,0.274,0.011,0.715,0.601,0.035,0.364,0.6081680457009326,0.02739275714110554,0.36443919715796175,0.6157834967169543,0.025457336130019704,0.35875916715302436,402.0190982938409,401.4226990322607,0.005071495239262959,0.009855664477970089,0.7609017061590748,1.3573009677392633,1.4506126153380732,1.1219410205809845,1.0297760549718322
11,V02_1949,101.3,402.58,0.254,0.024,0.722,0.551,0.08,0.369,0.5665074081322422,0.05993161815216453,0.3735609737155933,0.5768677593340167,0.05529629284546398,0.36783594782052015,402.42338954837254,401.86665181873576,0.013378921231890321,0.017245172889344167,0.15661045162744358,0.7133481812642231,1.5366001209921354,1.1196257683577302,1.0144770440226807
12,V02_1950,101.3,401.83,0.235,0.045,0.72,0.502,0.129,0.369,0.5184580588519269,0.11007959733605044,0.37146234381202264,0.5322333675523486,0.10100498726089599,0.3667616451867538,402.2416001251156,401.8114810053692,0.012613601775966357,0.02015557836823294,0.41160012511562627,0.018518994630767338,1.341965471447543,1.1087880873036606,0.991051146332428
13,V02_1951,101.3,401.48,0.21,0.067,0.723,0.439,0.187,0.374,0.4617570488604578,0.16206115696405116,0.376181794175491,0.4792327055329198,0.14782313568678593,0.3729441587802937,402.3999221000203,402.1318199220788,0.01662589535729923,0.026821803688613394,0.9199221000203011,0.6518199220788006,1.3351239247951585,1.1000435863190918,0.9668084853833838
14,V02_1952,101.3,401.38,0.188,0.085,0.727,0.394,0.234,0.372,0.41334407498389636,0.20437032937338456,0.38228559564271913,0.4335240011105564,0.18569682573228008,0.38077917315716603,402.6406351661362,402.5395018835001,0.019753113751076978,0.03220211617848078,1.2606351661361828,1.159501883500127,1.3135861451179456,1.093566132416955,0.9473931872212598
15,V02_1953,101.3,402.03,0.158,0.102,0.74,0.332,0.284,0.384,0.3517434456083274,0.24793659733935505,0.40031995705231754,0.3741808743891677,0.2244782680357714,0.40134085757506005,403.44474577479286,403.5608601038154,0.024042268440429938,0.03968115464281877,1.414745774792891,1.530860103815428,1.3250649657453342,1.0918715204951561,0.9292865096050553
