stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
1,385.7645535663888,0.002575308858140192,0.9973224946095314,0.00010219653232849687,0.004943872427674843,0.9949997640917909,5.636348053419314e-05
2,385.8019124653084,0.0013648693589740993,0.9984519922017531,0.0001831384392728965,0.0026236468901711567,0.9972750919459042,0.00010126116392453129
3,385.82246283003076,0.0007475778782690105,0.9989262548515001,0.00032616727023095527,0.001437910237927251,0.9983815385668557,0.00018055119521700314
4,385.83553975768797,0.00043312016797539797,0.998987785233072,0.0005790945989527029,0.0008332165425424833,0.9988461223870163,0.0003206610704412284
5,385.8468083088046,0.0002730373529243648,0.9987000968420977,0.001026865804977905,0.0005251763365407251,0.9989063970465151,0.0005684266169441567
6,385.86073105286505,0.00019160545171988374,0.9979873222701003,0.001821072278179688,0.00036836051771519697,0.9986245798471934,0.0010070596350912956
7,385.88242148139614,0.00015026334548359733,0.9966153858416397,0.003234350812876757,0.0002885904920455229,0.9979263516950329,0.00178505781292162
8,385.9197119051816,0.0001294139863493931,0.9941068970347837,0.005763688978866972,0.00024809210226293916,0.9965824139691938,0.003169493928543243
9,385.98651074058597,0.0001191498332169644,0.9895447156454935,0.01033613452128962,0.00022766824025398065,0.9941251188114572,0.005647212948288811
10,386.1096766938612,0.00011455030327548511,0.981136972202782,0.01874847749394263,0.00021761355963442563,0.9896560431648057,0.010126343275559889
11,386.3455001366155,0.00011332745027126305,0.9651851541999547,0.034701518349774085,0.00021310789765097837,0.9814198863229661,0.01836700577938299
12,386.82550394484593,0.00011466967279278277,0.9333707098077793,0.06651462051942789,0.00021191000083062693,0.9657936156263187,0.03399447437285068
13,387.90332048057655,0.00011846755107146787,0.8650971343437712,0.1347843981051573,0.0002132248310555809,0.934628445609493,0.06515832955945138
14,390.6527170257594,0.00012278250774922634,0.7104056755958131,0.28947154189643765,0.0002169452016145615,0.8677482084202742,0.13203484637811122
15,397.80916942765435,0.00011465043962208695,0.42150968994855653,0.5783756596118214,0.00022117209795174806,0.7162137182181879,0.2835651096838604
