component_id,canonical_smiles,inchikey,representative_original_name,representative_formula,representative_raw_smiles,dataset_membership,record_occurrences,binary_record_occurrences,ternary_record_occurrences,unique_systems,identity_methods,has_parseable_smiles,raw_missing_smiles_occurrences,raw_smiles_parse_failures,name_variants,formula_variants,umap_1,umap_2,umap_status,molecular_weight_g_mol,logp,tpsa_a2,primary_functional_family,functional_families,fingerprint_radius,fingerprint_bits
fallback:09c8c05801be25b4,,,1-ethyl-3-methylimidazolium methylsulfate,C7H14N2O4S,,Ternary only,22,0,22,1,name_formula_fallback,False,22,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:0a3ea5943f1d539f,,,glycerol,C3H8O3,,Ternary only,36,0,36,1,name_formula_fallback,False,36,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:18b39535a92cfa87,,,D-xylose,C5H10O5,,Ternary only,22,0,22,1,name_formula_fallback,False,22,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:234c6d4b0f0098c9,,,1-butyl-3-methylimidazolium diethyl phosphate,C12H25N2O4P,,Ternary only,42,0,42,1,name_formula_fallback,False,42,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:2435468cddae75fa,,,石竹烯,C15H24,,Shared,103,78,25,5,name_formula_fallback,False,103,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:2471c64d7f43614f,,,1-癸基-3-甲基咪唑双(三氟甲磺酰)亚胺,C16H27F6N3O4S2,,Binary only,14,14,0,1,name_formula_fallback,False,14,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:2ae13e16f8903d30,,,2-aminoethanol hydrochloride,C2H8ClNO,,Ternary only,37,0,37,1,name_formula_fallback,False,37,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:357f5f5bd0d80acf,,,氢气,H2,,Ternary only,16,0,16,1,name_formula_fallback,False,16,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:4501d0d6bfddcc6a,,,乙酸异丙酯,C5H10O2,,Shared,275,94,181,8,name_formula_fallback,False,275,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:4d0058e9bed0652d,,,乙酸苯酯,C8H8O2,,Binary only,15,15,0,2,name_formula_fallback,False,15,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:4f66b328294879e4,,,1-辛基-3-甲基咪唑双三氟甲磺酰亚胺,C14H23F6N3O4S2,,Shared,39,6,33,3,name_formula_fallback,False,39,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:55966609dcc48188,,,1-ethyl-3-methylimidazolium tetrafluoroborate,C6H11BF4N2,,Ternary only,60,0,60,2,name_formula_fallback,False,60,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:5b8ad43214fe2db4,,,1-butyl-3-methylimidazolium bromide,C8H15BrN2,,Ternary only,88,0,88,2,name_formula_fallback,False,88,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:5e3bddfb41e40d29,,,"1,1,1-三氟-2-丙烯",C3H3F3,,Binary only,44,44,0,1,name_formula_fallback,False,44,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:60985056a62a6059,,,1-methyl-3-octylimidazolium acetate,C14H26N2O2,,Ternary only,114,0,114,2,name_formula_fallback,False,114,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:62ea847887224036,,,"2,3-二甲基-1-辛基咪唑双三氟甲磺酰亚胺",C15H25F6N3O4S2,,Shared,39,6,33,3,name_formula_fallback,False,39,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:6c50d69f00cb369a,,,1-butyl-3-methylimidazolium tetrafluoroborate,C8H15BF4N2,,Ternary only,72,0,72,2,name_formula_fallback,False,72,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:7645054b0e40e378,,,1-decyl-3-methylimidazolium acetate,C16H30N2O2,,Ternary only,111,0,111,2,name_formula_fallback,False,111,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:798af18edd056b45,,,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,C12H19F6N3O4S2,,Ternary only,89,0,89,3,name_formula_fallback,False,89,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:7c0d97d046e0044e,,,1-ethyl-3-methylimidazolium bromide,C6H11BrN2,,Ternary only,47,0,47,1,name_formula_fallback,False,47,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:81afe1f2d822fd5d,,,甲酸异丁酯,C5H10O2,,Binary only,62,62,0,1,name_formula_fallback,False,62,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:89339a0c54f732bb,,,3-hexyl-1-methylimidazolium acetate,C12H22N2O2,,Ternary only,111,0,111,2,name_formula_fallback,False,111,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:95e7f54193c00c2e,,,1-ethyl-3-methylimidazolium hydrogen sulfate,C6H12N2O4S,,Ternary only,10,0,10,1,name_formula_fallback,False,10,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:9b63a65c238214cc,,,1-ethyl-3-methylimidazolium acetate,C8H14N2O2,,Ternary only,90,0,90,2,name_formula_fallback,False,90,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:9d9dd3751b800f25,,,1-ethyl-3-methylimidazolium diethyl phosphate,C10H21N2O4P,,Ternary only,87,0,87,2,name_formula_fallback,False,87,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:9e7a748462a11dd6,,,(S)-1-methyl-4-(1-methylethenyl)cyclohexene,C10H16,,Ternary only,55,0,55,1,name_formula_fallback,False,55,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:aa4d3d71d5f43049,,,1-(methoxymethoxy)-butane,C6H14O2,,Binary only,52,52,0,2,name_formula_fallback,False,52,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:ab7dbdbf034d3efb,,,1-butyl-3-methylimidazolium chloride,C8H15ClN2,,Ternary only,67,0,67,2,name_formula_fallback,False,67,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:b25e63c8696e8bf8,,,2-hydroxyethylammonium acetate,C4H11NO3,,Ternary only,44,0,44,1,name_formula_fallback,False,44,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:b63ac75aa69de5ee,,,1-(2-(2-(戊氧基)乙氧基)乙氧基)戊烷,C14H30O3,,Shared,114,60,54,3,name_formula_fallback,False,114,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:b94569dd5711d885,,,1-ethyl-3-methylimidazolium dicyanamide,C8H11N5,,Ternary only,171,0,171,2,name_formula_fallback,False,171,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:c59c94f20e561d88,,,1-hexyl-3-methylimidazolium chloride,C10H19ClN2,,Ternary only,45,0,45,1,name_formula_fallback,False,45,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:c602ac1290f3b380,,,1-methyl-3-octylimidazolium tetrafluoroborate,C12H23BF4N2,,Ternary only,30,0,30,1,name_formula_fallback,False,30,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:d4cc18a1c3d5b401,,,1-butyl-3-methylimidazolium dibutyl phosphate,C16H33N2O4P,,Ternary only,119,0,119,3,name_formula_fallback,False,119,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:d8cb57b6c8e8471d,,,(S)-2-羟基丙酸异丙酯,C6H12O3,,Binary only,34,34,0,1,name_formula_fallback,False,34,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:d95b315545052123,,,"2-amino-2-(hydroxymethyl)-1,3-propanediol",C4H11NO3,,Ternary only,85,0,85,3,name_formula_fallback,False,85,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:d9df4fd9b4b52f0e,,,(E)-3-苯基-2-丙烯醛,C9H8O,,Binary only,42,42,0,1,name_formula_fallback,False,42,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:dac3f6dfac965522,,,sodium chloride,ClNa,,Ternary only,43,0,43,1,name_formula_fallback,False,43,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:ddfbc2db9f602e7d,,,"顺式-1,3,3,3-四氟丙烯",C3H2F4,,Binary only,208,208,0,3,name_formula_fallback,False,208,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:e1591e1a11bbc209,,,"(1S,2S,5R)-蒎烷",C10H18,,Shared,46,30,16,3,name_formula_fallback,False,46,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:e3bc547e5efe17ce,,,D-fructose,C6H12O6,,Ternary only,64,0,64,1,name_formula_fallback,False,64,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:edcf3a858853717f,,,D-glucose,C6H12O6,,Ternary only,25,0,25,1,name_formula_fallback,False,25,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:efc4790aa0612d13,,,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O4S2,,Ternary only,143,0,143,4,name_formula_fallback,False,143,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:f35cdcca756bacdc,,,1-allyl-3-methylimidazolium chloride,C7H11ClN2,,Ternary only,20,0,20,1,name_formula_fallback,False,20,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:f5d528f59fc9b38a,,,"1,8-二氮杂双环[5.4.0]十一碳-7-烯",C9H16N2,,Binary only,42,42,0,1,name_formula_fallback,False,42,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:f7fca512921887a7,,,"1,3-dimethylimidazolium dimethylphosphate",C7H15N2O4P,,Ternary only,72,0,72,2,name_formula_fallback,False,72,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:f8eb462bdbd19d00,,,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,C8H11F6N3O4S2,,Ternary only,33,0,33,1,name_formula_fallback,False,33,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
fallback:fbbde86d2d698521,,,1-butyl-3-methylimidazolium acetate,C10H18N2O2,,Ternary only,161,0,161,5,name_formula_fallback,False,161,0,1,1,,,unresolved_smiles,,,,unresolved,unresolved,2,2048
smiles:BrCBr,BrCBr,FJBFPHVGVWTDIP-UHFFFAOYSA-N,二溴甲烷,CH2Br2,C(Br)Br,Binary only,65,65,0,4,canonical_smiles,True,0,0,1,1,14.299702644348145,6.675095081329346,projected,173.83499999999998,1.7337,0.0,halogenated,halogenated,2,2048
smiles:BrCCBr,BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,"1,2-二溴乙烷",C2H4Br2,C(CBr)Br,Binary only,51,51,0,3,canonical_smiles,True,0,0,1,1,14.404709815979004,6.691876411437988,projected,187.862,1.7762,0.0,halogenated,halogenated,2,2048
smiles:Brc1ccccc1,Brc1ccccc1,QARVLSVVCXYDNA-UHFFFAOYSA-N,溴苯,C6H5Br,C1=CC=C(C=C1)Br,Binary only,14,14,0,1,canonical_smiles,True,0,0,1,1,14.938458442687988,1.1255853176116943,projected,157.01,2.4491000000000005,0.0,halogenated,halogenated;aromatic,2,2048
smiles:C,C,VNWKTOKETHGBQD-UHFFFAOYSA-N,甲烷,CH4,C,Binary only,25,25,0,3,canonical_smiles,True,0,0,1,1,,,disconnected,16.043,0.6361,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C#CCCCC,C#CCCCC,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,1-己炔,C6H10,CCCCC#C,Binary only,99,99,0,1,canonical_smiles,True,0,0,1,1,13.288067817687988,7.185642242431641,projected,82.146,1.8098,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C/C=C/C,C/C=C/C,IAQRGUVFOMOMEM-ONEGZZNKSA-N,反式-2-丁烯,C4H8,C/C=C/C,Binary only,25,25,0,1,canonical_smiles,True,0,0,1,1,11.637904167175293,5.926618576049805,projected,56.108000000000004,1.5824,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C/C=C/CC#N,C/C=C/CC#N,UVKXJAUUKPDDNW-NSCUHMNNSA-N,3-戊烯腈,C5H7N,C/C=C/CC#N,Binary only,18,18,0,1,canonical_smiles,True,0,0,1,1,11.931642532348633,6.313504695892334,projected,81.11800000000001,1.47618,23.79,other,other,2,2048
smiles:C/C=C\C,C/C=C\C,IAQRGUVFOMOMEM-ARJAWSKDSA-N,顺式-2-丁烯,C4H8,C/C=C\C,Binary only,26,26,0,1,canonical_smiles,True,0,0,1,1,11.566211700439453,5.937954902648926,projected,56.108000000000004,1.5824,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C1=CCCCC1,C1=CCCCC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,环己烯,C6H10,C1CCC=CC1,Shared,130,88,42,3,canonical_smiles,True,0,0,1,1,16.615859985351562,3.934536933898926,projected,82.146,2.1166,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C1CC1,C1CC1,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,环丙烷,C3H6,C1CC1,Binary only,78,78,0,2,canonical_smiles,True,0,0,1,1,16.665374755859375,4.067130088806152,projected,42.080999999999996,1.1703,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C1CCCC1,C1CCCC1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,环戊烷,C5H10,C1CCCC1,Binary only,47,47,0,2,canonical_smiles,True,0,0,1,1,16.71053695678711,4.025638103485107,projected,70.135,1.9505000000000001,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C1CCCCC1,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,环己烷,C6H12,C1CCCCC1,Shared,965,717,248,24,canonical_smiles,True,0,0,1,1,16.71527671813965,3.960930109024048,projected,84.162,2.3406000000000002,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:C1CCOC1,C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,四氢呋喃,C4H8O,C1CCOC1,Shared,155,138,17,6,canonical_smiles,True,0,0,1,1,17.02426528930664,4.138522624969482,projected,72.107,0.7968,9.23,ether,ether,2,2048
smiles:C1CCOCC1,C1CCOCC1,DHXVGJBLRPWPCS-UHFFFAOYSA-N,四氢吡喃,C5H10O,C1CCOCC1,Shared,438,350,88,13,canonical_smiles,True,0,0,1,1,16.88095474243164,4.042872428894043,projected,86.134,1.1869,9.23,ether,ether,2,2048
