dataset,system_family_class,unique_systems,total_data_points,mean_points_per_system,median_points_per_system,min_points_per_system,max_points_per_system,all_systems,all_data_points,system_share_pct,data_point_share_pct,class_rank
Binary,halogenated + hydrocarbon,55,2548,46.32727272727273,40.0,1,147,700,23061,7.857142857142857,11.048957113741816,1
Binary,alcohol + ester,39,1302,33.38461538461539,22.0,9,114,700,23061,5.571428571428571,5.645895668010928,2
Binary,halogenated + halogenated,38,1929,50.76315789473684,40.0,14,209,700,23061,5.428571428571429,8.364771692467803,3
Binary,alcohol + ether,36,1080,30.0,26.5,9,63,700,23061,5.142857142857143,4.683231429686484,4
Binary,alcohol + hydrocarbon,34,1368,40.23529411764706,27.0,9,122,700,23061,4.857142857142857,5.932093144269546,5
Binary,alcohol + alcohol,33,722,21.87878787878788,20.0,11,56,700,23061,4.714285714285714,3.1308269372533717,6
Binary,ester + hydrocarbon,30,957,31.9,27.0,11,99,700,23061,4.285714285714286,4.149863405749968,7
Binary,hydrocarbon + sulfur-containing,30,676,22.533333333333335,18.0,9,58,700,23061,4.285714285714286,2.93135596895191,8
Binary,alcohol + other,29,945,32.58620689655172,27.0,3,120,700,23061,4.142857142857143,4.097827500975673,9
Binary,ether + halogenated,27,1021,37.81481481481482,33.0,13,92,700,23061,3.857142857142857,4.42738823121287,10
Binary,aromatic + hydrocarbon,27,583,21.59259259259259,15.0,12,77,700,23061,3.857142857142857,2.5280777069511298,11
Binary,hydrocarbon + other,19,735,38.68421052631579,26.0,6,138,700,23061,2.7142857142857144,3.187199167425524,12
Binary,alcohol + water,16,757,47.3125,38.5,2,149,700,23061,2.2857142857142856,3.2825983261783964,13
Binary,halogenated + other,16,576,36.0,30.0,18,84,700,23061,2.2857142857142856,2.4977234291661246,14
Binary,ester + ester,14,449,32.07142857142857,32.0,15,60,700,23061,2.0,1.947010103638177,15
Binary,alcohol + aromatic,14,301,21.5,23.0,14,30,700,23061,2.0,1.3052339447552144,16
Binary,alcohol + amide,12,218,18.166666666666668,16.5,15,29,700,23061,1.7142857142857142,0.9453189367330125,17
Binary,alcohol + ketone,11,470,42.72727272727273,38.0,21,106,700,23061,1.5714285714285714,2.038072936993192,18
Binary,hydrocarbon + hydrocarbon,11,390,35.45454545454545,21.0,3,90,700,23061,1.5714285714285714,1.6911669051645635,19
Binary,aromatic + sulfur-containing,11,151,13.727272727272727,12.0,9,25,700,23061,1.5714285714285714,0.6547851350765361,20
Binary,alcohol + halogenated,10,146,14.6,14.5,10,19,700,23061,1.4285714285714286,0.6331035080872469,21
Binary,ether + hydrocarbon,9,322,35.77777777777778,33.0,18,63,700,23061,1.2857142857142858,1.3962967781102293,22
Binary,other + other,8,469,58.625,47.5,5,139,700,23061,1.1428571428571428,2.033736611595334,23
Binary,amine + halogenated,8,365,45.625,44.5,39,58,700,23061,1.1428571428571428,1.5827587702181172,24
Binary,ester + other,8,296,37.0,36.5,12,65,700,23061,1.1428571428571428,1.2835523177659252,25
Binary,aromatic + aromatic,8,229,28.625,22.5,15,66,700,23061,1.1428571428571428,0.9930185161094488,26
Binary,alcohol + sulfur-containing,8,148,18.5,18.5,8,29,700,23061,1.1428571428571428,0.6417761588829626,27
Binary,alcohol + unresolved,7,139,19.857142857142858,24.0,3,34,700,23061,1.0,0.6027492303022419,28
Binary,hydrocarbon + ketone,6,221,36.833333333333336,39.0,21,53,700,23061,0.8571428571428571,0.958327912926586,29
Binary,hydrocarbon + unresolved,6,209,34.833333333333336,20.0,13,69,700,23061,0.8571428571428571,0.9062920081522917,30
Binary,ester + sulfur-containing,6,119,19.833333333333332,18.0,11,29,700,23061,0.8571428571428571,0.5160227223450847,31
Binary,halogenated + ketone,5,182,36.4,39.0,16,54,700,23061,0.7142857142857143,0.7892112224101296,32
Binary,ester + ether,5,119,23.8,16.0,13,52,700,23061,0.7142857142857143,0.5160227223450847,33
Binary,ester + unresolved,5,40,8.0,7.0,3,19,700,23061,0.7142857142857143,0.17345301591431422,34
Binary,acid + alcohol,4,200,50.0,50.0,49,51,700,23061,0.5714285714285714,0.8672650795715711,35
Binary,aromatic + halogenated,4,148,37.0,37.0,13,61,700,23061,0.5714285714285714,0.6417761588829626,36
Binary,other + sulfur-containing,4,138,34.5,32.5,24,49,700,23061,0.5714285714285714,0.598412904904384,37
Binary,amine + hydrocarbon,4,96,24.0,24.5,21,26,700,23061,0.5714285714285714,0.4162872381943541,38
Binary,acid + amide,4,85,21.25,20.5,15,29,700,23061,0.5714285714285714,0.3685876588179177,39
Binary,acid + acid,4,65,16.25,11.0,10,33,700,23061,0.5714285714285714,0.2818611508607606,40
Binary,amide + aromatic,4,65,16.25,16.0,13,20,700,23061,0.5714285714285714,0.2818611508607606,41
Binary,acid + water,3,153,51.0,48.0,31,74,700,23061,0.42857142857142855,0.6634577858722519,42
Binary,ether + other,3,114,38.0,32.0,25,57,700,23061,0.42857142857142855,0.4943410953557955,43
Binary,ether + ketone,3,114,38.0,39.0,27,48,700,23061,0.42857142857142855,0.4943410953557955,44
Binary,other + unresolved,3,102,34.0,26.0,14,62,700,23061,0.42857142857142855,0.44230519058150125,45
Binary,ester + ketone,3,102,34.0,35.0,29,38,700,23061,0.42857142857142855,0.44230519058150125,46
Binary,alcohol + amine,3,99,33.0,16.0,15,68,700,23061,0.42857142857142855,0.42929621438792764,47
Binary,ether + sulfur-containing,3,89,29.666666666666668,28.0,26,35,700,23061,0.42857142857142855,0.3859329604093491,48
