dataset,system_id,system_formula_label,family_1,family_2,family_pair,data_points
Binary,smiles:FCC(F)(F)F || smiles:FCF,C2H2F4 / CH2F2,halogenated,halogenated,halogenated + halogenated,209
Binary,smiles:CCF || smiles:FCF,C2H5F / CH2F2,halogenated,halogenated,halogenated + halogenated,151
Binary,smiles:CCO || smiles:O,C2H6O / H2O,alcohol,water,alcohol + water,149
Binary,smiles:CC(F)F || smiles:CCCC,C2H4F2 / C4H10,halogenated,hydrocarbon,halogenated + hydrocarbon,147
Binary,smiles:O=C=O || smiles:[C-]#[O+],CO2 / CO,other,other,other + other,139
Binary,smiles:CCC || smiles:O=C=O,C3H8 / CO2,hydrocarbon,other,hydrocarbon + other,138
Binary,smiles:CCCCCCC || smiles:N#N,C7H16 / N2,hydrocarbon,other,hydrocarbon + other,136
Binary,smiles:O=C=O || smiles:[Ar],CO2 / Ar,other,other,other + other,133
Binary,smiles:CCCC || smiles:CCO,C4H10 / C2H6O,alcohol,hydrocarbon,alcohol + hydrocarbon,122
Binary,smiles:CCCCCCCCCCCO || smiles:O=C=O,C11H24O / CO2,alcohol,other,alcohol + other,120
Binary,smiles:CCC(C)Cl || smiles:CCCCCCC,C4H9Cl / C7H16,halogenated,hydrocarbon,halogenated + hydrocarbon,119
Binary,smiles:F/C=C/C(F)(F)F || smiles:FCF,C3H2F4 / CH2F2,halogenated,halogenated,halogenated + halogenated,116
Binary,smiles:C=C(F)C(F)(F)F || smiles:CCF,C3H2F4 / C2H5F,halogenated,halogenated,halogenated + halogenated,115
Binary,smiles:CC(C)O || smiles:O,C3H8O / H2O,alcohol,water,alcohol + water,115
Binary,smiles:CO || smiles:COC(=O)OC,CH4O / C3H6O3,alcohol,ester,alcohol + ester,114
Binary,smiles:CCCCCCC || smiles:CCCCCl,C7H16 / C4H9Cl,halogenated,hydrocarbon,halogenated + hydrocarbon,112
Binary,smiles:C1CCCCC1 || smiles:CCO,C6H12 / C2H6O,alcohol,hydrocarbon,alcohol + hydrocarbon,111
Binary,smiles:CCC || smiles:FC(F)F,C3H8 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,111
Binary,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,C8H18 / C3H8O,alcohol,hydrocarbon,alcohol + hydrocarbon,110
Binary,smiles:CC(C)=O || smiles:CO,C3H6O / CH4O,alcohol,ketone,alcohol + ketone,106
Binary,smiles:CCCCO || smiles:CCCOC(C)=O,C4H10O / C5H10O2,alcohol,ester,alcohol + ester,106
Binary,smiles:C=C(F)C(F)(F)F || smiles:FC(F)F,C3H2F4 / CHF3,halogenated,halogenated,halogenated + halogenated,100
Binary,smiles:C#CCCCC || smiles:CCCOC(C)=O,C6H10 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,99
Binary,smiles:CCCO || smiles:O,C3H8O / H2O,alcohol,water,alcohol + water,92
