dataset,rank,system_id,system_label,data_points
Binary,1,smiles:FCC(F)(F)F || smiles:FCF,"1,1,1,2-四氟乙烷 / 二氟甲烷",209
Binary,2,smiles:CCF || smiles:FCF,氟乙烷 / 二氟甲烷,151
Binary,3,smiles:CCO || smiles:O,乙醇 / 水,149
Binary,4,smiles:CC(F)F || smiles:CCCC,"1,1-二氟乙烷 / 丁烷",147
Binary,5,smiles:O=C=O || smiles:[C-]#[O+],二氧化碳 / 一氧化碳,139
Binary,6,smiles:CCC || smiles:O=C=O,丙烷 / 二氧化碳,138
Binary,7,smiles:CCCCCCC || smiles:N#N,正庚烷 / 氮气,136
Binary,8,smiles:O=C=O || smiles:[Ar],二氧化碳 / 氩气,133
Binary,9,smiles:CCCC || smiles:CCO,丁烷 / 乙醇,122
Binary,10,smiles:CCCCCCCCCCCO || smiles:O=C=O,1-十一醇 / 二氧化碳,120
Binary,11,smiles:CCC(C)Cl || smiles:CCCCCCC,2-氯丁烷 / 正庚烷,119
Binary,12,smiles:F/C=C/C(F)(F)F || smiles:FCF,"反式-1,3,3,3-四氟丙烯 / 二氟甲烷",116
Binary,13,smiles:C=C(F)C(F)(F)F || smiles:CCF,"2,3,3,3-四氟-1-丙烯 / 氟乙烷",115
Binary,14,smiles:CC(C)O || smiles:O,2-丙醇 / 水,115
Binary,15,smiles:CO || smiles:COC(=O)OC,甲醇 / 碳酸二甲酯,114
Binary,16,smiles:CCCCCCC || smiles:CCCCCl,正庚烷 / 1-氯丁烷,112
Binary,17,smiles:C1CCCCC1 || smiles:CCO,环己烷 / 乙醇,111
Binary,18,smiles:CCC || smiles:FC(F)F,丙烷 / 三氟甲烷,111
Binary,19,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,异辛烷 / 2-丙醇,110
Binary,20,smiles:CCCCO || smiles:CCCOC(C)=O,1-丁醇 / 乙酸正丙酯,106
Binary,21,smiles:CC(C)=O || smiles:CO,丙酮 / 甲醇,106
Binary,22,smiles:C=C(F)C(F)(F)F || smiles:FC(F)F,"2,3,3,3-四氟-1-丙烯 / 三氟甲烷",100
Binary,23,smiles:C#CCCCC || smiles:CCCOC(C)=O,1-己炔 / 乙酸正丙酯,99
Binary,24,smiles:CCCO || smiles:O,1-丙醇 / 水,92
Binary,25,smiles:COC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,dimethyl ether / 全氟丁烷,92
Binary,26,smiles:C=CC || smiles:CCC,丙烯 / 丙烷,90
Binary,27,smiles:CCC#CCC || smiles:CCCOC(C)=O,3-己炔 / 乙酸正丙酯,88
Binary,28,smiles:CCCC || smiles:CO,丁烷 / 甲醇,87
Binary,29,smiles:CC(C)=C(C)C || smiles:CO,"2,3-二甲基-2-丁烯 / 甲醇",85
Binary,30,smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F || smiles:O=C=O,全氟己烷 / 二氧化碳,84
Binary,31,smiles:FC(F)(F)C(F)(F)F || smiles:FCC(F)(F)F,"六氟乙烷 / 1,1,1,2-四氟乙烷",81
Binary,32,smiles:C=C || smiles:FC(F)Cl,乙烯 / 氯二氟甲烷,79
Binary,33,smiles:C1C[C@@H]2[C@@H]3CC[C@@H](C3)[C@@H]2C1 || smiles:C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,内-四氢二环戊二烯 / 外-四氢二环戊二烯,78
Binary,34,smiles:CC#CCCC || smiles:CCCOC(C)=O,2-己炔 / 乙酸正丙酯,77
Binary,35,smiles:CCCCCCC || smiles:Cc1cnccn1,正庚烷 / 2-甲基吡嗪,77
Binary,36,smiles:CCO || smiles:CCOC(C)=O,乙醇 / 乙酸乙酯,76
Binary,37,smiles:CC(F)(F)CC(F)(F)F || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,3,3-五氟丁烷 / 全氟丁烷",75
Binary,38,smiles:CCC(C)O || smiles:CCCOC(C)=O,2-丁醇 / 乙酸正丙酯,75
Binary,39,smiles:COC || smiles:FC(F)C(F)(F)F,dimethyl ether / 五氟乙烷,75
Binary,40,smiles:CC(=O)O || smiles:O,乙酸 / 水,74
Binary,41,smiles:FC(F)(F)C(F)(F)F || smiles:O=C=O,六氟乙烷 / 二氧化碳,74
Binary,42,smiles:O=C=O || smiles:O=O,二氧化碳 / 氧气,72
Binary,43,smiles:CCCO || smiles:CCOC(=O)C(C)C,1-丙醇 / 2-甲基丙酸乙酯,72
Binary,44,smiles:CCCCC || smiles:N#N,戊烷 / 氮气,71
Binary,45,fallback:ddfbc2db9f602e7d || smiles:FC(F)C(F)F,"顺式-1,3,3,3-四氟丙烯 / 1,1,2,2-四氟乙烷",71
Binary,46,smiles:CCOC(=O)C(C)C || smiles:CO,2-甲基丙酸乙酯 / 甲醇,70
Binary,47,fallback:ddfbc2db9f602e7d || smiles:CC(C)C,"顺式-1,3,3,3-四氟丙烯 / 2-甲基丙烷",69
Binary,48,smiles:C=C(C)[C@H]1CC=C(C)CC1 || smiles:CCCCCO,(R)-1-methyl-4-(1-methylethenyl)cyclohexene / 1-戊醇,69
