dataset,component_count,system_id,system_label,data_points,references,unique_temperatures,unique_pressures,temperature_min_k,temperature_max_k,pressure_min_kpa,pressure_max_kpa,liquid_composition_min,liquid_composition_max,vapor_composition_min,vapor_composition_max,component_order_variants
Binary,2,smiles:FCC(F)(F)F || smiles:FCF,"1,1,1,2-四氟乙烷 / 二氟甲烷",209,4,16,201,258.15,363.15,163.899986423168,4876.999949202944,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCF || smiles:FCF,氟乙烷 / 二氟甲烷,151,2,10,151,253.14999999999998,323.15,239.80001055846398,3138.000042984448,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCO || smiles:O,乙醇 / 水,149,7,101,57,307.44,393.15,13.149985122943999,431.999936069888,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(F)F || smiles:CCCC,"1,1-二氟乙烷 / 丁烷",147,2,10,131,273.15,363.15,103.999979671552,2919.999972784768,0.0,1.0,0.0,1.0,1
Binary,2,smiles:O=C=O || smiles:[C-]#[O+],二氧化碳 / 一氧化碳,139,2,76,139,218.14499999999998,302.94,552.5000253274881,14631.4999398112,0.0,1.0,0.0,1.0,2
Binary,2,smiles:CCC || smiles:O=C=O,丙烷 / 二氧化碳,138,2,12,138,253.14999999999998,330.0,244.200048669568,7206.19998003776,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCCC || smiles:N#N,正庚烷 / 氮气,136,1,10,128,313.59999999999997,523.7,1990.0000622679038,50179.999790734335,0.0172,0.9828,0.005099999999999993,0.9949,1
Binary,2,smiles:O=C=O || smiles:[Ar],二氧化碳 / 氩气,133,2,11,133,223.07,299.21,688.9999986464001,14552.099936871167,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCC || smiles:CCO,丁烷 / 乙醇,122,3,11,119,313.2,423.18999999999994,17.999986226047998,3798.399993892224,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCCCCCCCO || smiles:O=C=O,1-十一醇 / 二氧化碳,120,1,4,120,303.15,333.15,1126.9999745657599,15397.999964331264,0.1116,0.8884,0.00029999999999996696,0.9997,1
Binary,2,smiles:CCC(C)Cl || smiles:CCCCCCC,2-氯丁烷 / 正庚烷,119,2,61,63,288.15,371.46999999999997,3.629968113536,101.299935074816,0.0,1.0,0.0,1.0,2
Binary,2,smiles:F/C=C/C(F)(F)F || smiles:FCF,"反式-1,3,3,3-四氟丙烯 / 二氟甲烷",116,3,6,115,283.15,323.15,308.59995198592,3142.1999642211836,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C=C(F)C(F)(F)F || smiles:CCF,"2,3,3,3-四氟-1-丙烯 / 氟乙烷",115,2,5,114,283.15,323.15,437.40002526335996,1735.1999520857598,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)O || smiles:O,2-丙醇 / 水,115,7,99,3,353.09999999999997,373.2,100.000041986816,101.299935074816,0.0,1.0,0.0,1.0,2
Binary,2,smiles:CO || smiles:COC(=O)OC,甲醇 / 碳酸二甲酯,114,4,75,42,326.40999999999997,413.15,66.659984098688,1097.9999597231358,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCCC || smiles:CCCCCl,正庚烷 / 1-氯丁烷,112,2,61,57,288.15,371.46999999999997,3.629968113536,101.299935074816,0.0,1.0,0.0,1.0,2
Binary,2,smiles:C1CCCCC1 || smiles:CCO,环己烷 / 乙醇,111,4,96,19,314.67999999999995,367.65999999999997,35.969974919296,149.999929657856,0.0,1.0,0.0,1.0,2
Binary,2,smiles:CCC || smiles:FC(F)F,丙烷 / 三氟甲烷,111,2,8,110,283.15,353.15,638.000059892992,5189.499980419968,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,异辛烷 / 2-丙醇,110,3,23,83,330.0,372.37,25.470038505088,101.299935074816,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)=O || smiles:CO,丙酮 / 甲醇,106,5,73,3,313.34,337.65,100.000041986816,101.299935074816,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCO || smiles:CCCOC(C)=O,1-丁醇 / 乙酸正丙酯,106,1,104,3,374.57,452.24,100.000041986816,599.9999852761599,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C=C(F)C(F)(F)F || smiles:FC(F)F,"2,3,3,3-四氟-1-丙烯 / 三氟甲烷",100,2,25,100,193.19,348.4,5.689932021503999,4914.700048491776,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C#CCCCC || smiles:CCCOC(C)=O,1-己炔 / 乙酸正丙酯,99,1,11,99,273.15,363.15,1.006050588928,178.53398282432,0.0,1.0,0.0,1.0,1
