record_type,seed,sample_id,system_id,chemical_family,direction,state_unit,target_state,full_predicted_state,pairwise_predicted_state,full_state_abs_error,pairwise_state_abs_error,delta_state_error_pairwise_minus_full,full_y_mae,pairwise_y_mae,delta_y_error_pairwise_minus_full,mean_abs_manybody_delta_log_gamma,selection_rule,alpha_12_full,alpha_12_pairwise,delta_log_alpha_12_full_minus_pairwise,alpha_13_full,alpha_13_pairwise,delta_log_alpha_13_full_minus_pairwise,alpha_23_full,alpha_23_pairwise,delta_log_alpha_23_full_minus_pairwise,x_1,y_true_1,y_full_1,y_pairwise_1,delta_y_1_full_minus_pairwise,gamma_full_1,gamma_pairwise_1,delta_log_gamma_1_full_minus_pairwise,smiles_1,x_2,y_true_2,y_full_2,y_pairwise_2,delta_y_2_full_minus_pairwise,gamma_full_2,gamma_pairwise_2,delta_log_gamma_2_full_minus_pairwise,smiles_2,x_3,y_true_3,y_full_3,y_pairwise_3,delta_y_3_full_minus_pairwise,gamma_full_3,gamma_pairwise_3,delta_log_gamma_3_full_minus_pairwise,smiles_3,temperature_k,name_1,name_2,name_3,manybody_y_l1,third_component_fraction,ab_edge_ratio_x1_over_x1_plus_x2,ternary_x3_zero_minus_binary_log_gamma_1_full,ternary_x3_zero_minus_binary_log_gamma_2_full,ternary_x3_zero_minus_binary_log_alpha_12_full,ternary_x3_zero_minus_binary_log_gamma_1_pairwise,ternary_x3_zero_minus_binary_log_gamma_2_pairwise,ternary_x3_zero_minus_binary_log_alpha_12_pairwise,delta_log_alpha_12_from_true_binary_full,delta_log_alpha_12_from_true_binary_pairwise,delta_log_gamma_1_from_true_binary_full,delta_log_gamma_1_from_true_binary_pairwise,delta_log_gamma_2_from_true_binary_full,delta_log_gamma_2_from_true_binary_pairwise,delta_log_gamma_3_from_true_binary_full,delta_log_gamma_3_from_true_binary_pairwise
experimental_test,1,state_0768a81236ba3406fc580cf6,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,369.65,369.8068237304688,368.68841552734375,0.15682373046882958,0.9615844726562273,0.8047607421873977,0.18514605096975964,0.18803199859460196,0.0028859476248423166,0.11161685575729448,held-out ternary with all three experimental binary subsystems,0.5863582941887631,0.536736506459338,0.08842372916106811,3.0129808560697695,3.512341450718795,-0.1533529887047551,5.138463778769057,6.543884025866763,-0.241776717865823,0.295,0.638,0.3602809011936188,0.3559519946575165,0.004328906536102295,1.2961584329605105,1.3744938373565674,-0.05868070694707067,CCCO,0.211,0.229,0.4394795298576355,0.4743410646915436,-0.03486153483390808,1.707737684249878,2.0231597423553467,-0.1694910152484791,CCCOCCC,0.494,0.133,0.2002395242452621,0.1697069257497787,0.0305325984954834,1.0975542068481443,1.2211134433746338,-0.10667884507633366,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_0a51ca5f648a0e8aac294b4a,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,362.01,367.87835693359375,369.0146484375,5.868356933593759,7.004648437500009,1.13629150390625,0.04689173438151676,0.05264129216969013,0.005749557788173369,0.06865805187309547,held-out ternary with all three experimental binary subsystems,0.276560653241288,0.2598654966046115,0.06226598122684135,1.391897924516674,1.4926860446888366,-0.06990898243907095,5.032884859807948,5.744071699368295,-0.1321749636659122,0.901,0.882,0.8129540681838989,0.8068420886993408,0.0061119794845581055,1.020685791969299,1.008720874786377,0.011791678834794534,CCCO,0.047,0.083,0.1533375978469848,0.161961942911148,-0.00862434506416318,2.8340837955474854,3.072883367538452,-0.08089761971348497,CCCOCCC,0.0519999999999999,0.035,0.0337083265185356,0.0311959777027368,0.002512348815798801,1.8816429376602173,2.1073477268218994,-0.11328485707100688,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_0c3bdeba5c9a466f3ca4509a,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,387.74,384.3352661132813,384.8788757324219,3.4047338867187023,2.861124267578134,-0.5436096191405682,0.14163158078988394,0.13680478644371036,-0.004826794346173585,0.1265881271054239,held-out ternary with all three experimental binary subsystems,0.7069032668990975,0.5758613936780055,0.20502683884797762,3.9138017890999204,4.989167977464674,-0.24275993170416288,5.536545058375817,8.663834791214327,-0.4477867705521408,0.082,0.41,0.1975526064634323,0.2067748010158538,-0.009222194552421487,1.6138856410980225,1.6854907274246216,-0.043412041298014736,CCCO,0.085,0.167,0.2896862328052521,0.3722071647644043,-0.08252093195915222,1.8420301675796509,2.545085191726685,-0.32329580827714377,CCCOCCC,0.833,0.423,0.512761116027832,0.4210180044174194,0.09174311161041265,1.0094674825668335,1.0227340459823608,-0.013056531741113176,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_197fcdfc23556b129d5bd46b,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,361.82,362.6304016113281,362.85101318359375,0.8104016113281318,1.0310131835937568,0.220611572265625,0.14880314503113426,0.14710793926318486,-0.0016952057679494037,0.12051805635767492,held-out ternary with all three experimental binary subsystems,0.5599312406574046,0.5721027470567437,-0.021504611320043,2.4600009795803026,2.306455534630681,0.06444980260481081,4.393398333502631,4.031540744204672,0.08595441392485359,0.489,0.656,0.4327952563762665,0.4353381097316742,-0.002542853355407715,1.1951764822006226,1.243483543395996,-0.03962289174404382,CCCO,0.314,0.292,0.4963278174400329,0.4886224865913391,0.007705330848693792,1.6119487285614014,1.6553423404693604,-0.02656400221013483,CCCOCCC,0.197,0.052,0.0708768740296363,0.0760394409298896,-0.005162566900253296,1.2666473388671875,1.701892375946045,-0.2953672751188461,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_26fb5847692964c86f018528,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,360.07,363.3750915527344,363.3984069824219,3.305091552734382,3.328406982421882,0.0233154296875,0.09169557449221609,0.1169297137061755,0.02523413921395941,0.16969549693489694,held-out ternary with all three experimental binary subsystems,0.45792504233436276,0.39290294688235494,0.1531428808213683,2.116364835775148,1.7690871143093851,0.17923625788584407,4.621640312542339,4.502605868311531,0.026093377064475787,0.71,0.738,0.6004566550254822,0.5626054406166077,0.03785121440887451,1.1133568286895752,1.0855369567871094,0.025304866088949454,CCCO,0.196,0.225,0.3619803488254547,0.3952904939651489,-0.033310145139694214,1.8405022621154783,2.111525058746338,-0.13737196015497088,CCCOCCC,0.094,0.037,0.0375630296766757,0.0421040877699852,-0.0045410580933095,1.368391752243042,1.9348809719085691,-0.34640966456077055,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_41d5d7c8424be3c2ff83fe0e,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,375.85,380.0971374511719,380.3498840332031,4.247137451171852,4.499884033203102,0.25274658203125,0.17203759626547502,0.15972514923413597,-0.012312447031339047,0.1304551593540286,held-out ternary with all three experimental binary subsystems,0.571349233531936,0.46736260525878887,0.20089522704894425,3.2290372909366223,4.113633755136851,-0.24212272277044966,5.651599934729121,8.801803372477869,-0.4430179498193936,0.239,0.684,0.4259436130523681,0.4444122910499573,-0.018468677997589167,1.3604356050491333,1.4361732006072998,-0.054177130295315845,CCCO,0.06,0.083,0.1871560364961624,0.2387181520462036,-0.051562115550041226,1.8976178169250488,2.603482484817505,-0.31625064707966277,CCCOCCC,0.7010000000000001,0.2329999999999999,0.3869003653526306,0.3168695867061615,0.07003077864646912,1.0435585975646973,1.0656386613845823,-0.02093770068710718,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_4562f7577408da783e286969,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,379.69,370.410400390625,369.82659912109375,9.279599609374998,9.863400878906248,0.58380126953125,0.106982438882192,0.11222890428702038,0.005246465404828385,0.10117520997229662,held-out ternary with all three experimental binary subsystems,0.9138873912916722,0.8016508184444776,0.13103423500359687,4.125149638368709,4.222966718749757,-0.023435599874273016,4.513848946464068,5.267838093078976,-0.1544698348778697,0.058,0.258,0.0975263565778732,0.08965665102005,0.007869705557823209,1.7495193481445312,1.6935371160507202,0.03252178220087676,CCCO,0.362,0.537,0.6660547256469727,0.6980360746383667,-0.03198134899139404,1.4817169904708862,1.6807576417922974,-0.12604312496951547,CCCOCCC,0.5800000000000001,0.2049999999999999,0.2364189475774765,0.2123072892427444,0.02411165833473211,1.0801140069961548,1.248605489730835,-0.14496072274649763,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_465bd60fc7ef784572535157,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,372.65,375.4000854492188,374.5031433105469,2.7500854492188296,1.8531433105468977,-0.8969421386719318,0.1763837258815765,0.17564249742031093,-0.000741228461265564,0.12636319468972676,held-out ternary with all three experimental binary subsystems,0.5499481409799951,0.4600384616256426,0.17851388643624488,3.031597442159866,3.778812520170562,-0.22032012294436676,5.51251511962133,8.214123025316914,-0.39883400938061153,0.296,0.697,0.4324244260787964,0.4335362613201141,-0.0011118352413176935,1.293279051780701,1.3703997135162354,-0.05792156516290925,CCCO,0.105,0.129,0.2789241075515747,0.3342942297458648,-0.055370122194290106,1.8481173515319824,2.438218116760254,-0.2771000193898999,CCCOCCC,0.599,0.174,0.2886514961719513,0.2321695238351822,0.056481972336769104,1.0708072185516355,1.1190507411956787,-0.044067999516371095,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_4be419b03faad3af953b0722,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,367.91,361.1174621582031,363.5615234375,6.7925378417969,4.348476562500025,-2.444061279296875,0.02970753402511279,0.043115002820889155,0.013407468795776364,0.18649379830362955,held-out ternary with all three experimental binary subsystems,2.488217833017751,1.9516598678430355,0.24288649973136145,3.2560082243611452,2.258752361836466,0.3656893654840686,1.3085704077653866,1.1573493922036875,0.12280286575270699,0.042,0.144,0.0994386970996856,0.0793274864554405,0.020111210644245106,3.367830514907837,2.572568416595459,0.2693639891920676,CCCO,0.909,0.847,0.8649312257766724,0.8796991109848022,-0.014767885208129883,1.017147660255432,1.008440613746643,0.008597107565060911,CCCOCCC,0.0489999999999999,0.009,0.0356300733983516,0.0409733839333057,-0.005343310534954099,2.709267854690552,3.5901670455932617,-0.2815202981537601,CCOCCO,,,,,,,,,,,,,,,,,,,,,
experimental_test,1,state_4c52d599276aac5460fa206f,3c_61bfd4ccc52903a74083,alcohol/polyol + alcohol/polyol + ether/carbonyl,isobaric,K,359.78,359.9950256347656,360.80670166015625,0.21502563476565228,1.0267016601562773,0.811676025390625,0.13423142636815708,0.12203197608391446,-0.012199450284242616,0.1622832906223541,held-out ternary with all three experimental binary subsystems,0.6129840562083968,0.6707395972790542,-0.09004205394721942,2.286962449723841,1.9590000014622655,0.15479035618688608,3.7308677551416447,2.9206565549569667,0.24483241013410528,0.505,0.62,0.4186528623104095,0.4369520545005798,-0.018299192190170288,1.2259860038757324,1.300025224685669,-0.05863824652305827,CCCO,0.406,0.352,0.5490849614143372,0.523738443851471,0.02534651756286621,1.4974956512451172,1.4568679332733154,0.027505266803238893,CCCOCCC,0.0889999999999999,0.028,0.0322621800005435,0.0393095389008522,-0.007047358900308706,1.409058928489685,2.1035542488098145,-0.40070635854076514,CCOCCO,,,,,,,,,,,,,,,,,,,,,
