category,system_id,chemical_family,model,component_count,affected_component,increased_component,affected_smiles,increased_smiles,affected_name,increased_name,temperature_k,pressure_kpa,composition,d_log_gamma_i_d_closed_x_j,d_log_gamma_i_d_temperature_k,response_direction,selected_seed,selection_partition
lowest-|gE| hydrocarbon candidate,2c_03bd4325b126d2709459,alkane/cycloalkane + alkane/cycloalkane,full,2,1,1,C1CCCCC1,C1CCCCC1,环己烷,环己烷,386.34999999999997,184.40823364257812,0.50000000;0.50000000,-0.4011937081813812,-0.00036551954690366983,increase j; remove from others proportionally,1,test
lowest-|gE| hydrocarbon candidate,2c_03bd4325b126d2709459,alkane/cycloalkane + alkane/cycloalkane,full,2,1,2,C1CCCCC1,CCCCCCCCC,环己烷,正壬烷,386.34999999999997,184.40823364257812,0.50000000;0.50000000,0.4011937081813812,-0.00036551954690366983,increase j; remove from others proportionally,1,test
lowest-|gE| hydrocarbon candidate,2c_03bd4325b126d2709459,alkane/cycloalkane + alkane/cycloalkane,full,2,2,1,CCCCCCCCC,C1CCCCC1,正壬烷,环己烷,386.34999999999997,184.40823364257812,0.50000000;0.50000000,0.4011937379837036,0.00011122690193587914,increase j; remove from others proportionally,1,test
lowest-|gE| hydrocarbon candidate,2c_03bd4325b126d2709459,alkane/cycloalkane + alkane/cycloalkane,full,2,2,2,CCCCCCCCC,CCCCCCCCC,正壬烷,正壬烷,386.34999999999997,184.40823364257812,0.50000000;0.50000000,-0.4011937379837036,0.00011122690193587914,increase j; remove from others proportionally,1,test
water/alcohol hydrogen bonding,2c_d66c7a74cea5d8732e08,alcohol/polyol + water,full,2,1,1,CC(C)O,CC(C)O,2-丙醇,2-丙醇,354.44,95.15496826171875,0.50000000;0.50000000,-0.6298578977584839,-0.0007231218623928726,increase j; remove from others proportionally,1,test
water/alcohol hydrogen bonding,2c_d66c7a74cea5d8732e08,alcohol/polyol + water,full,2,1,2,CC(C)O,O,2-丙醇,水,354.44,95.15496826171875,0.50000000;0.50000000,0.6298578977584839,-0.0007231218623928726,increase j; remove from others proportionally,1,test
water/alcohol hydrogen bonding,2c_d66c7a74cea5d8732e08,alcohol/polyol + water,full,2,2,1,O,CC(C)O,水,2-丙醇,354.44,95.15496826171875,0.50000000;0.50000000,0.6298580169677734,-0.0003756230289582163,increase j; remove from others proportionally,1,test
water/alcohol hydrogen bonding,2c_d66c7a74cea5d8732e08,alcohol/polyol + water,full,2,2,2,O,O,水,水,354.44,95.15496826171875,0.50000000;0.50000000,-0.6298580169677734,-0.0003756230289582163,increase j; remove from others proportionally,1,test
model-inferred positive deviation,2c_ae514b5a938c4d83d1c9,alcohol/polyol + alkane/cycloalkane,full,2,1,1,CCCC,CCCC,丁烷,丁烷,323.25,784.427978515625,0.50000000;0.50000000,-2.479886531829834,-0.0015976903960108757,increase j; remove from others proportionally,1,test
model-inferred positive deviation,2c_ae514b5a938c4d83d1c9,alcohol/polyol + alkane/cycloalkane,full,2,1,2,CCCC,CCO,丁烷,乙醇,323.25,784.427978515625,0.50000000;0.50000000,2.479886531829834,-0.0015976903960108757,increase j; remove from others proportionally,1,test
model-inferred positive deviation,2c_ae514b5a938c4d83d1c9,alcohol/polyol + alkane/cycloalkane,full,2,2,1,CCO,CCCC,乙醇,丁烷,323.25,784.427978515625,0.50000000;0.50000000,2.479886531829834,-0.0005658009322360158,increase j; remove from others proportionally,1,test
