dataset,system_family_class,unique_systems,total_data_points,mean_points_per_system,median_points_per_system,min_points_per_system,max_points_per_system,all_systems,all_data_points,system_share_pct,data_point_share_pct,class_rank
Ternary,aromatic + hydrocarbon + sulfur-containing,122,1601,13.12295081967213,10.0,1,60,986,13861,12.373225152129818,11.550393189524565,1
Ternary,alcohol + ester + water,71,1362,19.183098591549296,17.0,1,93,986,13861,7.200811359026369,9.826130870788543,2
Ternary,aromatic + halogenated + hydrocarbon,62,829,13.370967741935484,9.0,1,42,986,13861,6.288032454361055,5.980809465406536,3
Ternary,alcohol + ether + water,45,603,13.4,9.0,1,49,986,13861,4.563894523326572,4.350335473631051,4
Ternary,alcohol + aromatic + hydrocarbon,36,374,10.38888888888889,9.0,4,27,986,13861,3.6511156186612577,2.6982180217877496,5
Ternary,alcohol + ketone + water,35,797,22.771428571428572,20.0,10,61,986,13861,3.5496957403651117,5.749945891349831,6
Ternary,amine + aromatic + hydrocarbon,35,351,10.028571428571428,10.0,6,30,986,13861,3.5496957403651117,2.5322848279344923,7
Ternary,alcohol + hydrocarbon + sulfur-containing,35,340,9.714285714285714,8.0,6,24,986,13861,3.5496957403651117,2.4529254743525,8
Ternary,amide + aromatic + hydrocarbon,31,680,21.93548387096774,16.0,6,54,986,13861,3.1440162271805274,4.905850948705,9
Ternary,alcohol + alcohol + water,31,650,20.967741935483872,23.0,1,48,986,13861,3.1440162271805274,4.689416348026838,10
Ternary,acid + ester + water,31,558,18.0,12.0,3,66,986,13861,3.1440162271805274,4.025683572613809,11
Ternary,acid + alcohol + water,31,318,10.258064516129032,8.0,2,36,986,13861,3.1440162271805274,2.2942067671885145,12
Ternary,aromatic + aromatic + hydrocarbon,26,240,9.23076923076923,8.5,1,29,986,13861,2.636916835699797,1.731476805425294,13
Ternary,alcohol + hydrocarbon + water,23,382,16.608695652173914,12.0,1,61,986,13861,2.332657200811359,2.7559339153019264,14
Ternary,alcohol + halogenated + hydrocarbon,20,146,7.3,6.5,3,16,986,13861,2.028397565922921,1.0533150566337206,15
