dataset,system_family_class,unique_systems,total_data_points,mean_points_per_system,median_points_per_system,min_points_per_system,max_points_per_system,all_systems,all_data_points,system_share_pct,data_point_share_pct,class_rank
Ternary,alcohol + alcohol + water,7,253,36.142857142857146,36.0,25,55,107,4544,6.542056074766355,5.567781690140845,1
Ternary,alcohol + halogenated + other,6,204,34.0,30.0,30,48,107,4544,5.607476635514018,4.48943661971831,2
Ternary,alcohol + hydrocarbon + ketone,5,320,64.0,64.0,51,85,107,4544,4.672897196261682,7.042253521126761,3
Ternary,alcohol + ester + sulfur-containing,5,116,23.2,27.0,13,33,107,4544,4.672897196261682,2.5528169014084505,4
Ternary,alcohol + ether + water,4,335,83.75,89.5,57,99,107,4544,3.7383177570093458,7.372359154929577,5
Ternary,alcohol + aromatic + water,4,268,67.0,65.0,43,95,107,4544,3.7383177570093458,5.897887323943662,6
Ternary,acid + alcohol + ester,4,206,51.5,55.0,39,57,107,4544,3.7383177570093458,4.533450704225352,7
Ternary,amine + hydrocarbon + water,4,79,19.75,19.5,16,24,107,4544,3.7383177570093458,1.738556338028169,8
Ternary,alcohol + ester + hydrocarbon,3,364,121.33333333333333,120.0,120,124,107,4544,2.803738317757009,8.01056338028169,9
Ternary,alcohol + aromatic + other,3,128,42.666666666666664,43.0,42,43,107,4544,2.803738317757009,2.816901408450704,10
Ternary,alcohol + aromatic + ketone,3,126,42.0,42.0,40,44,107,4544,2.803738317757009,2.772887323943662,11
Ternary,halogenated + other + water,3,96,32.0,31.0,20,45,107,4544,2.803738317757009,2.112676056338028,12
Ternary,alcohol + amide + ester,3,73,24.333333333333332,17.0,14,42,107,4544,2.803738317757009,1.6065140845070423,13
Ternary,acid + amide + water,3,45,15.0,15.0,15,15,107,4544,2.803738317757009,0.9903169014084507,14
Ternary,alcohol + alcohol + ester,2,180,90.0,90.0,42,138,107,4544,1.8691588785046729,3.961267605633803,15
Ternary,ether + hydrocarbon + ketone,2,127,63.5,63.5,43,84,107,4544,1.8691588785046729,2.794894366197183,16
Ternary,alcohol + ether + hydrocarbon,2,106,53.0,53.0,51,55,107,4544,1.8691588785046729,2.3327464788732395,17
Ternary,alcohol + halogenated + water,2,90,45.0,45.0,43,47,107,4544,1.8691588785046729,1.9806338028169015,18
Ternary,acid + alcohol + water,2,90,45.0,45.0,44,46,107,4544,1.8691588785046729,1.9806338028169015,19
Ternary,acid + alcohol + ketone,2,90,45.0,45.0,44,46,107,4544,1.8691588785046729,1.9806338028169015,20
Ternary,alcohol + ester + halogenated,2,82,41.0,41.0,40,42,107,4544,1.8691588785046729,1.8045774647887325,21
Ternary,alcohol + alcohol + ether,2,82,41.0,41.0,41,41,107,4544,1.8691588785046729,1.8045774647887325,22
Ternary,alcohol + ketone + sulfur-containing,2,32,16.0,16.0,10,22,107,4544,1.8691588785046729,0.704225352112676,23
Ternary,other + other + other,2,29,14.5,14.5,11,18,107,4544,1.8691588785046729,0.6382042253521126,24
Ternary,alcohol + ester + ketone,1,110,110.0,110.0,110,110,107,4544,0.9345794392523364,2.420774647887324,25
Ternary,alcohol + ether + ketone,1,90,90.0,90.0,90,90,107,4544,0.9345794392523364,1.9806338028169015,26
Ternary,alcohol + ketone + water,1,64,64.0,64.0,64,64,107,4544,0.9345794392523364,1.408450704225352,27
Ternary,acid + acid + ether,1,54,54.0,54.0,54,54,107,4544,0.9345794392523364,1.1883802816901408,28
Ternary,acid + amide + sulfur-containing,1,53,53.0,53.0,53,53,107,4544,0.9345794392523364,1.1663732394366197,29
Ternary,halogenated + halogenated + halogenated,1,44,44.0,44.0,44,44,107,4544,0.9345794392523364,0.9683098591549296,30
Ternary,amine + hydrocarbon + hydrocarbon,1,42,42.0,42.0,42,42,107,4544,0.9345794392523364,0.9242957746478874,31
Ternary,alcohol + ester + ester,1,42,42.0,42.0,42,42,107,4544,0.9345794392523364,0.9242957746478874,32
Ternary,alcohol + alcohol + ketone,1,37,37.0,37.0,37,37,107,4544,0.9345794392523364,0.8142605633802817,33
Ternary,acid + alcohol + other,1,36,36.0,36.0,36,36,107,4544,0.9345794392523364,0.7922535211267606,34
Ternary,acid + aromatic + water,1,36,36.0,36.0,36,36,107,4544,0.9345794392523364,0.7922535211267606,35
Ternary,ester + ester + sulfur-containing,1,36,36.0,36.0,36,36,107,4544,0.9345794392523364,0.7922535211267606,36
Ternary,alcohol + other + sulfur-containing,1,35,35.0,35.0,35,35,107,4544,0.9345794392523364,0.7702464788732394,37
Ternary,alcohol + ester + water,1,32,32.0,32.0,32,32,107,4544,0.9345794392523364,0.704225352112676,38
Ternary,other + other + sulfur-containing,1,31,31.0,31.0,31,31,107,4544,0.9345794392523364,0.6822183098591549,39
Ternary,alcohol + aromatic + halogenated,1,30,30.0,30.0,30,30,107,4544,0.9345794392523364,0.6602112676056338,40
Ternary,aromatic + hydrocarbon + hydrocarbon,1,25,25.0,25.0,25,25,107,4544,0.9345794392523364,0.5501760563380281,41
Ternary,acid + other + sulfur-containing,1,24,24.0,24.0,24,24,107,4544,0.9345794392523364,0.528169014084507,42
Ternary,amine + amine + hydrocarbon,1,21,21.0,21.0,21,21,107,4544,0.9345794392523364,0.4621478873239437,43
Ternary,amide + aromatic + sulfur-containing,1,21,21.0,21.0,21,21,107,4544,0.9345794392523364,0.4621478873239437,44
Ternary,acid + ketone + water,1,20,20.0,20.0,20,20,107,4544,0.9345794392523364,0.44014084507042256,45
Ternary,halogenated + hydrocarbon + hydrocarbon,1,20,20.0,20.0,20,20,107,4544,0.9345794392523364,0.44014084507042256,46
Ternary,alcohol + aromatic + sulfur-containing,1,18,18.0,18.0,18,18,107,4544,0.9345794392523364,0.3961267605633803,47
Ternary,aromatic + ether + other,1,17,17.0,17.0,17,17,107,4544,0.9345794392523364,0.37411971830985913,48
Ternary,acid + sulfur-containing + water,1,17,17.0,17.0,17,17,107,4544,0.9345794392523364,0.37411971830985913,49
Ternary,hydrocarbon + hydrocarbon + other,1,16,16.0,16.0,16,16,107,4544,0.9345794392523364,0.352112676056338,50
Ternary,acid + other + water,1,16,16.0,16.0,16,16,107,4544,0.9345794392523364,0.352112676056338,51
Ternary,alcohol + alcohol + other,1,15,15.0,15.0,15,15,107,4544,0.9345794392523364,0.3301056338028169,52
Ternary,alcohol + alcohol + alcohol,1,12,12.0,12.0,12,12,107,4544,0.9345794392523364,0.2640845070422535,53
Ternary,alcohol + amine + other,1,9,9.0,9.0,9,9,107,4544,0.9345794392523364,0.19806338028169015,54
