protocol,subset,direction,target,metric,mean,sample_std,valid_seeds
binary-temperature-high,all,,endpoints,conditions,417.0,0.0,5
binary-temperature-high,all,,endpoints,failure_penalized_set_distance,0.055750891974376694,0.007036041098487208,5
binary-temperature-high,all,,endpoints,matched_endpoint_mae_successful_only,0.05192194307221153,0.006742206045769704,5
binary-temperature-high,all,,endpoints,matched_endpoint_r2_successful_only,0.9546354538918361,0.009772701325027517,5
binary-temperature-high,all,,endpoints,matched_endpoint_rmse_successful_only,0.06911285209519606,0.007551417010091333,5
binary-temperature-high,all,,endpoints,max_equilibrium_rms,9.07260475884353e-15,6.635356551811838e-15,5
binary-temperature-high,all,,endpoints,min_grid_tpd,-2.55351295663786e-15,3.510833468576701e-16,5
binary-temperature-high,all,,endpoints,observed_coverage_at_0.02,0.21486810551558752,0.019963218597858427,5
binary-temperature-high,all,,endpoints,r2_target_met,0.6,0.5477225575051662,5
binary-temperature-high,all,,endpoints,success_fraction,1.0,0.0,5
binary-temperature-high,all,,endpoints,successful_conditions,417.0,0.0,5
binary-temperature-high,binary,,endpoints,conditions,417.0,0.0,5
binary-temperature-high,binary,,endpoints,failure_penalized_set_distance,0.055750891974376694,0.007036041098487208,5
binary-temperature-high,binary,,endpoints,matched_endpoint_mae_successful_only,0.05192194307221153,0.006742206045769704,5
binary-temperature-high,binary,,endpoints,matched_endpoint_r2_successful_only,0.9546354538918361,0.009772701325027517,5
binary-temperature-high,binary,,endpoints,matched_endpoint_rmse_successful_only,0.06911285209519606,0.007551417010091333,5
binary-temperature-high,binary,,endpoints,max_equilibrium_rms,9.07260475884353e-15,6.635356551811838e-15,5
binary-temperature-high,binary,,endpoints,min_grid_tpd,-2.55351295663786e-15,3.510833468576701e-16,5
binary-temperature-high,binary,,endpoints,observed_coverage_at_0.02,0.21486810551558752,0.019963218597858427,5
binary-temperature-high,binary,,endpoints,r2_target_met,0.6,0.5477225575051662,5
binary-temperature-high,binary,,endpoints,success_fraction,1.0,0.0,5
binary-temperature-high,binary,,endpoints,successful_conditions,417.0,0.0,5
