protocol,subset,direction,target,metric,mean,sample_std,valid_seeds
binary-pressure-high,all,,endpoints,conditions,92.0,0.0,5
binary-pressure-high,all,,endpoints,failure_penalized_set_distance,0.0926767956671016,0.00943942836953636,5
binary-pressure-high,all,,endpoints,matched_endpoint_mae_successful_only,0.07671216929658162,0.006761637326853533,5
binary-pressure-high,all,,endpoints,matched_endpoint_r2_successful_only,0.8664431164925075,0.02486571032758808,5
binary-pressure-high,all,,endpoints,matched_endpoint_rmse_successful_only,0.11715505715684013,0.011521106753659851,5
binary-pressure-high,all,,endpoints,max_equilibrium_rms,4.431120066104492e-14,2.618024694467825e-14,5
binary-pressure-high,all,,endpoints,min_grid_tpd,-4.973799150320701e-15,1.9459014222361975e-15,5
binary-pressure-high,all,,endpoints,observed_coverage_at_0.02,0.24565217391304345,0.02834435828348977,5
binary-pressure-high,all,,endpoints,r2_target_met,0.0,0.0,5
binary-pressure-high,all,,endpoints,success_fraction,1.0,0.0,5
binary-pressure-high,all,,endpoints,successful_conditions,92.0,0.0,5
binary-pressure-high,binary,,endpoints,conditions,92.0,0.0,5
binary-pressure-high,binary,,endpoints,failure_penalized_set_distance,0.0926767956671016,0.00943942836953636,5
binary-pressure-high,binary,,endpoints,matched_endpoint_mae_successful_only,0.07671216929658162,0.006761637326853533,5
binary-pressure-high,binary,,endpoints,matched_endpoint_r2_successful_only,0.8664431164925075,0.02486571032758808,5
binary-pressure-high,binary,,endpoints,matched_endpoint_rmse_successful_only,0.11715505715684013,0.011521106753659851,5
binary-pressure-high,binary,,endpoints,max_equilibrium_rms,4.431120066104492e-14,2.618024694467825e-14,5
binary-pressure-high,binary,,endpoints,min_grid_tpd,-4.973799150320701e-15,1.9459014222361975e-15,5
binary-pressure-high,binary,,endpoints,observed_coverage_at_0.02,0.24565217391304345,0.02834435828348977,5
binary-pressure-high,binary,,endpoints,r2_target_met,0.0,0.0,5
binary-pressure-high,binary,,endpoints,success_fraction,1.0,0.0,5
binary-pressure-high,binary,,endpoints,successful_conditions,92.0,0.0,5
binary-pressure-low,all,,endpoints,conditions,43.0,0.0,5
binary-pressure-low,all,,endpoints,failure_penalized_set_distance,0.10737774112104077,0.001117942504679963,5
binary-pressure-low,all,,endpoints,matched_endpoint_mae_successful_only,0.0850726630550104,0.0005334919475554949,5
