task,protocol,subset,seed,direction,target,metric,value
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isobaric,T,mae,0.6731388312160811
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isobaric,T,rmse,1.3218764287960625
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isobaric,T,r2,0.9985521439945226
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isobaric,y,mae,0.01058907474412001
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isobaric,y,rmse,0.025272610280161537
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isobaric,y,r2,0.9967129658987601
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isothermal,P,mae,2.9587256806628464
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isothermal,P,rmse,15.786997149709476
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isothermal,P,r2,0.9687382953370516
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isothermal,y,mae,0.004367392396272442
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isothermal,y,rmse,0.011839921539101957
VLE,vle_binary_state_composition_edge_extrapolation,all,0,isothermal,y,r2,0.999322197066507
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isobaric,T,mae,0.6731388312160811
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isobaric,T,rmse,1.3218764287960625
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isobaric,T,r2,0.9985521439945226
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isobaric,y,mae,0.01058907474412001
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isobaric,y,rmse,0.025272610280161537
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isobaric,y,r2,0.9967129658987601
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isothermal,P,mae,2.9587256806628464
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isothermal,P,rmse,15.786997149709476
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isothermal,P,r2,0.9687382953370516
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isothermal,y,mae,0.004367392396272442
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isothermal,y,rmse,0.011839921539101957
VLE,vle_binary_state_composition_edge_extrapolation,2,0,isothermal,y,r2,0.999322197066507
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isobaric,T,mae,0.6557613323649754
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isobaric,T,rmse,1.16780779796848
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isobaric,T,r2,0.9988699793061768
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isobaric,y,mae,0.010466889441814307
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isobaric,y,rmse,0.023642381976820212
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isobaric,y,r2,0.9971233536850267
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isothermal,P,mae,2.9465345392120295
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isothermal,P,rmse,14.53757156687753
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isothermal,P,r2,0.9734907569965723
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isothermal,y,mae,0.0047447817039114985
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isothermal,y,rmse,0.012432817111426835
VLE,vle_binary_state_composition_edge_extrapolation,all,1,isothermal,y,r2,0.9992526141252781
VLE,vle_binary_state_composition_edge_extrapolation,2,1,isobaric,T,mae,0.6557613323649754
VLE,vle_binary_state_composition_edge_extrapolation,2,1,isobaric,T,rmse,1.16780779796848
VLE,vle_binary_state_composition_edge_extrapolation,2,1,isobaric,T,r2,0.9988699793061768
VLE,vle_binary_state_composition_edge_extrapolation,2,1,isobaric,y,mae,0.010466889441814307
VLE,vle_binary_state_composition_edge_extrapolation,2,1,isobaric,y,rmse,0.023642381976820212
VLE,vle_binary_state_composition_edge_extrapolation,2,1,isobaric,y,r2,0.9971233536850267
