task,covered_pairs,R2_mean,R2_sample_sd,seeds,evaluated_points_per_seed
Isothermal P,0,0.9325167167839394,0.013875131901827658,5,207
Isothermal P,1,0.9549141041510938,0.013141966768854589,5,207
Isothermal P,2,0.9559162258030856,0.012196256648318091,5,207
Isothermal P,3,0.9682479642172133,0.008455611413651483,5,207
Isothermal y,0,0.9638912819340091,0.007624253285520479,5,207
Isothermal y,1,0.9703906083244733,0.007242887044650678,5,207
Isothermal y,2,0.9735333380085883,0.009995284693183006,5,207
Isothermal y,3,0.9838138632198511,0.0038645204511787907,5,207
Isobaric T,0,0.8506124453228561,0.04396125515150033,5,310
Isobaric T,1,0.9148265654011913,0.04140962653755283,5,310
Isobaric T,2,0.9624857906782829,0.0176910730774315,5,310
Isobaric T,3,0.9685562646082084,0.008087676373017697,5,310
Isobaric y,0,0.8962086294185948,0.0123353472708166,5,310
Isobaric y,1,0.8838294376856457,0.03928685552771307,5,310
Isobaric y,2,0.9076610894644974,0.031140247641259493,5,310
Isobaric y,3,0.9345894831584939,0.004314331253043062,5,310
