seed,covered_pairs,task,R2,attempted,evaluated
0,0,Isothermal P,0.9343015935412805,207,207
0,0,Isothermal y,0.9512957333723004,207,207
0,0,Isobaric T,0.8052795465056976,310,310
0,0,Isobaric y,0.8772574368143301,310,310
0,1,Isothermal P,0.9680429134702966,207,207
0,1,Isothermal y,0.9817137201572013,207,207
0,1,Isobaric T,0.90737551986602,310,310
0,1,Isobaric y,0.8482748724832275,310,310
0,2,Isothermal P,0.9494874444251299,207,207
0,2,Isothermal y,0.9816645925677632,207,207
0,2,Isobaric T,0.9365704434639626,310,310
0,2,Isobaric y,0.8534607376173781,310,310
0,3,Isothermal P,0.971475859625061,207,207
0,3,Isothermal y,0.985048178124604,207,207
0,3,Isobaric T,0.9781228037522627,310,310
0,3,Isobaric y,0.9421160957527929,310,310
1,0,Isothermal P,0.9306286141560168,207,207
1,0,Isothermal y,0.9646748358036835,207,207
1,0,Isobaric T,0.8381291961510505,310,310
1,0,Isobaric y,0.8957559426829373,310,310
1,1,Isothermal P,0.9344291388422681,207,207
1,1,Isothermal y,0.9658564736055484,207,207
1,1,Isobaric T,0.875321200092176,310,310
1,1,Isobaric y,0.9069284154209339,310,310
1,2,Isothermal P,0.9487732844632935,207,207
1,2,Isothermal y,0.9664262079767728,207,207
1,2,Isobaric T,0.9573743231062588,310,310
1,2,Isobaric y,0.928566870399389,310,310
1,3,Isothermal P,0.9731105007048644,207,207
1,3,Isothermal y,0.9790344873565389,207,207
1,3,Isobaric T,0.9588550918847697,310,310
1,3,Isobaric y,0.9313210813474976,310,310
2,0,Isothermal P,0.9334059971049857,207,207
2,0,Isothermal y,0.9708651929261563,207,207
2,0,Isobaric T,0.8323748012210624,310,310
2,0,Isobaric y,0.8974985370999207,310,310
2,1,Isothermal P,0.9633257561198537,207,207
2,1,Isothermal y,0.9735204628573967,207,207
2,1,Isobaric T,0.9070069251097034,310,310
2,1,Isobaric y,0.8401946645038306,310,310
2,2,Isothermal P,0.9752285666183392,207,207
2,2,Isothermal y,0.9869067691704111,207,207
2,2,Isobaric T,0.9768479897281087,310,310
2,2,Isobaric y,0.9210896134020794,310,310
2,3,Isothermal P,0.958220905327285,207,207
2,3,Isothermal y,0.9816876715204617,207,207
2,3,Isobaric T,0.9668646717009421,310,310
2,3,Isobaric y,0.9323516538435527,310,310
3,0,Isothermal P,0.9126015653875127,207,207
3,0,Isothermal y,0.9637690454697876,207,207
3,0,Isobaric T,0.9225123637079476,310,310
3,0,Isobaric y,0.911729696633188,310,310
3,1,Isothermal P,0.9506760462252528,207,207
3,1,Isothermal y,0.9664507050623719,207,207
3,1,Isobaric T,0.8993107330489354,310,310
3,1,Isobaric y,0.8906722539864946,310,310
3,2,Isothermal P,0.9605692141730875,207,207
3,2,Isothermal y,0.9658341601018927,207,207
3,2,Isobaric T,0.9605946824302014,310,310
3,2,Isobaric y,0.9096419085579106,310,310
3,3,Isothermal P,0.9778623379622255,207,207
3,3,Isothermal y,0.9839319666100338,207,207
3,3,Isobaric T,0.9754477377813046,310,310
3,3,Isobaric y,0.9337698421809296,310,310
4,0,Isothermal P,0.9516458137299011,207,207
4,0,Isothermal y,0.9688516020981175,207,207
4,0,Isobaric T,0.8547663190285221,310,310
4,0,Isobaric y,0.8988015338625974,310,310
4,1,Isothermal P,0.9580966660977978,207,207
4,1,Isothermal y,0.9644116799398486,207,207
4,1,Isobaric T,0.9851184488891224,310,310
4,1,Isobaric y,0.9330769820337412,310,310
4,2,Isothermal P,0.9455226193355775,207,207
4,2,Isothermal y,0.9668349602261013,207,207
4,2,Isobaric T,0.9810415146628833,310,310
4,2,Isobaric y,0.9255463173457299,310,310
4,3,Isothermal P,0.9605702174666308,207,207
4,3,Isothermal y,0.9893670124876166,207,207
4,3,Isobaric T,0.9634910179217633,310,310
4,3,Isobaric y,0.9333887426676968,310,310
