seed,coverage,train_rows,binary_rows,ternary_rows,target_binary_rows,validation_rows,test_rows,test_systems,all_systems_exact_coverage
0,0,8238,7595,643,0,1303,517,12,True
0,1,8238,7595,643,184,1303,517,12,True
0,2,8238,7595,643,415,1303,517,12,True
0,3,8238,7595,643,641,1303,517,12,True
1,0,8238,7595,643,0,1303,517,12,True
1,1,8238,7595,643,231,1303,517,12,True
1,2,8238,7595,643,457,1303,517,12,True
1,3,8238,7595,643,641,1303,517,12,True
2,0,8238,7595,643,0,1303,517,12,True
2,1,8238,7595,643,184,1303,517,12,True
2,2,8238,7595,643,410,1303,517,12,True
2,3,8238,7595,643,641,1303,517,12,True
3,0,8238,7595,643,0,1303,517,12,True
3,1,8238,7595,643,226,1303,517,12,True
3,2,8238,7595,643,410,1303,517,12,True
3,3,8238,7595,643,641,1303,517,12,True
4,0,8238,7595,643,0,1303,517,12,True
4,1,8238,7595,643,226,1303,517,12,True
4,2,8238,7595,643,457,1303,517,12,True
4,3,8238,7595,643,641,1303,517,12,True
