protocol,seed,stage,sample_id,T_exp_K,P_exp_kPa,T_bubble_K
vle_overall_binary_ternary,1,stage2,state_0ef8623473b403c5c32a7f6f,357.62,13.33,351.4305114746094
vle_overall_binary_ternary,1,stage2,state_518c09cda8e89375b1b4d1c9,362.15,13.33,356.9046325683594
vle_overall_binary_ternary,1,stage2,state_3fb3c26f8db7275066f38a53,363.7,13.33,355.4974060058594
vle_overall_binary_ternary,1,stage2,state_705b570093eb02a986873c8f,365.1,13.33,357.9525146484375
vle_overall_binary_ternary,1,stage2,state_3e2cceed97471bc199d2843d,368.55,13.33,359.26898193359375
vle_overall_binary_ternary,1,stage2,state_5884bff2349d586e59c99edc,369.4,13.33,359.9839172363281
vle_overall_binary_ternary,1,stage2,state_79771519f05f7d5f13287cf6,371.8,13.33,363.3824157714844
vle_overall_binary_ternary,1,stage2,state_cda2b8a9ec8015d16c9a5442,372.35,13.33,362.6947326660156
vle_overall_binary_ternary,1,stage2,state_f251cb1c8ff1f38f23edd087,373.21,13.33,366.72747802734375
vle_overall_binary_ternary,1,stage2,state_b0984db9574fe6410372e2c4,373.79999999999995,13.33,366.3670959472656
vle_overall_binary_ternary,1,stage2,state_91dae4e9d75bee03e9f6e3e0,373.9,13.33,364.02777099609375
vle_overall_binary_ternary,1,stage2,state_d92a4ee89a093b3af541c01b,383.32,13.33,377.60400390625
vle_overall_binary_ternary,1,stage2,state_e093ddd479844bf87d202362,385.08,13.33,379.881103515625
vle_overall_binary_ternary,1,stage2,state_e14d9045b7058f9c0c2f4c98,386.52,13.33,379.07269287109375
vle_overall_binary_ternary,1,stage2,state_5ae01bcdbb8cc14e96b9d422,387.84,13.33,383.5159606933594
vle_overall_binary_ternary,1,stage2,state_7d883f5d6ac9a486d8c0bb27,388.2,13.33,386.2669677734375
vle_overall_binary_ternary,1,stage2,state_a5e93cd98a59e19ee41817d8,391.91999999999996,13.33,389.04095458984375
vle_overall_binary_ternary,4,stage3,state_0ef8623473b403c5c32a7f6f,357.62,13.33,345.2547912597656
