attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1785,,,0.0,754,8.408058406724853,0.9790540275822059,17.697247950942582,8.638345124403308,17.850911143988252,all,0,0.0,,55,1031,2.243845450459581,0.9848167636235082,3.432534981495813,2.586370478877818,4.103403743115718,1.0,1785,0.0361034752508102,3793,0.034514586746722524,0.9667565074329613,0.05811807247197168,0.03456408674897136,0.035818888726510456,0.06153425810552194
1031,,isobaric,0.0,0,,,,,,direction,0,0.0,,38,1031,2.243845450459581,0.9848167636235082,3.432534981495813,2.586370478877818,4.103403743115718,1.0,1031,0.03273075024853545,2264,0.033937891337946,0.970971756328526,0.05080692421848536,0.033866658484395726,0.03343540293040002,0.05214289175044129
754,,isothermal,0.0,754,8.408058406724853,0.9790540275822059,17.697247950942582,8.638345124403308,17.850911143988252,direction,0,0.0,,25,0,,,,,,1.0,754,0.03767777134943662,1529,0.035368503297062655,0.9618765705729267,0.06750478293992,0.035205435223249607,0.036012240383880685,0.06847234901768261
1562,2,,0.0,733,8.54685194304988,0.9789204410515547,17.93111485013107,8.849796876779282,18.193428180994946,cardinality,0,0.0,,47,829,2.3512902890931273,0.9825805844286459,3.5917101587039784,2.7274787963665417,4.315400375115862,1.0,1562,0.03508042869943831,3124,0.03423203689942899,0.9673919709024728,0.05886435826347544,0.03438067348872945,0.034021428777863315,0.05978052935060616
223,3,,0.0,21,3.5635030673799046,0.9220364665389286,4.728194297571978,3.5635030673799046,4.728194297571978,cardinality,0,0.0,,8,202,1.8028960879486406,0.9921903730448528,2.6821107232310686,1.961462215713469,2.988978666428609,1.0,223,0.0497258122085168,669,0.03583399739387502,0.9478742098410663,0.05449805959934865,0.035833997393875015,0.04637896592481239,0.07096752886815252
829,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,31,829,2.3512902890931273,0.9825805844286459,3.5917101587039784,2.7274787963665417,4.315400375115862,1.0,829,0.030152405799071892,1658,0.0336721214754237,0.9739496117293475,0.049879113666382494,0.0336721214754237,0.03053522348331662,0.04658560052120874
202,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,7,202,1.8028960879486406,0.9921903730448528,2.6821107232310686,1.961462215713469,2.988978666428609,1.0,202,0.05016705690558406,606,0.034665030664780945,0.9439145952192969,0.05326285337092026,0.03466503066478095,0.04627905476748368,0.07175426381573045
733,2,isothermal,0.0,733,8.54685194304988,0.9789204410515547,17.93111485013107,8.849796876779282,18.193428180994946,direction_cardinality,0,0.0,,24,0,,,,,,1.0,733,0.036134769369683475,1466,0.034865283675009316,0.9614111516012839,0.06760227115515546,0.034865283675009316,0.035551152732121,0.06860550387934419
21,3,isothermal,0.0,21,3.5635030673799046,0.9220364665389286,4.728194297571978,3.5635030673799046,4.728194297571978,direction_cardinality,0,0.0,,1,0,,,,,,1.0,21,0.04707834402611332,63,0.04707834402611331,0.9641319942217077,0.06519509643412146,0.047078344026113314,0.04707834402611331,0.06519509643412146
1748,,,0.0,788,8.334210088948671,0.9717655118525662,18.31130069202674,11.953340778043145,22.623222797992483,all,1,0.0,,47,960,3.8509523785909017,0.9345921465269915,6.802740682160214,4.405230604790189,7.243282324871566,1.0,1748,0.04039332028139234,3729,0.035275756370302086,0.9640295069516612,0.05807196111418391,0.03641054754361241,0.04366677038717769,0.06898640919146204
960,,isobaric,0.0,0,,,,,,direction,1,0.0,,32,960,3.8509523785909017,0.9345921465269915,6.802740682160214,4.405230604790189,7.243282324871566,1.0,960,0.04416704824273242,1979,0.04064521491031731,0.961763197792265,0.059677030148784144,0.04044318222529837,0.04735849216986115,0.06859681097772724
788,,isothermal,0.0,788,8.334210088948671,0.9717655118525662,18.31130069202674,11.953340778043145,22.623222797992483,direction,1,0.0,,20,0,,,,,,1.0,788,0.03790279082271204,1750,0.02920366582705059,0.9663276356735739,0.05620165503091225,0.03141730392881064,0.03860498334476634,0.06904230625725004
1515,2,,0.0,614,10.254165373508318,0.9706410835933894,20.701079773556753,13.111803432546584,23.83269647930408,cardinality,1,0.0,,43,901,3.7695578954698763,0.9333574440379786,6.765785254524446,4.207518870672677,7.075720935238907,1.0,1515,0.043187009943047,3030,0.039078267849314306,0.9600946287985794,0.06232089572163127,0.03915266039410249,0.04470989704211336,0.07023814265177247
233,3,,0.0,174,1.5591954641232544,0.9857144504751744,2.5132219359405488,1.5271768875122067,2.4749352323587166,cardinality,1,0.0,,4,59,5.0939427055746815,0.6653058208742628,7.344026291162843,7.370906616552867,9.405042270190876,1.0,233,0.03455918500829692,699,0.01879276669733066,0.9792607720461289,0.03398443104179712,0.01879276669733066,0.032453158846619354,0.053718714897265075
901,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,30,901,3.7695578954698763,0.9333574440379786,6.765785254524446,4.207518870672677,7.075720935238907,1.0,901,0.045623130129958105,1802,0.039999427859424376,0.9626787571365257,0.059188720338090944,0.039999427859424376,0.04679109699148487,0.06814322841943027
59,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,2,59,5.0939427055746815,0.6653058208742628,7.344026291162843,7.370906616552867,9.405042270190876,1.0,59,0.055869419845505454,177,0.04721983788042503,0.931273711801513,0.06443814673550174,0.047219837880425025,0.05586941984550546,0.07507240458174298
614,2,isothermal,0.0,614,10.254165373508318,0.9706410835933894,20.701079773556753,13.111803432546584,23.83269647930408,direction_cardinality,1,0.0,,18,0,,,,,,1.0,614,0.04061911989819983,1228,0.037726533046204914,0.9566186288628152,0.06665119005834548,0.037726533046204914,0.041890326177770026,0.07267344448700844
174,3,isothermal,0.0,174,1.5591954641232544,0.9857144504751744,2.5132219359405488,1.5271768875122067,2.4749352323587166,direction_cardinality,1,0.0,,2,0,,,,,,1.0,174,0.008986903203646684,522,0.009153702330649242,0.9974372990772309,0.011773038401173842,0.009153702330649242,0.009036897847733247,0.011641938444365438
