attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1785,,,0.0,754,6.1457166663438,0.9848832807010464,15.034335807509247,5.751436800740594,13.636392128660699,all,0,0.0,,55,1031,1.5925032050857002,0.9909458063546551,2.650682339698057,1.852334652736611,3.1535245933580156,1.0,1785,0.023750189028415327,3793,0.022151853967861613,0.9860131243186735,0.03769799367949049,0.021807452961722446,0.024405758323565802,0.043832814092196914
1031,,isobaric,0.0,0,,,,,,direction,0,0.0,,38,1031,1.5925032050857002,0.9909458063546551,2.650682339698057,1.852334652736611,3.1535245933580156,1.0,1031,0.0247322945084018,2264,0.023723670207779442,0.9813815523350711,0.0406896784891207,0.02320198243623054,0.025385832884290447,0.046842725426360594
754,,isothermal,0.0,754,6.1457166663438,0.9848832807010464,15.034335807509247,5.751436800740594,13.636392128660699,direction,0,0.0,,25,0,,,,,,1.0,754,0.02140603737475869,1529,0.019824455689788387,0.9910156782786268,0.03277035999037208,0.01974527718972583,0.020116044349431685,0.03291572769903046
1562,2,,0.0,733,6.2640631458217415,0.9847694867860081,15.241713757375408,5.907127460025642,13.907283795454997,cardinality,0,0.0,,47,829,1.5609314303518906,0.9901918821756664,2.6951151796386283,1.7748830731157923,3.1853788468222426,1.0,1562,0.021750803075278387,3124,0.020746201394572207,0.988952754546326,0.034262349473314635,0.02080968463010258,0.021764915949999897,0.037343975895588785
223,3,,0.0,21,2.014860977899461,0.9760111461982158,2.622734364967692,2.014860977899461,2.622734364967692,cardinality,0,0.0,,8,202,1.722072518225939,0.9934305940513162,2.459940527438434,2.1953345053430953,3.008404166033763,1.0,223,0.04195746845745588,669,0.02871576822639091,0.9547964958456082,0.05075055138418627,0.028715768226390905,0.039920707268265465,0.07082323801268853
829,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,31,829,1.5609314303518906,0.9901918821756664,2.6951151796386283,1.7748830731157923,3.1853788468222426,1.0,829,0.020677836042139363,1658,0.021777252502832817,0.9867334504770549,0.0355951328817497,0.02177725250283282,0.02163891024297246,0.03786675366243492
202,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,7,202,1.722072518225939,0.9934305940513162,2.459940527438434,2.1953345053430953,3.008404166033763,1.0,202,0.044698675521159706,606,0.029049017657946926,0.9462470797062368,0.05214354229984997,0.02904901765794693,0.041979347438698675,0.07457549687891572
733,2,isothermal,0.0,733,6.2640631458217415,0.9847694867860081,15.241713757375408,5.907127460025642,13.907283795454997,direction_cardinality,0,0.0,,24,0,,,,,,1.0,733,0.020932981389999647,1466,0.019580114943347045,0.9909768447585114,0.03268959893282959,0.019580114943347045,0.019891286777523297,0.03284383063026116
21,3,isothermal,0.0,21,2.014860977899461,0.9760111461982158,2.622734364967692,2.014860977899461,2.622734364967692,direction_cardinality,0,0.0,,1,0,,,,,,1.0,21,0.025510226075232973,63,0.02551022607523297,0.9898995494130186,0.034596462212996094,0.025510226075232973,0.02551022607523297,0.034596462212996094
1748,,,0.0,788,8.246815110336343,0.972471358304413,18.080965869437584,11.857419612400552,23.12490014079059,all,1,0.0,,47,960,2.402839120229085,0.9744930765050449,4.24813204487469,2.9958416908855368,4.6752878411553604,1.0,1748,0.0265849941016688,3729,0.024115350223001156,0.9792330921774393,0.044124440831858486,0.02457889108248333,0.030762955871439783,0.05312759344133784
960,,isobaric,0.0,0,,,,,,direction,1,0.0,,32,960,2.402839120229085,0.9744930765050449,4.24813204487469,2.9958416908855368,4.6752878411553604,1.0,960,0.027976439823358835,1979,0.022958130978570534,0.9805089546396146,0.042607297244913,0.022647514887498308,0.03224098524947256,0.05487804393798728
788,,isothermal,0.0,788,8.246815110336343,0.972471358304413,18.080965869437584,11.857419612400552,23.12490014079059,direction,1,0.0,,20,0,,,,,,1.0,788,0.02869642376503893,1750,0.025423999871417267,0.977658160470989,0.04577957569346257,0.026788160891738213,0.030184641663966238,0.0527222968475239
1515,2,,0.0,614,10.103119604774252,0.971344799911262,20.45147852217759,12.98998967243761,24.36556739323165,cardinality,1,0.0,,43,901,2.283289824728167,0.9758176773297941,4.075598487591451,2.7757768316466085,4.337133013096563,1.0,1515,0.02819871424246584,3030,0.025495652965341883,0.9779355411800563,0.04634091974621169,0.025582305103875103,0.030685914381374024,0.05292991341849554
233,3,,0.0,174,1.6964072966301573,0.989594358745137,2.1449481116546734,1.6642890720670178,2.117119663209214,cardinality,1,0.0,,4,59,4.228498700675303,0.7519153076488684,6.322809936347831,6.296814579469469,8.220232403229323,1.0,233,0.03317279873637514,699,0.018132063657489837,0.9806463047986674,0.032829605155688855,0.01813206365748984,0.0315911518896467,0.05520796841433817
901,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,30,901,2.283289824728167,0.9758176773297941,4.075598487591451,2.7757768316466085,4.337133013096563,1.0,901,0.02810922859089033,1802,0.021965262674144323,0.9823338300121592,0.040722281719881924,0.021965262674144323,0.031040723036947458,0.05314720641080406
59,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,2,59,4.228498700675303,0.7519153076488684,6.322809936347831,6.296814579469469,8.220232403229323,1.0,59,0.05024491843734907,177,0.03306631563719215,0.943484056846678,0.05843419786463656,0.03306631563719215,0.05024491843734909,0.0762640942007798
614,2,isothermal,0.0,614,10.103119604774252,0.971344799911262,20.45147852217759,12.98998967243761,24.36556739323165,direction_cardinality,1,0.0,,18,0,,,,,,1.0,614,0.03085746531620684,1228,0.03067624197571485,0.9720192515463871,0.053528606117906684,0.03067624197571485,0.03210100347752423,0.0552939401543872
174,3,isothermal,0.0,174,1.6964072966301573,0.989594358745137,2.1449481116546734,1.6642890720670178,2.117119663209214,direction_cardinality,1,0.0,,2,0,,,,,,1.0,174,0.012686255095206414,522,0.013068150629889632,0.9947226120571776,0.01689464646470947,0.013068150629889632,0.01293738534194432,0.016722065919368596
1781,,,0.0,804,6.370777806360092,0.9843649441918414,17.328427294954558,8.162212737534022,22.123137394005358,all,2,0.0,,51,977,1.837827699440651,0.9875332569255655,3.2945806684625625,2.4615590176403206,4.67037664670057,1.0,1781,0.0231998402204841,3779,0.022574344457149086,0.9849317756124087,0.03859640981837559,0.022751857752978093,0.024365781902185153,0.04490882152998104
977,,isobaric,0.0,0,,,,,,direction,2,0.0,,34,977,1.837827699440651,0.9875332569255655,3.2945806684625625,2.4615590176403206,4.67037664670057,1.0,977,0.023315506686773745,2084,0.024746154195724693,0.9819409935497829,0.04110003801329721,0.02453017065895029,0.02530488224584871,0.04747128262085073
804,,isothermal,0.0,804,6.370777806360092,0.9843649441918414,17.328427294954558,8.162212737534022,22.123137394005358,direction,2,0.0,,26,0,,,,,,1.0,804,0.02020804158464514,1695,0.01990410758682958,0.9881929731084662,0.03527549678588222,0.020355244627602898,0.020249921529237876,0.03606505016258007
1564,2,,0.0,717,6.999527021088593,0.9840297511317375,18.343032462238227,8.731194609580049,23.02150245964977,cardinality,2,0.0,,47,847,1.9313868470175068,0.9869274614741972,3.489795094510342,2.517931338125941,4.79357490543089,1.0,1564,0.023640139703848408,3128,0.022817348171096614,0.9845323414688901,0.03959552303321946,0.02294054053100278,0.024304493249967182,0.04529229401108892
