attempted_samples,category,component_count,direction,manifest,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,reused_from_main_benchmark,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,variant,variant_id,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
754,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,754,8.408058406724853,0.9790540275822059,17.697247950942582,8.638345124403308,17.850911143988252,False,direction,0,0.0,,25,0,,,,,,1.0,754,Uni-Mol v2 only,c0_current_vanilla,0.03767777134943662,1529,0.035368503297062655,0.9618765705729267,0.06750478293992,0.035205435223249607,0.036012240383880685,0.06847234901768261
1031,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,0,,,,,,False,direction,0,0.0,,38,1031,2.243845450459581,0.9848167636235082,3.432534981495813,2.586370478877818,4.103403743115718,1.0,1031,Uni-Mol v2 only,c0_current_vanilla,0.03273075024853545,2264,0.033937891337946,0.970971756328526,0.05080692421848536,0.033866658484395726,0.03343540293040002,0.05214289175044129
788,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,788,8.334210088948671,0.9717655118525662,18.31130069202674,11.953340778043145,22.623222797992483,False,direction,1,0.0,,20,0,,,,,,1.0,788,Uni-Mol v2 only,c0_current_vanilla,0.03790279082271204,1750,0.02920366582705059,0.9663276356735739,0.05620165503091225,0.03141730392881064,0.03860498334476634,0.06904230625725004
960,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,0,,,,,,False,direction,1,0.0,,32,960,3.8509523785909017,0.9345921465269915,6.802740682160214,4.405230604790189,7.243282324871566,1.0,960,Uni-Mol v2 only,c0_current_vanilla,0.04416704824273242,1979,0.04064521491031731,0.961763197792265,0.059677030148784144,0.04044318222529837,0.04735849216986115,0.06859681097772724
804,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,804,12.760959814766506,0.9367697255635699,34.847527061055466,17.2307212562576,45.10531260052887,False,direction,2,0.0,,26,0,,,,,,1.0,804,Uni-Mol v2 only,c0_current_vanilla,0.04060208619616298,1695,0.03686107357969348,0.9675446737560445,0.05848518284325672,0.03704187696914198,0.03820313266458882,0.06051714057949855
977,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,0,,,,,,False,direction,2,0.0,,34,977,3.31248016263714,0.9625701679756529,5.70863900067484,4.158871911899622,7.655187940798765,1.0,977,Uni-Mol v2 only,c0_current_vanilla,0.03862895379814597,2084,0.0436984876731167,0.9522917970655433,0.06680236314036575,0.044509816576698474,0.04075928275830393,0.06920295213971328
561,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,561,8.799442049182886,0.9831453491572764,20.23884384252247,9.367325979247031,20.615737023649064,False,direction,3,0.0,,19,0,,,,,,1.0,561,Uni-Mol v2 only,c0_current_vanilla,0.03276787188634254,1122,0.03373512425831546,0.9744290618719571,0.05811040315345187,0.03373512425831546,0.02919580407166557,0.051469895938437094
1251,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,0,,,,,,False,direction,3,0.0,,41,1251,2.843998742412319,0.9665686717815307,4.0998190846577485,2.6055905602245173,3.9006137056798544,1.0,1251,Uni-Mol v2 only,c0_current_vanilla,0.04442722359805483,2764,0.047980140509487665,0.9463735962960249,0.06927447938340589,0.049146177685220525,0.04478307296890328,0.06729776037644158
819,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,819,11.816161272276483,0.9495088375539573,26.979738677458766,9.857260065668573,24.469217982026667,False,direction,4,0.0,,23,0,,,,,,1.0,819,Uni-Mol v2 only,c0_current_vanilla,0.03606960961813127,1832,0.038606096461359526,0.9627722825497091,0.060189948462488686,0.038822261880704825,0.03645524717074141,0.05926412222837691
926,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\c0_current_vanilla.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,0,,,,,,False,direction,4,0.0,,31,926,5.027179691982062,0.9118458075892286,8.830773190986124,5.692589020419754,10.370265979179194,1.0,926,Uni-Mol v2 only,c0_current_vanilla,0.06273542148483109,1887,0.06815992143401965,0.8974907197669733,0.10348972213452254,0.06659872331203037,0.06384195997288276,0.10757112450798201
