attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,14.34154463997753,0.8828373338211513,31.29022785214842,14.810155216217233,32.889101731725596,all,0,0.0,,57,854,8.074636477754044,0.8955768971544673,11.219337662882857,9.289661934954196,12.71574491709692,1.0,1676,0.0898915034694001,3520,0.09128285170889444,0.8379353959576902,0.127773707011968,0.09277656909335025,0.09477325093541136,0.13366009472492643
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,8.074636477754044,0.8955768971544673,11.219337662882857,9.289661934954196,12.71574491709692,1.0,854,0.08432056088357844,1771,0.08942523919646042,0.8486994179186215,0.12119308120529491,0.09085358236324799,0.09019231041158172,0.12549997847855315
822,,isothermal,0.0,822,14.34154463997753,0.8828373338211513,31.29022785214842,14.810155216217233,32.889101731725596,direction,0,0.0,,26,0,,,,,,1.0,822,0.10108960971973321,1749,0.09316383041645342,0.8276808315696387,0.1341084849765066,0.09455885526775243,0.09992416246522548,0.14409739081624967
1508,2,,0.0,717,15.073757395717989,0.8838052829823276,33.208977029779184,15.46771441447698,34.12451331718956,cardinality,0,0.0,,53,791,8.47685549961481,0.892547476264645,11.603686663145155,9.679356956280053,13.061330762891332,1.0,1508,0.0954748602092224,3016,0.09591072751300425,0.8243530300690879,0.13374747865065217,0.09604121778109123,0.09729700980856998,0.1368740151773402
168,3,,0.0,105,9.341577536492691,0.6978613362455135,11.575379345458057,6.91944483710021,9.392563853217522,cardinality,0,0.0,,4,63,3.024553203280001,0.9283917581544893,3.966878068627404,2.8596940830775592,3.8347089238407284,1.0,168,0.06133344586606004,504,0.06358905523033251,0.9007894954125151,0.08353030022017713,0.06358905523033251,0.06133344586606004,0.07965221735192135
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,8.47685549961481,0.892547476264645,11.603686663145155,9.679356956280053,13.061330762891332,1.0,791,0.09032234266454195,1582,0.09405155423225026,0.8346162770272704,0.12626865431021406,0.09405155423225026,0.09274352599974973,0.12838493298021278
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,3.024553203280001,0.9283917581544893,3.966878068627404,2.8596940830775592,3.8347089238407284,1.0,63,0.04809725320680983,189,0.05070126889688628,0.9464039684737746,0.06461031621211982,0.05070126889688628,0.048097253206809826,0.06053824161260616
717,2,isothermal,0.0,717,15.073757395717989,0.8838052829823276,33.208977029779184,15.46771441447698,34.12451331718956,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.10381509160485203,1434,0.09796178199707178,0.8142313735063782,0.14154046235591553,0.0979617819970718,0.1020370394602184,0.14745300996138108
105,3,isothermal,0.0,105,9.341577536492691,0.6978613362455135,11.575379345458057,6.91944483710021,9.392563853217522,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.07456963852531025,315,0.07132172703040024,0.8683892261888141,0.09305375817869264,0.07132172703040024,0.07456963852531026,0.09499511966732375
1685,,,0.0,628,25.137172541462377,0.803973221638238,58.453325907609006,24.65537535822233,58.4594531622184,all,1,0.0,,57,1057,4.720305537257202,0.9444957938957741,6.552050200533179,5.494009154884953,7.6052762228490405,1.0,1685,0.05282241615080957,3545,0.05627834504948922,0.9309054910902708,0.08425127006249564,0.05593533092738561,0.054923542623346505,0.0837814418062397
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,4.720305537257202,0.9444957938957741,6.552050200533179,5.494009154884953,7.6052762228490405,1.0,1057,0.05578303495452617,2289,0.05660864548593714,0.9315175917667674,0.08216949221400822,0.056015555066700085,0.05476580666750098,0.08053459370152773
628,,isothermal,0.0,628,25.137172541462377,0.803973221638238,58.453325907609006,24.65537535822233,58.4594531622184,direction,1,0.0,,20,0,,,,,,1.0,628,0.05735446629404076,1256,0.05567638828274617,0.9293033201618096,0.08791852482433826,0.05567638828274615,0.05417902688259536,0.08781148122837483
1510,2,,0.0,628,25.137172541462377,0.803973221638238,58.453325907609006,24.65537535822233,58.4594531622184,cardinality,1,0.0,,52,882,5.052806026951802,0.9402928016718031,6.9507934493921635,5.845040584817096,7.971357829870325,1.0,1510,0.050497240643042667,3020,0.05497543539123209,0.9349792306899948,0.08275594689305771,0.05501601243273839,0.05425388130959674,0.08329136541217148
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,3.0445030691964154,0.9033346903805629,3.974060441342572,2.8261702874006707,3.808227974822158,1.0,175,0.06699867739943435,525,0.06377317775032067,0.8669286674463654,0.09238407453360262,0.06377317775032067,0.06188802028634408,0.08871789986119064
882,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,38,882,5.052806026951802,0.9402928016718031,6.9507934493921635,5.845040584817096,7.971357829870325,1.0,882,0.05050280804014292,1764,0.054476344216775364,0.9392911264459695,0.07887441369802554,0.054476344216775364,0.05382867329660059,0.07939507555919573
175,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,5,175,3.0445030691964154,0.9033346903805629,3.974060441342572,2.8261702874006707,3.808227974822158,1.0,175,0.06699867739943435,525,0.06377317775032067,0.8669286674463654,0.09238407453360262,0.06377317775032067,0.06188802028634408,0.08871789986119064
628,2,isothermal,0.0,628,25.137172541462377,0.803973221638238,58.453325907609006,24.65537535822233,58.4594531622184,direction_cardinality,1,0.0,,20,0,,,,,,1.0,628,0.05735446629404076,1256,0.05567638828274617,0.9293033201618096,0.08791852482433826,0.05567638828274615,0.05417902688259536,0.08781148122837483
1804,,,0.0,882,12.432513564322043,0.931806500453748,25.218985428160675,11.747518861502847,23.3231781405217,all,2,0.0,,55,922,5.174233390493662,0.9505044951826825,6.700492327879803,5.825497221488435,7.605560693709901,1.0,1804,0.06536373740744367,3779,0.06789299764968641,0.9118086907437757,0.09232647579864066,0.06844364392314792,0.06813184973275448,0.09208845878709257
922,,isobaric,0.0,0,,,,,,direction,2,0.0,,33,922,5.174233390493662,0.9505044951826825,6.700492327879803,5.825497221488435,7.605560693709901,1.0,922,0.0617262145535837,1928,0.06354321610942847,0.9263795794921644,0.08226723658169753,0.06391152917556518,0.06358551661964573,0.08283980717466789
882,,isothermal,0.0,882,12.432513564322043,0.931806500453748,25.218985428160675,11.747518861502847,23.3231781405217,direction,2,0.0,,27,0,,,,,,1.0,882,0.06792996978936364,1851,0.07242372634207829,0.898071748007078,0.10175223721616576,0.07266321137003483,0.07204976870378864,0.10017378760330177
1633,2,,0.0,795,13.047001636152636,0.9315282513669212,26.436025613736707,12.270383497835018,24.16697820919302,cardinality,2,0.0,,50,838,5.115964269524261,0.950944411756859,6.75546927804262,5.826799933435161,7.7313250018804185,1.0,1633,0.06501921341369823,3266,0.06887845001014113,0.9121087122854487,0.09444312159294227,0.0691666858371361,0.06858188039215837,0.09320878807550981
171,3,,0.0,87,6.81736394242182,0.7105469606503846,7.844106364986652,5.21171090735068,6.562634662294319,cardinality,2,0.0,,5,84,5.755537240164609,0.9444592154984445,6.125074174845197,5.812470102021185,6.209365931859941,1.0,171,0.061559882148787506,513,0.06161914305076816,0.8566687863955759,0.07750711043197675,0.06161914305076816,0.06363154313871555,0.08002715110854272
838,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,30,838,5.115964269524261,0.950944411756859,6.75546927804262,5.826799933435161,7.7313250018804185,1.0,838,0.059721750569013785,1676,0.06475891293631889,0.927175021132835,0.08417444767951512,0.06475891293631889,0.06384064181851194,0.08338197629481431
84,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,3,84,5.755537240164609,0.9444592154984445,6.125074174845197,5.812470102021185,6.209365931859941,1.0,84,0.061034264630983555,252,0.05545786737185564,0.8549955759847725,0.0682398277164835,0.05545786737185564,0.06103426463098355,0.0772090051212164
795,2,isothermal,0.0,795,13.047001636152636,0.9315282513669212,26.436025613736707,12.270383497835018,24.16697820919302,direction_cardinality,2,0.0,,25,0,,,,,,1.0,795,0.06809322011910539,1590,0.07322080481248457,0.8975183828047546,0.10417713391211324,0.07322080481248458,0.07241155332806665,0.10135111945273119
87,3,isothermal,0.0,87,6.81736394242182,0.7105469606503846,7.844106364986652,5.21171090735068,6.562634662294319,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.06752746090031354,261,0.06756796094764923,0.857678670080297,0.08550704732372379,0.06756796094764923,0.06752746090031354,0.08407744393511138
1691,,,0.0,764,19.701041589331304,0.9100721515627801,39.41926722351797,18.753175130122163,35.83669033214285,all,3,0.0,,48,927,4.667391431164452,0.9096508411259119,8.172051132099352,6.071115357057902,9.848552252877981,1.0,1691,0.04962925780891103,3548,0.04378263656064845,0.9514538562262339,0.0698257135023402,0.04439021490530585,0.050785345515035836,0.08124212421040579
927,,isobaric,0.0,0,,,,,,direction,3,0.0,,32,927,4.667391431164452,0.9096508411259119,8.172051132099352,6.071115357057902,9.848552252877981,1.0,927,0.058428678026766455,1854,0.04565279441586873,0.9423994472847057,0.07496381972909275,0.04565279441586874,0.05747443016827258,0.09017543683482371
764,,isothermal,0.0,764,19.701041589331304,0.9100721515627801,39.41926722351797,18.753175130122163,35.83669033214285,direction,3,0.0,,21,0,,,,,,1.0,764,0.04241774924175644,1694,0.041735840419220814,0.9603072593157128,0.06372927118877915,0.043226942492377116,0.04502511062231033,0.06926891232732005
1525,2,,0.0,598,24.304216881475046,0.9039700409376277,44.50390361928872,21.359240176936343,38.672937151065966,cardinality,3,0.0,,45,927,4.667391431164452,0.9096508411259119,8.172051132099352,6.071115357057902,9.848552252877981,1.0,1525,0.05110628781618783,3050,0.046357887833363025,0.94698913480796,0.07335791297635456,0.04619328528492982,0.05238550882371374,0.08327885966433157
166,3,,0.0,166,3.1185185489580562,0.9543916023896727,4.08199439592791,3.1167848492370633,4.0375995828605395,cardinality,3,0.0,,3,0,,,,,,1.0,166,0.02687688544412649,498,0.02801051531209532,0.9745719149232336,0.042168071288173306,0.028010515312095318,0.026782895884867267,0.0396736302174698
927,2,isobaric,0.0,0,,,,,,direction_cardinality,3,0.0,,32,927,4.667391431164452,0.9096508411259119,8.172051132099352,6.071115357057902,9.848552252877981,1.0,927,0.058428678026766455,1854,0.04565279441586873,0.9423994472847057,0.07496381972909275,0.04565279441586874,0.05747443016827258,0.09017543683482371
598,2,isothermal,0.0,598,24.304216881475046,0.9039700409376277,44.50390361928872,21.359240176936343,38.672937151065966,direction_cardinality,3,0.0,,18,0,,,,,,1.0,598,0.04609312704463024,1196,0.04745090053907742,0.9534375161302652,0.07079652331291528,0.04745090053907742,0.0480654797452175,0.07304482478866102
166,3,isothermal,0.0,166,3.1185185489580562,0.9543916023896727,4.08199439592791,3.1167848492370633,4.0375995828605395,direction_cardinality,3,0.0,,3,0,,,,,,1.0,166,0.02687688544412649,498,0.02801051531209532,0.9745719149232336,0.042168071288173306,0.028010515312095318,0.026782895884867267,0.0396736302174698
1719,,,0.0,738,13.849540952781819,0.9144490127260558,32.47068480117042,16.121066769445395,35.23779291627825,all,4,0.0,,50,981,4.93910727902411,0.9420336134729221,6.767563413056178,5.097951632276159,6.923664901982909,1.0,1719,0.06552953243299922,3645,0.061441906117771374,0.91775039887805,0.0891350372847416,0.06323235270222699,0.06348154097579296,0.09143273690558118
981,,isobaric,0.0,0,,,,,,direction,4,0.0,,34,981,4.93910727902411,0.9420336134729221,6.767563413056178,5.097951632276159,6.923664901982909,1.0,981,0.0665384709339913,2084,0.05919651532203076,0.920446100228433,0.08590279259559162,0.06092912745812927,0.059507026014355785,0.0853492952856327
738,,isothermal,0.0,738,13.849540952781819,0.9144490127260558,32.47068480117042,16.121066769445395,35.23779291627825,direction,4,0.0,,22,0,,,,,,1.0,738,0.06340222826217233,1561,0.06443959632810028,0.9144666271306046,0.09327579982716751,0.06617863322237676,0.06754501236426697,0.09757679169777353
1512,2,,0.0,653,15.427948984449156,0.9123827850236752,34.50877634934639,16.806657883784425,36.06331721689946,cardinality,4,0.0,,46,859,5.345015641768678,0.9366917204413461,7.174819201309009,5.410178793293035,7.218177892850055,1.0,1512,0.06942815819552725,3024,0.06737974091556874,0.90884186687021,0.09596368557305407,0.06748383090902435,0.06628541886962093,0.09459581257623155
207,3,,0.0,85,1.723653368325699,0.9894672825306675,2.3717649567670254,1.723653368325699,2.3717649567670254,cardinality,4,0.0,,4,122,2.081113151175066,0.9874993904476252,2.412549009774428,1.8716043017684434,2.213425555603264,1.0,207,0.03154772016427987,621,0.03252723231980166,0.9655762297282606,0.0423089904234523,0.03252723231980166,0.03123694519677131,0.0399135067433792
859,2,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,31,859,5.345015641768678,0.9366917204413461,7.174819201309009,5.410178793293035,7.218177892850055,1.0,859,0.06965011556565906,1718,0.06513257762300619,0.9130525538177334,0.09287637434719026,0.0651325776230062,0.062339768898110985,0.08862172547896804
122,3,isobaric,0.0,0,,,,,,direction_cardinality,4,0.0,,3,122,2.081113151175066,0.9874993904476252,2.412549009774428,1.8716043017684434,2.213425555603264,1.0,122,0.03041242820720686,366,0.031332703756249906,0.9614132892028457,0.0390787339619848,0.03133270375624991,0.03023534954888545,0.03743865187513888
653,2,isothermal,0.0,653,15.427948984449156,0.9123827850236752,34.50877634934639,16.806657883784425,36.06331721689946,direction_cardinality,4,0.0,,21,0,,,,,,1.0,653,0.06591308306741415,1306,0.07033581023916935,0.9035277065132361,0.09987971178256541,0.07033581023916935,0.0691308828511164,0.09935498453648375
85,3,isothermal,0.0,85,1.723653368325699,0.9894672825306675,2.3717649567670254,1.723653368325699,2.3717649567670254,direction_cardinality,4,0.0,,1,0,,,,,,1.0,85,0.03424173214042888,255,0.03424173214042888,0.9689625811702365,0.04655528025403334,0.034241732140428874,0.03424173214042888,0.04655528025403334
