attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,5.47060254710476,0.980990272779086,12.60381573172492,5.909019540861986,13.482453746680681,all,0,0.0,,57,854,2.877121679230101,0.9837884445021391,4.420600472530665,3.4275981426346953,5.2110286460930775,1.0,1676,0.029712634420019535,3520,0.028860713223347503,0.9775301701667404,0.04757702700726466,0.029209910923018643,0.03019841692368194,0.051618165353887954
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.877121679230101,0.9837884445021391,4.420600472530665,3.4275981426346953,5.2110286460930775,1.0,854,0.0286719084129762,1771,0.028785668697839113,0.9771593458490692,0.047088168256879864,0.028802181383029868,0.029719913865319424,0.050949063431032046
822,,isothermal,0.0,822,5.47060254710476,0.980990272779086,12.60381573172492,5.909019540861986,13.482453746680681,direction,0,0.0,,26,0,,,,,,1.0,822,0.03099504703551804,1749,0.028936701705151602,0.9778632146339624,0.04806696911575998,0.029484172651785052,0.028739242779562895,0.04959352427389339
1508,2,,0.0,717,5.892352620867589,0.9809719236458867,13.43877705561437,6.167370517983495,13.995729174081191,cardinality,0,0.0,,53,791,2.9779218864199866,0.9833960821327733,4.561345519383583,3.53412384492607,5.344815544085054,1.0,1508,0.030663891010864516,3016,0.02978080100559763,0.9754250891662448,0.050027781906970985,0.0298648111431475,0.030584851044633498,0.05284402087575742
168,3,,0.0,105,2.59065204341001,0.9766119303622457,3.2205442416308037,2.808807815403875,3.539780506933012,cardinality,0,0.0,,4,63,1.6115190778459845,0.9833020569466131,1.9155735598973507,1.6699240548270144,1.9628969222066195,1.0,168,0.025078164821073765,504,0.02335479109781897,0.9881678208985576,0.02884679581657464,0.02335479109781898,0.025078164821073765,0.031107860516870936
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.9779218864199866,0.9833960821327733,4.561345519383583,3.53412384492607,5.344815544085054,1.0,791,0.029429459837759797,1582,0.028839152262262253,0.9757528517200874,0.04834811029179587,0.028839152262262253,0.029887733610522733,0.05182925810693143
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,1.6115190778459845,0.9833020569466131,1.9155735598973507,1.6699240548270144,1.9628969222066195,1.0,63,0.02695088806946481,189,0.028337991454889848,0.9844545276326895,0.03479665611351032,0.02833799145488985,0.02695088806946481,0.033213486660422696
717,2,isothermal,0.0,717,5.892352620867589,0.9809719236458867,13.43877705561437,6.167370517983495,13.995729174081191,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.03125008793175563,1434,0.030819635253823967,0.9751018483811765,0.051817681650578665,0.030819635253823967,0.029200392880136244,0.050942342549392845
105,3,isothermal,0.0,105,2.59065204341001,0.9766119303622457,3.2205442416308037,2.808807815403875,3.539780506933012,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.023205441572682717,315,0.02036487088357645,0.9908053982604424,0.024595443484594862,0.02036487088357645,0.02320544157268272,0.0288489562329752
1685,,,0.0,628,10.84629963811809,0.9627280689243273,25.488394058594903,10.598090350112212,24.135784173025456,all,1,0.0,,57,1057,2.3368728704100707,0.9803859873420441,3.894910604750294,2.7314055904157772,4.356363992714202,1.0,1685,0.03975523877983636,3545,0.03372313233788878,0.9589405616081573,0.06494731352364459,0.03299356013364646,0.03739369426536684,0.0674178473018965
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.3368728704100707,0.9803859873420441,3.894910604750294,2.7314055904157772,4.356363992714202,1.0,1057,0.042656075430869494,2289,0.03592713450549855,0.9532698843578739,0.06787651231130658,0.03462975003003478,0.036958722503362226,0.06625488966834152
628,,isothermal,0.0,628,10.84629963811809,0.9627280689243273,25.488394058594903,10.598090350112212,24.135784173025456,direction,1,0.0,,20,0,,,,,,1.0,628,0.033986969023687114,1256,0.02970644367414773,0.9679052806638979,0.05923762995258281,0.02970644367414773,0.03132107739616573,0.06053456565480037
1510,2,,0.0,628,10.84629963811809,0.9627280689243273,25.488394058594903,10.598090350112212,24.135784173025456,cardinality,1,0.0,,52,882,2.313343493403227,0.9801018614322663,4.012612872956921,2.7640161394812366,4.489195471512224,1.0,1510,0.03669462027260173,3020,0.03061547886723104,0.9677257364570165,0.05830440006038646,0.030811223473991945,0.03639950547883354,0.06504330687159608
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,2.4554609305245636,0.9358584492432869,3.237195087558193,2.483565417518287,3.169880877786439,1.0,175,0.053727564952657854,525,0.05159953896910094,0.86079960114148,0.09448766124818309,0.05159953896910094,0.04773325764531319,0.0884099742196866
