epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,53.63851547241211,18.252499273338113,0.672511229746239,1.073470137382748,0.0,0.0,1.2600440053388764,0.050797702768404576,0.0,0.0,0.11436041296721186,0.3238530285558474,0.0,0.0,0.29411972103253853,0.017832795037686176
2,experimental,0.0,0.0,46.06089782714844,13.831674263107024,0.17038911163508538,0.2642161171515772,0.0,0.0,0.31403938609924636,0.01154221515874844,0.0,0.0,0.09807389540509404,0.21238962780277412,0.0,0.0,0.2135154267867815,0.009246718943845364
3,experimental,0.0,0.0,26.1751708984375,10.419564892943866,0.11024740236740058,0.188190853891362,0.0,0.0,0.21375218485674044,0.009409355168418421,0.0,0.0,0.07959084712041317,0.22435711618148646,0.0,0.0,0.2025153446088456,0.010745938307951269
4,experimental,0.0,0.0,18.839405059814453,6.767761079333168,0.08202760531750455,0.17014636191403407,0.0,0.0,0.17584104171804785,0.008740255648353432,0.0,0.0,0.06781580934078439,0.18376999526892204,0.0,0.0,0.17201666118179887,0.012315854796550832
5,experimental,0.0,0.0,16.083633422851562,6.0352448526381695,0.07255872692645357,0.14474798349594664,0.0,0.0,0.15398841170379884,0.00905569265075759,0.0,0.0,0.06706108483435291,0.21588831656043225,0.0,0.0,0.18768573134473013,0.012680490865447203
6,experimental,0.0,0.0,12.379964828491211,5.522085273176326,0.06350619275578788,0.13302093907010962,0.0,0.0,0.13817160364479403,0.00815494123175436,0.0,0.0,0.06098151390998278,0.19280778635836385,0.0,0.0,0.1680688066029971,0.010683399650415756
7,experimental,0.0,0.0,21.980026245117188,7.1592994415309334,0.06296357331190668,0.13087321187701642,0.0,0.0,0.13659489916264814,0.008194719186780709,0.0,0.0,0.05285547159318245,0.15290811897312456,0.0,0.0,0.14167373903892325,0.012364208642361402
8,experimental,0.0,0.0,10.85319709777832,4.938335282578643,0.05515180721421625,0.11432894366604272,0.0,0.0,0.1195994028557809,0.007283123877493781,0.0,0.0,0.05937984726552012,0.17181358837856436,0.0,0.0,0.15635099523983526,0.011064354273857492
9,experimental,0.0,0.0,13.957633972167969,5.821912719270267,0.049745419432822936,0.12280516387084274,0.0,0.0,0.11883504575867063,0.007687044406498418,0.0,0.0,0.039609817852968486,0.14473214304407983,0.0,0.0,0.12405442236456754,0.012078533648780034
10,experimental,0.0,0.0,24.853374481201172,8.398531731464947,0.052061978911119966,0.12546317549742597,0.0,0.0,0.12194220030597117,0.007148633190721348,0.0,0.0,0.056775594876707455,0.1570534662217362,0.0,0.0,0.1454780732540828,0.010175744801378459
11,experimental,0.0,0.0,18.602294921875,6.617713601861511,0.04224166453219366,0.11418787585238925,0.0,0.0,0.10579254690809474,0.006456943616718093,0.0,0.0,0.047607000384707665,0.14747158599417845,0.0,0.0,0.13144542727983632,0.010102633898305664
12,experimental,0.0,0.0,28.95992660522461,7.5415686521114305,0.0411955676842817,0.09960120190153353,0.0,0.0,0.0967876700307286,0.005791501357953663,0.0,0.0,0.04857057191350584,0.13885447691770333,0.0,0.0,0.12797497735151636,0.00997716537636815
13,experimental,0.0,0.0,18.137500762939453,6.767545901084823,0.03569605084242376,0.09373527117090222,0.0,0.0,0.08810200280052387,0.005538316697127378,0.0,0.0,0.032815331756097375,0.10726594344514176,0.0,0.0,0.0963023164106683,0.00985401273923918
14,experimental,0.0,0.0,28.627901077270508,7.998308616670094,0.03304864336717975,0.08683944744673969,0.0,0.0,0.0816655933404001,0.005197226183108388,0.0,0.0,0.030730715371868556,0.10743494595099068,0.0,0.0,0.09420271452544007,0.009754527427294447
15,experimental,0.0,0.0,19.122373580932617,7.023903817845308,0.029602660459531673,0.08169021320023441,0.0,0.0,0.07544182139083089,0.00499405412601746,0.0,0.0,0.028931602945347867,0.09138998970721639,0.0,0.0,0.08229053820701174,0.007663940317000131
16,experimental,0.0,0.0,20.180938720703125,6.677327812369704,0.024590234208997804,0.06882727450806858,0.0,0.0,0.06313945024816937,0.004135578599940147,0.0,0.0,0.030519005950602075,0.0862806188086396,0.0,0.0,0.08101512054636384,0.00735580615711006
17,experimental,0.0,0.0,15.981213569641113,6.2396642266958064,0.02246478247046353,0.06016890373767529,0.0,0.0,0.056630691735974695,0.004081457351279061,0.0,0.0,0.021127384166638466,0.06536520086228848,0.0,0.0,0.060692716432493576,0.006882731618919863
18,experimental,0.0,0.0,22.378469467163086,6.9941688262965584,0.021618032778162148,0.05760836262737334,0.0,0.0,0.053825657721007704,0.0034034436566409442,0.0,0.0,0.025665454510034935,0.07149128510316928,0.0,0.0,0.06720595840916353,0.005794861279518528
19,experimental,0.0,0.0,18.027355194091797,5.815426256357956,0.018952259679348604,0.05300876618014653,0.0,0.0,0.04838498160017289,0.0029283389976063378,0.0,0.0,0.019796554040187184,0.0444903886025551,0.0,0.0,0.047348731256523016,0.005306981869783144
20,experimental,0.0,0.0,29.904436111450195,10.034152668575542,0.019729285307465108,0.0497562602309157,0.0,0.0,0.04707246389646859,0.0024650486375024498,0.0,0.0,0.019342263928348844,0.04899225629953451,0.0,0.0,0.04860977159909959,0.004771379589008912
21,experimental,0.0,0.0,16.63844108581543,7.713418776896957,0.013556002901663125,0.039834423271634646,0.0,0.0,0.03564657356961531,0.0021733586442269246,0.0,0.0,0.02704472189344223,0.03609861366572194,0.0,0.0,0.049651568792781674,0.004557539839105837
22,experimental,0.0,0.0,44.24827194213867,9.025954730770456,0.015668623096209856,0.04128904631184695,0.0,0.0,0.038362001013803305,0.0020488548596514613,0.0,0.0,0.014051172808835069,0.03093635822338009,0.0,0.0,0.033528358197897214,0.0040090064476353314
23,experimental,0.0,0.0,21.877168655395508,7.863214218919573,0.011805964794297994,0.03161567900005442,0.0,0.0,0.029318035637758384,0.001704231300155083,0.0,0.0,0.016233086652027124,0.03165410687026593,0.0,0.0,0.035845488770995367,0.0037853482407381946
24,experimental,0.0,0.0,18.171974182128906,5.3567552322173615,0.011557809894119538,0.02994832804838107,0.0,0.0,0.028184780855729986,0.0016528069905053613,0.0,0.0,0.014916209800604447,0.02833158777447086,0.0,0.0,0.03255399300734389,0.0034719890894356576
25,experimental,0.0,0.0,25.249469757080078,8.719273593582477,0.010500511299549332,0.030089569053910904,0.0,0.0,0.026887974848924395,0.0013426788774717237,0.0,0.0,0.015635813557126985,0.02489399256609623,0.0,0.0,0.03150305490602146,0.003420244798869887
26,experimental,0.0,0.0,31.027742385864258,9.350319988626122,0.012684434792560569,0.032200441616462815,0.0,0.0,0.030136040914418506,0.0013513852236657488,0.0,0.0,0.03501077971845576,0.04073633878503001,0.0,0.0,0.058671089821096284,0.0032921413634890415
27,experimental,0.0,0.0,31.757875442504883,8.638537111685627,0.011100125183639531,0.028852602378851087,0.0,0.0,0.026860226637179196,0.0013338003313623319,0.0,0.0,0.017703857457104448,0.018638876604907782,0.0,0.0,0.030011631235301393,0.0029883355608746717
28,experimental,0.0,0.0,29.235830307006836,8.031350767607746,0.010044246031595398,0.026957676140579232,0.0,0.0,0.024752946839815205,0.0012298625765344785,0.0,0.0,0.013534690686882293,0.016250441753688356,0.0,0.0,0.024533006667732987,0.0028730951722316217
29,experimental,0.0,0.0,20.40744400024414,6.860370624428162,0.008531165245207358,0.0235781551500312,0.0,0.0,0.02140205842593103,0.0010818156745818978,0.0,0.0,0.015708455707816104,0.016935841555655504,0.0,0.0,0.027104724784317257,0.0029283484007780886
30,experimental,0.0,0.0,23.999624252319336,6.402031086160486,0.00821125902237471,0.02284413575957403,0.0,0.0,0.020668020046449447,0.0010346932545993314,0.0,0.0,0.018755375529576058,0.021360018041640894,0.0,0.0,0.03242892168543215,0.002993537385039044
31,experimental,0.0,0.0,18.98831558227539,8.47867458030933,0.010966980978777845,0.026309798100253856,0.0,0.0,0.025240329383406115,0.0011184493661950158,0.0,0.0,0.014860985952383146,0.016120603061672525,0.0,0.0,0.026273666603598273,0.0033523794413363723
32,experimental,0.0,0.0,17.916175842285156,7.211141146857847,0.007263587273471082,0.019885937424294314,0.0,0.0,0.01810816638188849,0.0009016103997380974,0.0,0.0,0.01597874181258842,0.014616084590196405,0.0,0.0,0.02586725822997611,0.0025804741594305696
33,experimental,0.0,0.0,12.301335334777832,5.798844194226924,0.006043345158758481,0.019699379628024354,0.0,0.0,0.016736769601295366,0.0008437344797198262,0.0,0.0,0.010295718972741058,0.012032665086115656,0.0,0.0,0.019033596487774414,0.00272154507414678
34,experimental,0.0,0.0,16.74986457824707,6.345969905370843,0.006715344029205503,0.02056953972446601,0.0,0.0,0.017804737319744572,0.0008046234749274004,0.0,0.0,0.01742181713863773,0.014836703686058529,0.0,0.0,0.027441847300515847,0.0026016783728964495
35,experimental,0.0,0.0,18.178298950195312,5.69450592281727,0.00707495116294137,0.019397785306809183,0.0,0.0,0.01757595615964243,0.0008021123330712138,0.0,0.0,0.013519902661945426,0.010964656028504658,0.0,0.0,0.021625455210636076,0.0026232244918392325
36,experimental,0.0,0.0,13.561498641967773,5.276402496189142,0.007179095415576866,0.017892520239952366,0.0,0.0,0.01694923913381879,0.0008238836864168748,0.0,0.0,0.016198784585780182,0.01423868497252132,0.0,0.0,0.02617763581788492,0.00285950840498481
37,experimental,0.0,0.0,31.903764724731445,10.770829216197393,0.009437196722339792,0.019948188183104596,0.0,0.0,0.020195452536896367,0.0007841618490007443,0.0,0.0,0.015747072769402435,0.011350637887540104,0.0,0.0,0.024081001868668524,0.0026586097351628426
38,experimental,0.0,0.0,15.396039962768555,6.062249917786766,0.005580577107750988,0.016724699864512672,0.0,0.0,0.014637433142873503,0.0006945060582078445,0.0,0.0,0.013998769587379752,0.008385576814170256,0.0,0.0,0.020650989699229096,0.0024594317928910803
39,experimental,0.0,0.0,18.62110710144043,7.250892125701201,0.006144475848149612,0.016956643435008214,0.0,0.0,0.015278837585471106,0.0006560401491609299,0.0,0.0,0.012611490392097921,0.009767950898523056,0.0,0.0,0.020427876616428246,0.0029324109114524403
40,experimental,0.0,0.0,19.07212257385254,6.7896605097655485,0.005828369299347101,0.015091667268555275,0.0,0.0,0.014073240708747709,0.0006990378024976712,0.0,0.0,0.016325635708263595,0.007816325068413113,0.0,0.0,0.022915853307784253,0.002682055165488518
