component_count,direction,model,nonphysical_rate_mean,nonphysical_rate_std,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_r2_mean,pressure_r2_std,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_std,protocol,seeds,solver_failure_rate_mean,solver_failure_rate_std,system_parameter_coverage_mean,system_parameter_coverage_std,temperature_mae_k_mean,temperature_mae_k_std,temperature_r2_mean,temperature_r2_std,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_std,valid_coverage_mean,valid_coverage_std,y_mae_mean,y_mae_std,y_r2_mean,y_r2_std,y_rmse_mean,y_rmse_std,y_system_macro_mae_mean,y_system_macro_mae_std,y_system_macro_rmse_mean,y_system_macro_rmse_std
,isothermal,nrtl,0.0,0.0,1.080993700046198,0.06080200391053116,0.9979432073567835,0.0004264164045183451,3.567778329084685,0.3542758677100002,1.3466887500471476,0.12233789612213276,4.1236133954360605,0.4866752763571918,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.00800384775842158,0.00012513035759219578,0.9975641470320987,0.00015603249596143,0.013516014258068318,0.000433274953035602,0.009476040603645094,0.0002627099699154193,0.015485657010741302,0.0008727450468024225
2,isothermal,nrtl,0.0,0.0,1.2599831520115465,0.08266352621770781,0.9978763859207269,0.00044851696529935416,4.09201328160883,0.4138020992856646,1.4444820044919116,0.14183660430463751,4.406619763991744,0.5265695346603803,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.008239928638704182,0.000138194180769531,0.9977993265167975,0.00018385367563450146,0.013100549134339324,0.0005386562441404641,0.009299847998793983,0.00027154524991420607,0.014939167750760386,0.0009480245142779707
3,isothermal,nrtl,0.0,0.0,0.5488628969059723,0.007840173912979866,0.9981087616079575,0.00012833371772301473,0.8842770572048294,0.029589902170660643,0.7110325961561804,0.025161025343956905,1.1353397735830373,0.058720749382351854,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.007535939707411021,0.000158029185339164,0.9959554766047721,0.0002474331931349724,0.014298014975109612,0.00043938838656103495,0.010621292535177317,0.000489253491120475,0.01862742323681145,0.0009973323263127102
,isobaric,nrtl,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.00525164113785558,0.003318545052101335,1.0,0.0,9.15618368483263,1.10038481790573,-1.4881965202892153,0.7295268344227674,40.40618274665935,5.924437637915646,11.28796810873455,1.7375291860838675,45.44032500501576,8.388044377567079,0.9947483588621444,0.0033185450521013363,0.06328218603561629,0.0004107419648207176,0.729187740685185,0.0025540549591334914,0.13912603286553482,0.0007260814428717713,0.07788124369111259,0.0005533934865985054,0.16320744881950225,0.0008799736341273307
2,isobaric,nrtl,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.006611570247933884,0.004177892806639973,1.0,0.0,9.703080389219284,1.383838824657244,-1.5946816656240355,0.8903783799127554,41.78415794865154,7.181464078440746,11.581935679047971,2.055660668462104,46.38068331245755,9.6848831296159,0.9933884297520661,0.004177892806639964,0.06066811658437444,0.000570798317639048,0.7085641707991789,0.0032633884093454294,0.14681690342382986,0.0009197066734089495,0.07519200412217035,0.0006470062655341739,0.16672971364891445,0.0010079029243453075
3,isobaric,nrtl,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.0,0.0,1.0,0.0,7.055201641138993,0.09063313842383643,-1.008724836177144,0.05699665071097367,34.270669461380606,0.48778079641907335,9.687602539620608,0.14490817477829138,39.351248871761584,0.5649470575085956,1.0,0.0,0.06996672657588626,0.0002543742768695809,0.6958077684012743,0.0010051235976690782,0.11718253010691723,0.00019361574291187856,0.09246156250177834,0.00030221623070012237,0.14260280333569428,0.0002031623719990342
,isothermal,wilson,0.0,0.0,1.210431761287611,0.06726653227968396,0.9971101468594082,0.0004824671399991174,4.234683872087082,0.34132572060037564,1.6586022142881676,0.18400344409822025,5.278586488792825,0.6583559794755101,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.00779647963089831,0.00010576734219129638,0.9977348494071175,0.00013489502011376984,0.013034657392455922,0.00038368409612124206,0.009297399154718566,0.00019753858345123628,0.014884461768869522,0.000854233139409672
2,isothermal,wilson,0.0,0.0,1.4350124682581544,0.09130857524295488,0.9970070412234735,0.000508301453059411,4.864684831142703,0.3987635310169395,1.8034302860935822,0.2134619947763477,5.648437221225322,0.71180423185988,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.008081054308334787,0.0001356177484428557,0.9979480093546542,0.00019913100682436523,0.012647338210383831,0.0006023928968414766,0.009161614485061018,0.00023590227779669073,0.014388793332802232,0.0010530329023560176
3,isothermal,wilson,0.0,0.0,0.5427593892130222,0.01658015358757367,0.9978692816151062,0.00033138410776154193,0.9368676018068546,0.07096526907626487,0.7172197475529718,0.05597680068684574,1.2412515957660133,0.15738407877275146,state_composition_interpolation,5,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.007232457747690878,0.0001280200102704049,0.9962558596499047,0.0001952176695492042,0.013758216783498997,0.0003616166612917756,0.010179999507492639,0.0003935382756604912,0.017718339414027527,0.0008167425448307456
,isobaric,wilson,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.002188183807439825,0.0,1.0,0.0,5.118167444175594,0.18658872591756523,-0.0154286103761897,0.1301311470692187,26.016583952885565,1.6327009362774085,6.212200864562457,0.21112950617421675,28.807712562936274,1.8165157423784444,0.9978118161925602,0.0,0.05532008734249979,0.0003203059455070579,0.784237124637842,0.002480712341186726,0.12422768679300221,0.0007160582412544511,0.0670546747107133,0.00026021853682025925,0.14488206664494463,0.0005176677144788758
2,isobaric,wilson,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.0027548209366391185,0.0,1.0,0.0,5.262647341721774,0.45731192055498615,0.0009024236638259353,0.23503057791642065,26.126917546276896,2.9388801769046964,5.995964845233747,0.5222186969923291,27.802434170232402,3.2645337106771057,0.9972451790633609,0.0,0.0515234371416857,0.00014867089395946347,0.7721086351989137,0.0010942418519221415,0.12987669850892572,0.0003117329381618736,0.06372915629881958,0.0002792377788781732,0.14718776273962295,0.000403947530885905
3,isobaric,wilson,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.0,0.0,1.0,0.0,4.5617661366041355,0.9818684667745571,-0.09175900824374246,0.363073333896068,24.887407189996274,4.8810361957353114,7.389485858685434,1.7348333548657806,32.8185815337063,6.447544408830616,1.0,0.0,0.06506751551763948,0.0011804041871076628,0.739742778154429,0.012913062526797173,0.10836277166400402,0.0027342782727120484,0.08516027495324588,0.0020378083035897557,0.13158044370707614,0.0038160752517079058
