best_baseline,case_id,component_1,component_2,component_smiles_1,component_smiles_2,condition,direction,doi,nrtl_curve_score,nrtl_state_mae,nrtl_state_rmse,nrtl_y_mae,nrtl_y_rmse,points,protocol,selection_category,state_scale,system_id,thermoformer_curve_score,thermoformer_minus_best_baseline_score,thermoformer_state_mae,thermoformer_state_rmse,thermoformer_y_mae,thermoformer_y_rmse,uniquac_curve_score,uniquac_state_mae,uniquac_state_rmse,uniquac_y_mae,uniquac_y_rmse,wilson_curve_score,wilson_state_mae,wilson_state_rmse,wilson_y_mae,wilson_y_rmse
nrtl,state_pressure_high_extrapolation:2c_42d2383a8e4daebeb5e1:100.0,heptane,2-propoxyethanol,CCCCCCC,CCCOCCO,100.0,isobaric,10.1016/j.fluid.2010.08.002,0.06190900085557114,1.675395184185258,2.3768693529766796,0.028690013460394636,0.04167692166852324,12,state_pressure_high_extrapolation,,51.920000000000016,2c_42d2383a8e4daebeb5e1,0.06578217690143216,0.0038731760458610223,1.7574735514322886,2.404403630363548,0.03146447993318241,0.04671936789915416,0.062434226183495874,1.726931483478026,2.4079280923127104,0.028717641971055235,0.041798866954171565,0.06314349817793456,1.7344037109121568,2.4138476966581615,0.029113195943164933,0.04272734068515452
nrtl,state_pressure_high_extrapolation:2c_6f361cb0ec8be0b0e6dd:101.3,diisopropyl ether,ethanol,CC(C)OC(C)C,CCO,101.3,isobaric,10.1016/j.fluid.2006.08.004,0.16997939875358023,1.726614509546329,1.7995181250761014,0.03920796914848914,0.045087548416900186,19,state_pressure_high_extrapolation,,10.980000000000075,2c_6f361cb0ec8be0b0e6dd,0.09593844081040816,-0.07404095794317207,0.8222417249177618,0.9597594613371156,0.03586326442266765,0.03954381823394295,0.1800363967403547,1.8184354043104498,1.9071339267926528,0.041192649271713455,0.047374330779844855,0.17847389728760896,1.8466572867162683,1.8958083598091215,0.03876493189601269,0.045181936181989894
uniquac,state_pressure_high_extrapolation:2c_b11dff0fda4f01349610:134.0,2-methoxyethanol,water,COCCO,O,134.0,isobaric,10.1016/j.jct.2015.03.013,0.06594485166578148,0.6731236405289494,0.8871357162680219,0.017205235512272005,0.019751477931400665,8,state_pressure_high_extrapolation,representative,14.100000000000023,2c_b11dff0fda4f01349610,0.08920828912808194,0.04197876521712729,0.9578216552734418,1.2070752942550678,0.017465369082987292,0.025087026476686623,0.047229523910954654,0.49313414849211057,0.5547137170976474,0.023862441539137545,0.026132016812683324,0.04967735063074262,0.52394400898865,0.6070982353861656,0.02269796760716935,0.02477836336383637
uniquac,state_pressure_high_extrapolation:2c_d66c7a74cea5d8732e08:101.3,isopropanol,water,CC(C)O,O,101.3,isobaric,10.1016/j.jct.2006.04.006,0.04063887642418651,0.5985322735144057,0.7382690920151933,0.011950576200862019,0.01715660954959306,62,state_pressure_high_extrapolation,,20.039999999999964,2c_d66c7a74cea5d8732e08,0.04817737489885404,0.01063202004897848,0.7249950581212256,0.9093398269844675,0.01284335876760945,0.016188156103246438,0.03754535484987556,0.5324785256272081,0.6819303667714397,0.010452537001511672,0.01586560696855087,0.040005935010126725,0.4102364582133943,0.7067356873170149,0.012534089735213801,0.01888825867123644
uniquac,state_pressure_high_extrapolation:2c_dc191206ee879c89c4e5:101.3,"1,4-dioxane",2-methyl-1-propanol,C1COCCO1,CC(C)CO,101.3,isobaric,10.1016/j.jct.2003.09.001,0.21829989060473806,1.3422393132005892,1.3627518546995152,0.01385229642487996,0.01628004655090135,13,state_pressure_high_extrapolation,,6.259999999999991,2c_dc191206ee879c89c4e5,0.08942701380702987,-0.12388906529764239,0.49162184495192973,0.5547688615686021,0.010999738881221162,0.011977874360425309,0.21331607910467226,1.3105006879230507,1.3318270642481511,0.01308920763030799,0.015503776278623626,0.21918401124010747,1.34784158889523,1.368346782206431,0.01378284575873176,0.01618337337172934
uniquac,state_pressure_high_extrapolation:2c_f4a55bc5fa0e7d69faf8:94.0,tetrahydropyran,2-butanol,C1CCOCC1,CCC(C)O,94.0,isobaric,10.1016/j.fluid.2012.12.021,0.026727730957928363,0.2473335420604826,0.27738200358465587,0.010161864466545871,0.012645829950820907,20,state_pressure_high_extrapolation,,11.779999999999973,2c_f4a55bc5fa0e7d69faf8,0.06972981018772262,0.04840234824134978,0.6743471069335925,0.7541424765827878,0.0207377129673958,0.027637450489128856,0.02132746194637284,0.1973475357563558,0.20665533870265862,0.009346484080765561,0.012128782381313806,0.03912191136055142,0.35484792267814386,0.43123237240601203,0.011657379169904957,0.013799986002241799
wilson,state_pressure_low_extrapolation:2c_42d2383a8e4daebeb5e1:60.0,heptane,2-propoxyethanol,CCCCCCC,CCCOCCO,60.0,isobaric,10.1016/j.fluid.2010.08.002,0.05679245963545071,1.5440275903607292,2.1424915893855454,0.025748748193667674,0.03873898242053158,14,state_pressure_low_extrapolation,,51.59000000000003,2c_42d2383a8e4daebeb5e1,0.05689463291682223,0.0033313747961954687,1.9280211530413038,2.3205215534018975,0.022667553441865124,0.03483953224779623,0.0606029743353598,1.6166526325087034,2.308940954368678,0.027066748299621475,0.040861443281714524,0.05356325812062676,1.4142223955406215,2.0368040469717035,0.023919987235111316,0.036198135420892966
nrtl,state_pressure_low_extrapolation:2c_94ed5d0a73a3c26e5ef5:13.15,ethanol,water,CCO,O,13.15,isobaric,10.1016/j.fluid.2011.06.009,0.19074468402296502,1.1128247055606608,1.191216315319742,0.011211742924394526,0.01698841086405532,15,state_pressure_low_extrapolation,,6.269999999999982,2c_94ed5d0a73a3c26e5ef5,0.27691088040356493,0.08616619638059991,1.5273858235677116,1.7314558221824332,0.018774649111429842,0.020523772463670154,0.2177218965496389,1.3227052414898026,1.3615554631984683,0.012364897584937829,0.015715362284579107,0.1921091162295236,1.173346811833316,1.202280835640806,0.008923898515213002,0.011719223237913766
wilson,state_pressure_low_extrapolation:2c_94ed5d0a73a3c26e5ef5:19.71,ethanol,water,CCO,O,19.71,isobaric,10.1016/j.fluid.2011.06.009,0.10891961058613592,0.788065601584055,0.9064872063627603,0.010578756234019465,0.014758162110256037,16,state_pressure_low_extrapolation,,8.399999999999977,2c_94ed5d0a73a3c26e5ef5,0.15495607160397354,0.04903724408557615,1.1016443634033166,1.2889792251744434,0.01830753579735758,0.021552492564255836,0.11733886065889372,0.9382308965979469,0.9809990298812107,0.009774501766736474,0.011381218508192351,0.10591882751839739,0.8275054037115126,0.8848153554567004,0.008555045263825955,0.01110413451443203
uniquac,state_pressure_low_extrapolation:2c_b11dff0fda4f01349610:74.5,2-methoxyethanol,water,COCCO,O,74.5,isobaric,10.1016/j.jct.2015.03.013,0.06039176452234447,0.6745645097697803,0.8326016069915113,0.013884860104563291,0.01743743562955946,8,state_pressure_low_extrapolation,,14.399999999999977,2c_b11dff0fda4f01349610,0.04744590158020336,-0.00392554333140889,0.43953170776367756,0.5063795961176023,0.021383339012414192,0.031851511552165195,0.05137144491161225,0.5535656239955671,0.6529891224392375,0.021014744753200938,0.024139662338008856,0.054018571706841025,0.601555709843069,0.7038775011621601,0.02010397052869399,0.02299378921192655
