attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,1.088413955701064,0.9917219211041539,1.9160059836675782,1.8844306699147666,2.902376720787423,all,0,0.0,,4,61,1.8998376664959058,0.99482237358253,2.423196289390447,2.2315354844519595,2.8029245835744185,1.0,166,0.03455369976511752,498,0.0370267492988547,0.8985480127530783,0.07779684742006561,0.0370267492988547,0.04085587742808284,0.07784826262110336
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,1.8998376664959058,0.99482237358253,2.423196289390447,2.2315354844519595,2.8029245835744185,1.0,61,0.06731159050429318,183,0.08701533623768903,0.6723504602291887,0.12683254702824764,0.08701533623768902,0.06731159050429318,0.10769660693647534
105,,isothermal,0.0,105,1.088413955701064,0.9917219211041539,1.9160059836675782,1.8844306699147666,2.902376720787423,direction,0,0.0,,2,0,,,,,,1.0,105,0.014400164351872505,315,0.007985760696293816,0.996610727095935,0.014932807488125666,0.007985760696293814,0.014400164351872503,0.02285048884857593
166,3,,0.0,105,1.088413955701064,0.9917219211041539,1.9160059836675782,1.8844306699147666,2.902376720787423,cardinality,0,0.0,,4,61,1.8998376664959058,0.99482237358253,2.423196289390447,2.2315354844519595,2.8029245835744185,1.0,166,0.03455369976511752,498,0.0370267492988547,0.8985480127530783,0.07779684742006561,0.0370267492988547,0.04085587742808284,0.07784826262110336
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,1.8998376664959058,0.99482237358253,2.423196289390447,2.2315354844519595,2.8029245835744185,1.0,61,0.06731159050429318,183,0.08701533623768903,0.6723504602291887,0.12683254702824764,0.08701533623768902,0.06731159050429318,0.10769660693647534
105,3,isothermal,0.0,105,1.088413955701064,0.9917219211041539,1.9160059836675782,1.8844306699147666,2.902376720787423,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.014400164351872505,315,0.007985760696293816,0.996610727095935,0.014932807488125666,0.007985760696293814,0.014400164351872503,0.02285048884857593
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.422192808639188,0.8655536686952487,1.7361427557484286,1.422192808639188,1.7361427557484286,1.0,43,0.11538873009377904,129,0.11538873009377904,0.4577644971227989,0.15016365271041637,0.11538873009377902,0.11538873009377904,0.15016365271041637
21,,,0.0,21,3.211125193604271,0.9429986394763464,4.042892132607556,3.211125193604271,4.042892132607556,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.025090837111170324,63,0.02509083711117032,0.9913862592679322,0.031948995954823756,0.025090837111170328,0.02509083711117032,0.031948995954823756
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,3.0408781602647315,0.9211779981765357,3.5635068084786803,3.0408781602647315,3.5635068084786803,1.0,18,0.019234450914807338,54,0.019234450914807334,0.9903341941478784,0.025455759582554135,0.019234450914807338,0.019234450914807334,0.025455759582554135
84,,,0.0,84,0.5577361462252625,0.998592270531371,0.7089460225133065,0.5577361462252625,0.7089460225133065,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.0037094915925746873,252,0.0037094915925746873,0.9995523864030156,0.004852972152860684,0.003709491592574687,0.0037094915925746873,0.004852972152860684
166,,,0.0,66,0.6594498910410977,0.9932498945049555,0.8768382953899846,0.6594498910410977,0.8768382953899846,all,1,0.0,,4,100,2.7589503295898252,0.9784592220177062,3.5321954569459164,3.0344548969871767,3.709337404393466,1.0,166,0.04804403859213314,498,0.04761428602250764,0.8719926558489289,0.08372878504103458,0.04761428602250764,0.048044038592133124,0.0834218935972519
100,,isobaric,0.0,0,,,,,,direction,1,0.0,,3,100,2.7589503295898252,0.9784592220177062,3.5321954569459164,3.0344548969871767,3.709337404393466,1.0,100,0.06026554659032685,300,0.07152923516297838,0.8383419119930069,0.10721195654907523,0.07152923516297836,0.06026554659032684,0.09595158318227058
66,,isothermal,0.0,66,0.6594498910410977,0.9932498945049555,0.8768382953899846,0.6594498910410977,0.8768382953899846,direction,1,0.0,,1,0,,,,,,1.0,66,0.011379514597551989,198,0.01137951459755199,0.9927789914480983,0.014721765514105091,0.011379514597551989,0.01137951459755199,0.014721765514105091
166,3,,0.0,66,0.6594498910410977,0.9932498945049555,0.8768382953899846,0.6594498910410977,0.8768382953899846,cardinality,1,0.0,,4,100,2.7589503295898252,0.9784592220177062,3.5321954569459164,3.0344548969871767,3.709337404393466,1.0,166,0.04804403859213314,498,0.04761428602250764,0.8719926558489289,0.08372878504103458,0.04761428602250764,0.048044038592133124,0.0834218935972519
100,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,100,2.7589503295898252,0.9784592220177062,3.5321954569459164,3.0344548969871767,3.709337404393466,1.0,100,0.06026554659032685,300,0.07152923516297838,0.8383419119930069,0.10721195654907523,0.07152923516297836,0.06026554659032684,0.09595158318227058
66,3,isothermal,0.0,66,0.6594498910410977,0.9932498945049555,0.8768382953899846,0.6594498910410977,0.8768382953899846,direction_cardinality,1,0.0,,1,0,,,,,,1.0,66,0.011379514597551989,198,0.01137951459755199,0.9927789914480983,0.014721765514105091,0.011379514597551989,0.01137951459755199,0.014721765514105091
43,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,0/3,1,43,1.2047557742096504,0.8896484792046806,1.5728963908660605,1.2047557742096504,1.5728963908660605,1.0,43,0.11582914298253004,129,0.11582914298253003,0.4580690311147587,0.15012147882198812,0.11582914298253005,0.11582914298253003,0.15012147882198812
21,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,1/3,1,21,4.017292422340009,0.2029120926782041,4.128513990837901,4.017292422340009,4.128513990837901,1.0,21,0.011103967755678157,63,0.011103967755678155,0.9983086364721163,0.013264308394377965,0.011103967755678155,0.011103967755678155,0.013264308394377965
66,,,0.0,66,0.6594498910410977,0.9932498945049555,0.8768382953899846,0.6594498910410977,0.8768382953899846,binary_subsystem_coverage,1,0.0,2/3,1,0,,,,,,1.0,66,0.011379514597551989,198,0.01137951459755199,0.9927789914480983,0.014721765514105091,0.011379514597551989,0.01137951459755199,0.014721765514105091
36,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,3/3,1,36,3.881316494411872,0.11500201942731092,4.664645871869974,3.881316494411872,4.664645871869974,1.0,36,0.05386352903277234,108,0.053863529032772334,0.9436909231842361,0.07005511162414049,0.053863529032772334,0.053863529032772334,0.07005511162414049
166,,,0.0,87,1.2416023257361057,0.9820338701413425,1.954257035546576,1.7786196782964945,2.6828051018574675,all,2,0.0,,4,79,2.513824648313876,0.9808396577500457,3.630566661716322,2.6706986873340752,3.7795603050553845,1.0,166,0.05292809939876294,498,0.0503278330446307,0.871364326683228,0.08532593695242342,0.05032783304463068,0.05292809939876293,0.08588023925683123
79,,isobaric,0.0,0,,,,,,direction,2,0.0,,2,79,2.513824648313876,0.9808396577500457,3.630566661716322,2.6706986873340752,3.7795603050553845,1.0,79,0.08640043043273594,237,0.08916246021247864,0.7626035401154455,0.12166421271060437,0.08916246021247864,0.08640043043273594,0.11841382448594467
87,,isothermal,0.0,87,1.2416023257361057,0.9820338701413425,1.954257035546576,1.7786196782964945,2.6828051018574675,direction,2,0.0,,2,0,,,,,,1.0,87,0.019455768364789915,261,0.015064206076125075,0.9912308237701952,0.02122493222860707,0.01506420607612507,0.019455768364789915,0.02699994741167176
166,3,,0.0,87,1.2416023257361057,0.9820338701413425,1.954257035546576,1.7786196782964945,2.6828051018574675,cardinality,2,0.0,,4,79,2.513824648313876,0.9808396577500457,3.630566661716322,2.6706986873340752,3.7795603050553845,1.0,166,0.05292809939876294,498,0.0503278330446307,0.871364326683228,0.08532593695242342,0.05032783304463068,0.05292809939876293,0.08588023925683123
79,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,2,79,2.513824648313876,0.9808396577500457,3.630566661716322,2.6706986873340752,3.7795603050553845,1.0,79,0.08640043043273594,237,0.08916246021247864,0.7626035401154455,0.12166421271060437,0.08916246021247864,0.08640043043273594,0.11841382448594467
87,3,isothermal,0.0,87,1.2416023257361057,0.9820338701413425,1.954257035546576,1.7786196782964945,2.6828051018574675,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.019455768364789915,261,0.015064206076125075,0.9912308237701952,0.02122493222860707,0.01506420607612507,0.019455768364789915,0.02699994741167176
43,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,0/3,1,43,0.9002631041061128,0.9185991313661022,1.350907068839749,0.9002631041061128,1.350907068839749,1.0,43,0.11757190937554651,129,0.11757190937554651,0.4510438205999028,0.15109138010245876,0.1175719093755465,0.11757190937554651,0.15109138010245876
21,,,0.0,21,2.8168532265799127,0.9521220428836942,3.705248576202795,2.8168532265799127,3.705248576202795,binary_subsystem_coverage,2,0.0,1/3,1,0,,,,,,1.0,21,0.027946122122875273,63,0.027946122122875273,0.9893044990839707,0.03560097410192953,0.027946122122875276,0.027946122122875273,0.03560097410192953
36,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,2/3,1,36,4.441134270562038,-0.08780439514701666,5.171576383508175,4.441134270562038,5.171576383508175,1.0,36,0.0552289514899254,108,0.05522895148992538,0.9401645905231997,0.07221538975530457,0.05522895148992539,0.05522895148992538,0.07221538975530457
66,,,0.0,66,0.7403861300130762,0.994152658840445,0.8161001272221879,0.7403861300130762,0.8161001272221879,binary_subsystem_coverage,2,0.0,3/3,1,0,,,,,,1.0,66,0.010965414606704556,198,0.010965414606704556,0.9936507690718115,0.01380452691908796,0.010965414606704556,0.010965414606704556,0.01380452691908796
166,,,0.0,64,1.5095984260541662,0.9797820331425922,1.8595180936097306,1.5095984260541662,1.8595180936097306,all,3,0.0,,4,102,0.8148994954427133,0.9986983352730949,1.1769714982326283,0.836687055401443,1.1384033320750064,1.0,166,0.03663674488232064,498,0.03766671713526888,0.8821250745737896,0.07721405312312857,0.037666717135268875,0.03663674488232064,0.07579856396894825
102,,isobaric,0.0,0,,,,,,direction,3,0.0,,3,102,0.8148994954427133,0.9986983352730949,1.1769714982326283,0.836687055401443,1.1384033320750064,1.0,102,0.045863898258075485,306,0.05568173353069652,0.7859304370125739,0.09778537461254895,0.055681733530696505,0.045863898258075485,0.08709598263119331
64,,isothermal,0.0,64,1.5095984260541662,0.9797820331425922,1.8595180936097306,1.5095984260541662,1.8595180936097306,direction,3,0.0,,1,0,,,,,,1.0,64,0.008955284755056107,192,0.008955284755056105,0.9962573912188258,0.01498528036239501,0.008955284755056105,0.008955284755056105,0.01498528036239501
166,3,,0.0,64,1.5095984260541662,0.9797820331425922,1.8595180936097306,1.5095984260541662,1.8595180936097306,cardinality,3,0.0,,4,102,0.8148994954427133,0.9986983352730949,1.1769714982326283,0.836687055401443,1.1384033320750064,1.0,166,0.03663674488232064,498,0.03766671713526888,0.8821250745737896,0.07721405312312857,0.037666717135268875,0.03663674488232064,0.07579856396894825
102,3,isobaric,0.0,0,,,,,,direction_cardinality,3,0.0,,3,102,0.8148994954427133,0.9986983352730949,1.1769714982326283,0.836687055401443,1.1384033320750064,1.0,102,0.045863898258075485,306,0.05568173353069652,0.7859304370125739,0.09778537461254895,0.055681733530696505,0.045863898258075485,0.08709598263119331
64,3,isothermal,0.0,64,1.5095984260541662,0.9797820331425922,1.8595180936097306,1.5095984260541662,1.8595180936097306,direction_cardinality,3,0.0,,1,0,,,,,,1.0,64,0.008955284755056107,192,0.008955284755056105,0.9962573912188258,0.01498528036239501,0.008955284755056105,0.008955284755056105,0.01498528036239501
43,,,0.0,0,,,,,,binary_subsystem_coverage,3,0.0,0/3,1,43,0.9785354685228931,0.8958950300084942,1.5277302788435736,0.9785354685228931,1.5277302788435736,1.0,43,0.11582798125462014,129,0.11582798125462014,0.46233705493748745,0.14952916301766242,0.11582798125462014,0.11582798125462014,0.14952916301766242
42,,,0.0,0,,,,,,binary_subsystem_coverage,3,0.0,1/3,1,42,0.6002714611235181,0.9892804808530112,0.7620942246930977,0.6002714611235181,0.7620942246930977,1.0,42,0.013158019853962791,126,0.013158019853962795,0.9950269473682423,0.01687299933136661,0.013158019853962791,0.013158019853962795,0.01687299933136661
17,,,0.0,0,,,,,,binary_subsystem_coverage,3,0.0,2/3,1,17,0.9312542365579174,-5.8874636048648625,0.9864780926266917,0.9312542365579174,0.9864780926266917,1.0,17,0.008605693665643531,51,0.008605693665643531,0.9946936643522619,0.010651848303483143,0.00860569366564353,0.008605693665643531,0.010651848303483143
64,,,0.0,64,1.5095984260541662,0.9797820331425922,1.8595180936097306,1.5095984260541662,1.8595180936097306,binary_subsystem_coverage,3,0.0,3/3,1,0,,,,,,1.0,64,0.008955284755056107,192,0.008955284755056105,0.9962573912188258,0.01498528036239501,0.008955284755056105,0.008955284755056105,0.01498528036239501
166,,,0.0,64,2.014612364168156,0.9654015847705846,2.4325387745642773,2.014612364168156,2.4325387745642773,all,4,0.0,,4,102,1.0810084084903309,0.998204650413318,1.407760688076733,0.9420164350089921,1.28258179236489,1.0,166,0.0405952107738271,498,0.0397676083428284,0.8753237706238993,0.08018950196714154,0.0397676083428284,0.03802926746937937,0.0785871498197569
102,,isobaric,0.0,0,,,,,,direction,4,0.0,,3,102,1.0810084084903309,0.998204650413318,1.407760688076733,0.9420164350089921,1.28258179236489,1.0,102,0.051156145009696966,306,0.05691891115986638,0.7787086739698084,0.10121133622414315,0.05691891115986639,0.04656145013311445,0.09009435053316599
64,,isothermal,0.0,64,2.014612364168156,0.9654015847705846,2.4325387745642773,2.014612364168156,2.4325387745642773,direction,4,0.0,,1,0,,,,,,1.0,64,0.012432719478174113,192,0.012432719478174111,0.9941203137830891,0.018782557685062515,0.012432719478174111,0.012432719478174111,0.018782557685062515
