attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,1.3436288037885,0.9904184609026826,2.0613404162979485,1.9772712596288067,2.929556885973836,all,0,0.0,,4,61,1.570437191822488,0.996095804222625,2.1042097725604205,1.923004117270764,2.4202488071034307,1.0,166,0.03535462237555608,498,0.03822464485931618,0.9020953495438673,0.0764246361408237,0.038224644859316176,0.04151302824766254,0.07671961150101717
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,1.570437191822488,0.996095804222625,2.1042097725604205,1.923004117270764,2.4202488071034307,1.0,61,0.06541318478776313,183,0.08435269342802179,0.6874982079881785,0.12386602159593327,0.08435269342802179,0.06541318478776313,0.1053171923041341
105,,isothermal,0.0,105,1.3436288037885,0.9904184609026826,2.0613404162979485,1.9772712596288067,2.929556885973836,direction,0,0.0,,2,0,,,,,,1.0,105,0.01761287170756194,315,0.011426445214639579,0.9951289741625358,0.017901870578093393,0.011426445214639576,0.017612871707561942,0.02607846971944569
166,3,,0.0,105,1.3436288037885,0.9904184609026826,2.0613404162979485,1.9772712596288067,2.929556885973836,cardinality,0,0.0,,4,61,1.570437191822488,0.996095804222625,2.1042097725604205,1.923004117270764,2.4202488071034307,1.0,166,0.03535462237555608,498,0.03822464485931618,0.9020953495438673,0.0764246361408237,0.038224644859316176,0.04151302824766254,0.07671961150101717
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,1.570437191822488,0.996095804222625,2.1042097725604205,1.923004117270764,2.4202488071034307,1.0,61,0.06541318478776313,183,0.08435269342802179,0.6874982079881785,0.12386602159593327,0.08435269342802179,0.06541318478776313,0.1053171923041341
105,3,isothermal,0.0,105,1.3436288037885,0.9904184609026826,2.0613404162979485,1.9772712596288067,2.929556885973836,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.01761287170756194,315,0.011426445214639579,0.9951289741625358,0.017901870578093393,0.011426445214639576,0.017612871707561942,0.02607846971944569
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.0627408191769703,0.8943483705486022,1.5390369768785226,1.0627408191769703,1.5390369768785226,1.0,43,0.11162558586999427,129,0.11162558586999427,0.48384994070697507,0.14650715666512976,0.11162558586999426,0.11162558586999427,0.14650715666512976
21,,,0.0,21,3.033342019362651,0.9448843003557832,3.9754583310580576,3.033342019362651,3.9754583310580576,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.02792358252909921,63,0.027923582529099215,0.9892031787293396,0.03576920375728417,0.02792358252909921,0.027923582529099215,0.03576920375728417
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,2.783267415364558,0.9419844101407548,3.0572166688626723,2.783267415364558,3.0572166688626723,1.0,18,0.019200783705531993,54,0.019200783705531993,0.989273941585639,0.026815574496009752,0.019200783705531996,0.019200783705531993,0.026815574496009752
84,,,0.0,84,0.9212004998949626,0.9961898704672335,1.1663353524327904,0.9212004998949626,1.1663353524327904,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.00730216088602467,252,0.0073021608860246705,0.9984655190244803,0.008985389718091215,0.00730216088602467,0.0073021608860246705,0.008985389718091215
166,,,0.0,66,0.8857183890120518,0.9891407115678614,1.1121539616535223,0.8857183890120518,1.1121539616535223,all,1,0.0,,4,100,2.4938957153320205,0.9816887567908416,3.2566639807696847,2.71565719850449,3.386410759329679,1.0,166,0.049068866653174344,498,0.048689003324885675,0.8686590050792977,0.0848120375013201,0.048689003324885696,0.04906886665317434,0.08456157948263364
100,,isobaric,0.0,0,,,,,,direction,1,0.0,,3,100,2.4938957153320205,0.9816887567908416,3.2566639807696847,2.71565719850449,3.386410759329679,1.0,100,0.06157091220932661,300,0.07319234372939667,0.8341551214637697,0.10859142569594467,0.07319234372939666,0.06157091220932661,0.09725870534927003
66,,isothermal,0.0,66,0.8857183890120518,0.9891407115678614,1.1121539616535223,0.8857183890120518,1.1121539616535223,direction,1,0.0,,1,0,,,,,,1.0,66,0.011562729984717537,198,0.011562729984717536,0.9925076095471127,0.014995852751433896,0.011562729984717537,0.011562729984717536,0.014995852751433896
166,3,,0.0,66,0.8857183890120518,0.9891407115678614,1.1121539616535223,0.8857183890120518,1.1121539616535223,cardinality,1,0.0,,4,100,2.4938957153320205,0.9816887567908416,3.2566639807696847,2.71565719850449,3.386410759329679,1.0,166,0.049068866653174344,498,0.048689003324885675,0.8686590050792977,0.0848120375013201,0.048689003324885696,0.04906886665317434,0.08456157948263364
100,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,100,2.4938957153320205,0.9816887567908416,3.2566639807696847,2.71565719850449,3.386410759329679,1.0,100,0.06157091220932661,300,0.07319234372939667,0.8341551214637697,0.10859142569594467,0.07319234372939666,0.06157091220932661,0.09725870534927003
66,3,isothermal,0.0,66,0.8857183890120518,0.9891407115678614,1.1121539616535223,0.8857183890120518,1.1121539616535223,direction_cardinality,1,0.0,,1,0,,,,,,1.0,66,0.011562729984717537,198,0.011562729984717536,0.9925076095471127,0.014995852751433896,0.011562729984717537,0.011562729984717536,0.014995852751433896
43,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,0/3,1,43,1.0489564975472403,0.9184865694195659,1.3518407701647097,1.0489564975472403,1.3518407701647097,1.0,43,0.11715740908318482,129,0.11715740908318481,0.45167210467234187,0.15100489279414353,0.1171574090831848,0.11715740908318481,0.15100489279414353
21,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,1/3,1,21,3.416273425874235,0.405382064424869,3.5658219402965505,3.416273425874235,3.5658219402965505,1.0,21,0.010035067283326671,63,0.010035067283326673,0.9987136309709769,0.011567750625337546,0.010035067283326673,0.010035067283326673,0.011567750625337546
66,,,0.0,66,0.8857183890120518,0.9891407115678614,1.1121539616535223,0.8857183890120518,1.1121539616535223,binary_subsystem_coverage,1,0.0,2/3,1,0,,,,,,1.0,66,0.011562729984717537,198,0.011562729984717536,0.9925076095471127,0.014995852751433896,0.011562729984717537,0.011562729984717536,0.014995852751433896
36,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,3/3,1,36,3.681741672091994,0.19220513193161892,4.456542820946711,3.681741672091994,4.456542820946711,1.0,36,0.057520260261468316,108,0.05752026026146833,0.9375668093767376,0.07376636629486097,0.05752026026146831,0.05752026026146833,0.07376636629486097
166,,,0.0,87,1.783433901996223,0.9816281715509005,1.9761986926521027,1.7206957210212206,2.0118463645979485,all,2,0.0,,4,79,2.106540913642196,0.9870962971849835,2.9794078679506177,2.22384823860739,3.091328624623383,1.0,166,0.05639033067109231,498,0.05342685888270478,0.8641907697001894,0.08767282442355288,0.05342685888270478,0.05639033067109231,0.08867369582073391
79,,isobaric,0.0,0,,,,,,direction,2,0.0,,2,79,2.106540913642196,0.9870962971849835,2.9794078679506177,2.22384823860739,3.091328624623383,1.0,79,0.09081450930697993,237,0.09313593784585784,0.7512186683459655,0.12454738830545235,0.09313593784585783,0.09081450930697993,0.12172194858987348
87,,isothermal,0.0,87,1.783433901996223,0.9816281715509005,1.9761986926521027,1.7206957210212206,2.0118463645979485,direction,2,0.0,,2,0,,,,,,1.0,87,0.021966152035204686,261,0.017369189479381868,0.9886986046030307,0.024095333853592426,0.01736918947938187,0.021966152035204686,0.03016315455154322
166,3,,0.0,87,1.783433901996223,0.9816281715509005,1.9761986926521027,1.7206957210212206,2.0118463645979485,cardinality,2,0.0,,4,79,2.106540913642196,0.9870962971849835,2.9794078679506177,2.22384823860739,3.091328624623383,1.0,166,0.05639033067109231,498,0.05342685888270478,0.8641907697001894,0.08767282442355288,0.05342685888270478,0.05639033067109231,0.08867369582073391
79,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,2,79,2.106540913642196,0.9870962971849835,2.9794078679506177,2.22384823860739,3.091328624623383,1.0,79,0.09081450930697993,237,0.09313593784585784,0.7512186683459655,0.12454738830545235,0.09313593784585783,0.09081450930697993,0.12172194858987348
87,3,isothermal,0.0,87,1.783433901996223,0.9816281715509005,1.9761986926521027,1.7206957210212206,2.0118463645979485,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.021966152035204686,261,0.017369189479381868,0.9886986046030307,0.024095333853592426,0.01736918947938187,0.021966152035204686,0.03016315455154322
43,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,0/3,1,43,0.8999512854287691,0.9157720575197031,1.3741655304185207,0.8999512854287691,1.3741655304185207,1.0,43,0.11701348853145921,129,0.11701348853145921,0.4548806426682941,0.15056244239986238,0.11701348853145918,0.11701348853145921,0.15056244239986238
21,,,0.0,21,1.5994019044695502,0.9849261712397903,2.0790327567800477,1.5994019044695502,2.0790327567800477,binary_subsystem_coverage,2,0.0,1/3,1,0,,,,,,1.0,21,0.03085361297646212,63,0.030853612976462122,0.9869509410707822,0.03932338657681642,0.030853612976462122,0.030853612976462122,0.03932338657681642
36,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,2/3,1,36,3.5477451917860114,0.29943834500664,4.150216190253392,3.5477451917860114,4.150216190253392,1.0,36,0.06461553008250065,108,0.06461553008250065,0.920104720743578,0.083447087879804,0.06461553008250065,0.06461553008250065,0.083447087879804
