attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
775,,,0.0,311,5.937088532744344,0.98912993367727,12.664985451140627,6.559691915931632,13.211029384086991,all,0,0.0,,139,464,1.0911399972849827,0.9969399355214378,1.6574157271977232,1.1959550244375154,1.8562609486477466,1.0,775,0.018381920058253072,1721,0.018418203123212466,0.9882876250666471,0.033931204958945325,0.01799347166368545,0.020788003554697485,0.03722014767501198
464,,isobaric,0.0,0,,,,,,direction,0,0.0,,117,464,1.0911399972849827,0.9969399355214378,1.6574157271977232,1.1959550244375154,1.8562609486477466,1.0,464,0.022324371734688955,1023,0.022671233509986254,0.9840263186201818,0.04096578818026535,0.021431463795382605,0.02234701591790459,0.0396933008392462
311,,isothermal,0.0,311,5.937088532744344,0.98912993367727,12.664985451140627,6.559691915931632,13.211029384086991,direction,0,0.0,,25,0,,,,,,1.0,311,0.013190771818454256,698,0.01218489354488928,0.9957088796891905,0.019471487285882248,0.012864736368996666,0.013385515224858186,0.020500408491505816
604,2,,0.0,235,7.063323854688424,0.98867442205512,14.468044127117144,7.121107852621086,14.03934578550962,cardinality,0,0.0,,118,369,1.0466181197334403,0.9971264764311314,1.6266817710244745,1.172948117483316,1.8563510469144557,1.0,604,0.01680526678767527,1208,0.01678422029867189,0.9930219551506774,0.02776478538656859,0.016777865179613136,0.018550803705438802,0.031230941413466433
171,3,,0.0,76,2.45465036620673,0.978159213236557,3.0213422022724594,2.4426417135422938,3.000631756141713,cardinality,0,0.0,,21,95,1.264072342722026,0.995604358259194,1.771742958896953,1.3224930126856116,1.8557653299900099,1.0,171,0.029375923494348286,513,0.02226586638255949,0.9591693282924713,0.04524583410494663,0.022265866382559486,0.03335893604100815,0.060736869964425566
369,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,99,369,1.0466181197334403,0.9971264764311314,1.6266817710244745,1.172948117483316,1.8563510469144557,1.0,369,0.01922679008135209,738,0.01799437865164404,0.9923761309068505,0.030517873758395733,0.01799437865164404,0.01953605782701047,0.03289759488873968
95,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,18,95,1.264072342722026,0.995604358259194,1.771742958896953,1.3224930126856116,1.8557653299900099,1.0,95,0.03669907703826574,285,0.03478182609053558,0.9113322193158855,0.0601012282921287,0.034781826090535574,0.03780728541782227,0.06548849695020414
235,2,isothermal,0.0,235,7.063323854688424,0.98867442205512,14.468044127117144,7.121107852621086,14.03934578550962,direction_cardinality,0,0.0,,22,0,,,,,,1.0,235,0.014088505497776693,470,0.014884014204004979,0.9943667479410561,0.022780061219628927,0.014884014204004979,0.014301425512776576,0.021569899127048375
76,3,isothermal,0.0,76,2.45465036620673,0.978159213236557,3.0213422022724594,2.4426417135422938,3.000631756141713,direction_cardinality,0,0.0,,3,0,,,,,,1.0,76,0.00666883978012335,228,0.006620916747589381,0.9985301006733738,0.009537836803467415,0.006620916747589382,0.006668839780123351,0.009503273896262723
775,,,0.0,311,5.986049078821818,0.9865497315418162,14.088153489813344,7.995034710138919,18.438003373327415,all,1,0.0,,139,464,1.075984557579295,0.9967744191878949,1.7016495774889073,1.1701868335335615,1.9308961583843067,1.0,775,0.01694304168014786,1721,0.01729638839288539,0.9894719953891168,0.032169909008660215,0.016907550083930335,0.019313435097520513,0.034919686882682065
464,,isobaric,0.0,0,,,,,,direction,1,0.0,,117,464,1.075984557579295,0.9967744191878949,1.7016495774889073,1.1701868335335615,1.9308961583843067,1.0,464,0.01974729773893066,1023,0.021241503352971005,0.9856763909478466,0.03879225587901086,0.020233563566818387,0.020691544821635856,0.03720823019990435
311,,isothermal,0.0,311,5.986049078821818,0.9865497315418162,14.088153489813344,7.995034710138919,18.438003373327415,direction,1,0.0,,25,0,,,,,,1.0,311,0.01297947600693224,698,0.01151436460467968,0.9960821679950131,0.01860530032263403,0.011972633294069626,0.013026296787889994,0.019904674002720345
604,2,,0.0,235,7.466707883959441,0.9858448038555052,16.174750259952983,8.907119187184117,19.64500738505374,cardinality,1,0.0,,118,369,1.0297828438611467,0.9969365832644992,1.6795705785248864,1.1576846779994299,1.9628469571366434,1.0,604,0.015954194894384675,1208,0.01584189225864636,0.993953560077307,0.025845046250645133,0.015822411213905548,0.017371809341480762,0.028801597677821793
171,3,,0.0,76,1.4076961945146922,0.9922946270808273,1.7945791130049418,1.3064152118074603,1.6951181253699243,cardinality,1,0.0,,21,95,1.2554417403371554,0.9955392305436849,1.7848201499154634,1.2389486889712875,1.7447391953349616,1.0,171,0.026316447117999648,513,0.020721400732380022,0.962125722642049,0.04357701862628192,0.020721400732380026,0.030223522679077172,0.058395070954755934
369,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,99,369,1.0297828438611467,0.9969365832644992,1.6795705785248864,1.1576846779994299,1.9628469571366434,1.0,369,0.01746185822410444,738,0.017439193915777394,0.9933718381917668,0.028455296016216013,0.017439193915777394,0.018260320841194146,0.03027509281767792
95,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,18,95,1.2554417403371554,0.9955392305436849,1.7848201499154634,1.2389486889712875,1.7447391953349616,1.0,95,0.03283833030769201,285,0.03108748357980921,0.9188751346918281,0.05748802953303426,0.031087483579809203,0.03406327671406525,0.06291060098905757
235,2,isothermal,0.0,235,7.466707883959441,0.9858448038555052,16.174750259952983,8.907119187184117,19.64500738505374,direction_cardinality,1,0.0,,22,0,,,,,,1.0,235,0.013952506056561582,470,0.01333378880553423,0.9951648732250519,0.021104702162947245,0.01333378880553423,0.013822837467718342,0.0208180620149832
76,3,isothermal,0.0,76,1.4076961945146922,0.9922946270808273,1.7945791130049418,1.3064152118074603,1.6951181253699243,direction_cardinality,1,0.0,,3,0,,,,,,1.0,76,0.007184998469148777,228,0.007763797173093545,0.9977126672561578,0.011897912350942058,0.007763797173093545,0.007184998469148777,0.011109810162662269
775,,,0.0,311,5.754404906816396,0.9872960834164793,13.69170127012414,8.3236174717069,20.30458445408338,all,2,0.0,,139,464,1.1659302836450967,0.9960573983070796,1.8812981081987337,1.2716582224834527,2.1848726909485596,1.0,775,0.018146745012258672,1721,0.017771631997967323,0.9888761462732786,0.03306773388970248,0.01758363452888883,0.019932341125376854,0.03611185375154434
464,,isobaric,0.0,0,,,,,,direction,2,0.0,,117,464,1.1659302836450967,0.9960573983070796,1.8812981081987337,1.2716582224834527,2.1848726909485596,1.0,464,0.021375609581943584,1023,0.021547662871823834,0.9851490871305291,0.0394998440858879,0.020697829506929263,0.021292436470586096,0.03841958107583179
311,,isothermal,0.0,311,5.754404906816396,0.9872960834164793,13.69170127012414,8.3236174717069,20.30458445408338,direction,2,0.0,,25,0,,,,,,1.0,311,0.013463182596817197,698,0.012237420559636076,0.9953666057409138,0.020233145655761776,0.01291512480990009,0.01340761134173771,0.020166178762126608
604,2,,0.0,235,7.154205227461693,0.9866358599230809,15.716294112856884,9.272960533274405,21.6350021814086,cardinality,2,0.0,,118,369,1.147353277439018,0.9959813025049994,1.9237023528899717,1.2650187494857668,2.2459175851294897,1.0,604,0.017353199693167797,1208,0.01701359512049761,0.9930233064855055,0.027762096858554124,0.01702226389681968,0.01815657281004205,0.030133522973292873
171,3,,0.0,76,1.4260749679789662,0.9919581251651541,1.8333459871068092,1.3617683535451903,1.759802996067659,cardinality,2,0.0,,21,95,1.2380872866981805,0.9959215271651021,1.7066260015764934,1.308175323970724,1.8127450168671997,1.0,171,0.026842589956286057,513,0.01955663891411432,0.9630331866765843,0.04305180294034529,0.019556638914114317,0.02991046784963907,0.059408883819623705
369,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,99,369,1.147353277439018,0.9959813025049994,1.9237023528899717,1.2650187494857668,2.2459175851294897,1.0,369,0.019275781865910425,738,0.01834178741401018,0.9926119206461204,0.030042241476583853,0.01834178741401018,0.019012245371787962,0.031595314161113316
95,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,18,95,1.2380872866981805,0.9959215271651021,1.7066260015764934,1.308175323970724,1.8127450168671997,1.0,95,0.033768103867486673,285,0.029849193004688676,0.9198947049590301,0.05712563501390038,0.029849193004688673,0.03383348751397583,0.06406220447431318
235,2,isothermal,0.0,235,7.154205227461693,0.9866358599230809,15.716294112856884,9.272960533274405,21.6350021814086,direction_cardinality,2,0.0,,22,0,,,,,,1.0,235,0.014328378802300305,470,0.014928050625577886,0.9938799307391738,0.023743977024803933,0.014928050625577885,0.014366965179663054,0.02123519044806551
