attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,1.6030631221351108,0.9900114425781982,2.1046673592032517,1.9461418125598047,2.526329903802714,all,0,0.0,,4,61,2.5708772853163477,0.9923024363522503,2.9546080982694063,2.9359644130342044,3.332703699099331,1.0,166,0.036857235562314954,498,0.03909173947667561,0.8989962966582187,0.07762477742754971,0.0390917394766756,0.04299643091355647,0.07809530580651296
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,2.5708772853163477,0.9923024363522503,2.9546080982694063,2.9359644130342044,3.332703699099331,1.0,61,0.0690481535813095,183,0.08713624567135435,0.6767378530457104,0.12598050918038992,0.08713624567135436,0.06904815358130949,0.10756496185889584
105,,isothermal,0.0,105,1.6030631221351108,0.9900114425781982,2.1046673592032517,1.9461418125598047,2.526329903802714,direction,0,0.0,,2,0,,,,,,1.0,105,0.016944708245803436,315,0.011180169211195573,0.9953513014894909,0.01748855338240041,0.011180169211195573,0.01694470824580344,0.025050599959279187
166,3,,0.0,105,1.6030631221351108,0.9900114425781982,2.1046673592032517,1.9461418125598047,2.526329903802714,cardinality,0,0.0,,4,61,2.5708772853163477,0.9923024363522503,2.9546080982694063,2.9359644130342044,3.332703699099331,1.0,166,0.036857235562314954,498,0.03909173947667561,0.8989962966582187,0.07762477742754971,0.0390917394766756,0.04299643091355647,0.07809530580651296
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,2.5708772853163477,0.9923024363522503,2.9546080982694063,2.9359644130342044,3.332703699099331,1.0,61,0.0690481535813095,183,0.08713624567135435,0.6767378530457104,0.12598050918038992,0.08713624567135436,0.06904815358130949,0.10756496185889584
105,3,isothermal,0.0,105,1.6030631221351108,0.9900114425781982,2.1046673592032517,1.9461418125598047,2.526329903802714,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.016944708245803436,315,0.011180169211195573,0.9953513014894909,0.01748855338240041,0.011180169211195573,0.01694470824580344,0.025050599959279187
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,2.045151821402635,0.7633050266790008,2.303591524730508,2.045151821402635,2.303591524730508,1.0,43,0.11318309828101897,129,0.11318309828101895,0.4694220390059126,0.14854069524341978,0.11318309828101895,0.11318309828101895,0.14854069524341978
21,,,0.0,21,2.5179396299342938,0.9663924351058638,3.104331318137327,2.5179396299342938,3.104331318137327,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.026552273303483215,63,0.026552273303483215,0.9901800884846433,0.03411262214837475,0.026552273303483215,0.026552273303483215,0.03411262214837475
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,3.8267770046657734,0.8950538819600323,4.1118480004944855,3.8267770046657734,4.1118480004944855,1.0,18,0.024913208881600035,54,0.02491320888160003,0.983948332680315,0.032804022558413755,0.024913208881600035,0.02491320888160003,0.032804022558413755
84,,,0.0,84,1.3743439951853154,0.9912394052554478,1.7685623067699443,1.3743439951853154,1.7685623067699443,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.007337143188123661,252,0.0073371431881236624,0.9982629754370403,0.009560027552360352,0.007337143188123662,0.0073371431881236624,0.009560027552360352
166,,,0.0,66,1.4753553857365254,0.9761423033920258,1.6484602704966305,1.4753553857365254,1.6484602704966305,all,1,0.0,,4,100,2.6576463134765556,0.9796989229204579,3.42904808670434,3.036549173502715,3.756263120836712,1.0,166,0.05200334455259614,498,0.05221695487313869,0.8650168911868197,0.08597992440057309,0.052216954873138696,0.052003344552596135,0.08564981907830832
100,,isobaric,0.0,0,,,,,,direction,1,0.0,,3,100,2.6576463134765556,0.9796989229204579,3.42904808670434,3.036549173502715,3.756263120836712,1.0,100,0.06292903566121778,300,0.07399080607976764,0.8331636605225621,0.1089155349679695,0.07399080607976764,0.06292903566121778,0.09784991252579671
66,,isothermal,0.0,66,1.4753553857365254,0.9761423033920258,1.6484602704966305,1.4753553857365254,1.6484602704966305,direction,1,0.0,,1,0,,,,,,1.0,66,0.01922627122673121,198,0.019226271226731213,0.9793512139406891,0.024894776332989754,0.01922627122673121,0.019226271226731213,0.024894776332989754
166,3,,0.0,66,1.4753553857365254,0.9761423033920258,1.6484602704966305,1.4753553857365254,1.6484602704966305,cardinality,1,0.0,,4,100,2.6576463134765556,0.9796989229204579,3.42904808670434,3.036549173502715,3.756263120836712,1.0,166,0.05200334455259614,498,0.05221695487313869,0.8650168911868197,0.08597992440057309,0.052216954873138696,0.052003344552596135,0.08564981907830832
100,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,100,2.6576463134765556,0.9796989229204579,3.42904808670434,3.036549173502715,3.756263120836712,1.0,100,0.06292903566121778,300,0.07399080607976764,0.8331636605225621,0.1089155349679695,0.07399080607976764,0.06292903566121778,0.09784991252579671
66,3,isothermal,0.0,66,1.4753553857365254,0.9761423033920258,1.6484602704966305,1.4753553857365254,1.6484602704966305,direction_cardinality,1,0.0,,1,0,,,,,,1.0,66,0.01922627122673121,198,0.019226271226731213,0.9793512139406891,0.024894776332989754,0.01922627122673121,0.019226271226731213,0.024894776332989754
43,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,0/3,1,43,1.1642161666515312,0.891787902531359,1.557574620491974,1.1642161666515312,1.557574620491974,1.0,43,0.1143170088871505,129,0.11431700888715049,0.46459755455732754,0.14921449874416032,0.11431700888715049,0.11431700888715049,0.14921449874416032
