attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,2.2598882464582104,0.9815748427948441,2.858496609508217,2.7856056904506747,3.6431156232952704,all,0,0.0,,4,61,1.5060007564357067,0.996716280233297,1.9297732551098885,1.5871865087701302,2.0471931241130523,1.0,166,0.03541769857718582,498,0.039275010288535174,0.9001857871693997,0.07716634178092036,0.039275010288535174,0.041800151861745745,0.07731584965369717
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,1.5060007564357067,0.996716280233297,1.9297732551098885,1.5871865087701302,2.0471931241130523,1.0,61,0.06477034783484552,183,0.08357173667894931,0.68344426942696,0.12466686051734169,0.08357173667894932,0.0647703478348455,0.10586374891425465
105,,isothermal,0.0,105,2.2598882464582104,0.9815748427948441,2.858496609508217,2.7856056904506747,3.6431156232952704,direction,0,0.0,,2,0,,,,,,1.0,105,0.01882995588864599,315,0.013540721623627914,0.9941490564597221,0.019620096998158115,0.01354072162362791,0.018829955888645986,0.027355947820645078
166,3,,0.0,105,2.2598882464582104,0.9815748427948441,2.858496609508217,2.7856056904506747,3.6431156232952704,cardinality,0,0.0,,4,61,1.5060007564357067,0.996716280233297,1.9297732551098885,1.5871865087701302,2.0471931241130523,1.0,166,0.03541769857718582,498,0.039275010288535174,0.9001857871693997,0.07716634178092036,0.039275010288535174,0.041800151861745745,0.07731584965369717
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,1.5060007564357067,0.996716280233297,1.9297732551098885,1.5871865087701302,2.0471931241130523,1.0,61,0.06477034783484552,183,0.08357173667894931,0.68344426942696,0.12466686051734169,0.08357173667894932,0.0647703478348455,0.10586374891425465
105,3,isothermal,0.0,105,2.2598882464582104,0.9815748427948441,2.858496609508217,2.7856056904506747,3.6431156232952704,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.01882995588864599,315,0.013540721623627914,0.9941490564597221,0.019620096998158115,0.01354072162362791,0.018829955888645986,0.027355947820645078
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.389093273074137,0.8638859384291404,1.7468775004265755,1.389093273074137,1.7468775004265755,1.0,43,0.1106457366144588,129,0.1106457366144588,0.4761684910467755,0.14759330509962537,0.11064573661445878,0.1106457366144588,0.14759330509962537
21,,,0.0,21,3.6618014304381155,0.9240639697805689,4.666308934791139,3.6618014304381155,4.666308934791139,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.027645346330342782,63,0.027645346330342775,0.9885738341452368,0.036796929302326226,0.02764534633034278,0.027645346330342775,0.036796929302326226
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,1.7852797444661235,0.9669132910033031,2.308769883148799,1.7852797444661235,2.308769883148799,1.0,18,0.018894959055232224,54,0.018894959055232224,0.9905954223080836,0.02510941970913723,0.018894959055232224,0.018894959055232224,0.02510941970913723
84,,,0.0,84,1.909409950463234,0.9866394500770272,2.1840658906005017,1.909409950463234,2.1840658906005017,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.010014565446949194,252,0.010014565446949194,0.9972882096041904,0.01194494689194212,0.010014565446949194,0.010014565446949194,0.01194494689194212
166,,,0.0,66,1.1396272008544537,0.9851825832211776,1.2991236150559917,1.1396272008544537,1.2991236150559917,all,1,0.0,,4,100,2.3478542846679664,0.9865161338472469,2.794610276754441,2.5603607534842925,2.9732681035410793,1.0,166,0.04867421493518762,498,0.04903741750890711,0.869533758720654,0.08452913428171104,0.04903741750890711,0.048674214935187615,0.08410065254283058
