attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
5,1161.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,32.86912696576389,0;1;2;3;4,11.836031077040191,5,0.4783479104607097,0;1;2;3;4,0.2707405639137907,5,69.1799690663247,0;1;2;3;4,17.1834557945194,5,46.11625091810563,0;1;2;3;4,8.42479857297084,5,90.4330041875989,0;1;2;3;4,10.631791792958968,all,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,27.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.55951615477822,0;1;2;3;4,1.535683986106733,5,0.4531829986286442,0;1;2;3;4,0.04505726198252515,5,47.12065202236884,0;1;2;3;4,1.9961949362962812,5,31.16415907955028,0;1;2;3;4,1.4197190634383512,5,42.31296602433493,0;1;2;3;4,1.8269990695604599,5,1.0,0;1;2;3;4,0.0,5,1161.0,0;1;2;3;4,0.0,5,0.10636009114508893,0;1;2;3;4,0.008800210649061025,5,2374.0,0;1;2;3;4,0.0,5,0.10982698553373023,0;1;2;3;4,0.012510290550337944,5,0.7736478623832926,0;1;2;3;4,0.04644226766735161,5,0.16942008805621098,0;1;2;3;4,0.01772268710232378,5,0.1111915213475108,0;1;2;3;4,0.012596419361017214,5,0.10191008004377763,0;1;2;3;4,0.009773134514145075,5,0.16252535134744836,0;1;2;3;4,0.013525303084401311
5,1109.0,0;1;2;3;4,0.0,2,,5,0.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,34.84218004661602,0;1;2;3;4,12.658063607383605,5,0.4745144122601941,0;1;2;3;4,0.2728306555890417,5,71.5066892920159,0;1;2;3;4,17.767783532299894,5,48.44582204486416,0;1;2;3;4,8.895571045300146,5,92.90333884458234,0;1;2;3;4,10.924202251758638,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,26.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.55951615477822,0;1;2;3;4,1.535683986106733,5,0.4531829986286442,0;1;2;3;4,0.04505726198252515,5,47.12065202236884,0;1;2;3;4,1.9961949362962812,5,31.16415907955028,0;1;2;3;4,1.4197190634383512,5,42.31296602433493,0;1;2;3;4,1.8269990695604599,5,1.0,0;1;2;3;4,0.0,5,1109.0,0;1;2;3;4,0.0,5,0.10580414743428654,0;1;2;3;4,0.008689408335158744,5,2218.0,0;1;2;3;4,0.0,5,0.11340042993185344,0;1;2;3;4,0.01266892884002479,5,0.7650786790082644,0;1;2;3;4,0.04781332761136806,5,0.17425609714564788,0;1;2;3;4,0.018087641319762964,5,0.11364443492857983,0;1;2;3;4,0.012710386958907267,5,0.10355970095566243,0;1;2;3;4,0.00974028965057973,5,0.16502991769859948,0;1;2;3;4,0.013623760138287795
5,52.0,0;1;2;3;4,0.0,3,,5,0.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,4.183970636452099,0;1;2;3;4,0.6100459891397201,5,0.9284652654717374,0;1;2;3;4,0.018222321349833988,5,5.023356751139876,0;1;2;3;4,0.6303576164840107,5,4.183970636452099,0;1;2;3;4,0.6100459891397201,5,5.023356751139876,0;1;2;3;4,0.6303576164840107,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,0.059019936334773516,0;1;2;3;4,0.013953397900653466,5,156.0,0;1;2;3;4,0.0,5,0.059019936334773516,0;1;2;3;4,0.013953397900653471,5,0.9228549028718855,0;1;2;3;4,0.0396761503026332,5,0.07030071565575238,0;1;2;3;4,0.017068464664872603,5,0.059019936334773516,0;1;2;3;4,0.013953397900653471,5,0.059019936334773516,0;1;2;3;4,0.013953397900653471,5,0.07030071565575238,0;1;2;3;4,0.017068464664872603
5,353.0,0;1;2;3;4,0.0,,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,10.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.55951615477822,0;1;2;3;4,1.535683986106733,5,0.4531829986286442,0;1;2;3;4,0.04505726198252515,5,47.12065202236884,0;1;2;3;4,1.9961949362962812,5,31.16415907955028,0;1;2;3;4,1.4197190634383512,5,42.31296602433493,0;1;2;3;4,1.8269990695604599,5,1.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,0.09962443154630152,0;1;2;3;4,0.004343499000559062,5,706.0,0;1;2;3;4,0.0,5,0.11919018437477899,0;1;2;3;4,0.005379913698520559,5,0.7894146406521472,0;1;2;3;4,0.009982301254378573,5,0.16693804799775785,0;1;2;3;4,0.00399478090427474,5,0.11919018437477899,0;1;2;3;4,0.005379913698520559,5,0.09770365442800687,0;1;2;3;4,0.003983325982547664,5,0.14775900886995186,0;1;2;3;4,0.002789714286775027
5,808.0,0;1;2;3;4,0.0,,isothermal,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,32.86912696576389,0;1;2;3;4,11.836031077040191,5,0.4783479104607097,0;1;2;3;4,0.2707405639137907,5,69.1799690663247,0;1;2;3;4,17.1834557945194,5,46.11625091810563,0;1;2;3;4,8.42479857297084,5,90.4330041875989,0;1;2;3;4,10.631791792958968,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,19.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,0.09893337109012208,0;1;2;3;4,0.011707280383995131,5,1668.0,0;1;2;3;4,0.0,5,0.10586390496911366,0;1;2;3;4,0.017630838159777028,5,0.7665028379363582,0;1;2;3;4,0.06591272900939173,5,0.17002380545252466,0;1;2;3;4,0.025016487031592476,5,0.10737126039546621,0;1;2;3;4,0.01786423249105973,5,0.09551464370495244,0;1;2;3;4,0.013204303105199412,5,0.16138072514281582,0;1;2;3;4,0.01877489666522368
5,353.0,0;1;2;3;4,0.0,2,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,10.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.55951615477822,0;1;2;3;4,1.535683986106733,5,0.4531829986286442,0;1;2;3;4,0.04505726198252515,5,47.12065202236884,0;1;2;3;4,1.9961949362962812,5,31.16415907955028,0;1;2;3;4,1.4197190634383512,5,42.31296602433493,0;1;2;3;4,1.8269990695604599,5,1.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,0.09962443154630152,0;1;2;3;4,0.004343499000559062,5,706.0,0;1;2;3;4,0.0,5,0.11919018437477899,0;1;2;3;4,0.005379913698520559,5,0.7894146406521472,0;1;2;3;4,0.009982301254378573,5,0.16693804799775785,0;1;2;3;4,0.00399478090427474,5,0.11919018437477899,0;1;2;3;4,0.005379913698520559,5,0.09770365442800687,0;1;2;3;4,0.003983325982547664,5,0.14775900886995186,0;1;2;3;4,0.002789714286775027
5,756.0,0;1;2;3;4,0.0,2,isothermal,5,0.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,34.84218004661602,0;1;2;3;4,12.658063607383605,5,0.4745144122601941,0;1;2;3;4,0.2728306555890417,5,71.5066892920159,0;1;2;3;4,17.767783532299894,5,48.44582204486416,0;1;2;3;4,8.895571045300146,5,92.90333884458234,0;1;2;3;4,10.924202251758638,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,18.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,756.0,0;1;2;3;4,0.0,5,0.09810975077782226,0;1;2;3;4,0.011518160675960742,5,1512.0,0;1;2;3;4,0.0,5,0.11069701284408526,0;1;2;3;4,0.01839597095282861,5,0.7534543896314214,0;1;2;3;4,0.06936616910546477,5,0.17711123238622398,0;1;2;3;4,0.025996321155862177,5,0.11069701284408526,0;1;2;3;4,0.018395970952828612,5,0.09754212744774016,0;1;2;3;4,0.013325771603571436,5,0.16495217759415604,0;1;2;3;4,0.019089970352601224
5,52.0,0;1;2;3;4,0.0,3,isothermal,5,0.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,4.183970636452099,0;1;2;3;4,0.6100459891397201,5,0.9284652654717374,0;1;2;3;4,0.018222321349833988,5,5.023356751139876,0;1;2;3;4,0.6303576164840107,5,4.183970636452099,0;1;2;3;4,0.6100459891397201,5,5.023356751139876,0;1;2;3;4,0.6303576164840107,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,52.0,0;1;2;3;4,0.0,5,0.059019936334773516,0;1;2;3;4,0.013953397900653466,5,156.0,0;1;2;3;4,0.0,5,0.059019936334773516,0;1;2;3;4,0.013953397900653471,5,0.9228549028718855,0;1;2;3;4,0.0396761503026332,5,0.07030071565575238,0;1;2;3;4,0.017068464664872603,5,0.059019936334773516,0;1;2;3;4,0.013953397900653471,5,0.059019936334773516,0;1;2;3;4,0.013953397900653471,5,0.07030071565575238,0;1;2;3;4,0.017068464664872603
5,1161.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,808.0,0;1;2;3;4,0.0,5,32.86912696576389,0;1;2;3;4,11.836031077040191,5,0.4783479104607097,0;1;2;3;4,0.2707405639137907,5,69.1799690663247,0;1;2;3;4,17.1834557945194,5,46.11625091810563,0;1;2;3;4,8.42479857297084,5,90.4330041875989,0;1;2;3;4,10.631791792958968,unseen_subset,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,at_least_one_component_unseen,5,27.0,0;1;2;3;4,0.0,5,353.0,0;1;2;3;4,0.0,5,36.55951615477822,0;1;2;3;4,1.535683986106733,5,0.4531829986286442,0;1;2;3;4,0.04505726198252515,5,47.12065202236884,0;1;2;3;4,1.9961949362962812,5,31.16415907955028,0;1;2;3;4,1.4197190634383512,5,42.31296602433493,0;1;2;3;4,1.8269990695604599,5,1.0,0;1;2;3;4,0.0,5,1161.0,0;1;2;3;4,0.0,5,0.10636009114508893,0;1;2;3;4,0.008800210649061025,5,2374.0,0;1;2;3;4,0.0,5,0.10982698553373023,0;1;2;3;4,0.012510290550337944,5,0.7736478623832926,0;1;2;3;4,0.04644226766735161,5,0.16942008805621098,0;1;2;3;4,0.01772268710232378,5,0.1111915213475108,0;1;2;3;4,0.012596419361017214,5,0.10191008004377763,0;1;2;3;4,0.009773134514145075,5,0.16252535134744836,0;1;2;3;4,0.013525303084401311
5,316.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,189.0,0;1;2;3;4,0.0,5,20.39046252781118,0;1;2;3;4,7.3291001037386945,5,0.6790334695799574,0;1;2;3;4,0.21271887635064646,5,46.460630276867064,0;1;2;3;4,17.877599269258024,5,24.571336948037157,0;1;2;3;4,9.061777663861989,5,52.059500021388374,0;1;2;3;4,20.07568692729785,unseen_subset,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,strict_all_components_unseen,5,8.0,0;1;2;3;4,0.0,5,127.0,0;1;2;3;4,0.0,5,61.37908439576154,0;1;2;3;4,4.1607972902037105,5,-1.6435997046012072,0;1;2;3;4,0.30763978939501674,5,63.53015095750227,0;1;2;3;4,3.762747322104885,5,62.50075339541719,0;1;2;3;4,4.03060402318747,5,64.708225439776,0;1;2;3;4,3.6581127852936404,5,1.0,0;1;2;3;4,0.0,5,316.0,0;1;2;3;4,0.0,5,0.07661542721043023,0;1;2;3;4,0.009946804784216098,5,684.0,0;1;2;3;4,0.0,5,0.06411511192510602,0;1;2;3;4,0.008870782340175222,5,0.928801558733076,0;1;2;3;4,0.01774321132158959,5,0.09165988922699106,0;1;2;3;4,0.011310825842973842,5,0.06453433523317136,0;1;2;3;4,0.008688569496890144,5,0.06751417373756553,0;1;2;3;4,0.009412117859615462,5,0.09718372291509525,0;1;2;3;4,0.01205726669897897
