epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,6.125597953796387,2.2440955099935964,0.5,0.0026787724126761704,0.009516364213195214,0.0015354996286932531,0.0,0.008634940522743046,0.0004302361504927885,0.004923429171254846,0.001375052772248881,0.0,0.0,0.006282934683768712,0.0006719791317018898
2,physics,4.955401420593262,2.1013221350253435,1.0,0.002486738254909324,0.009013703367105035,0.001415022729216057,0.0,0.008806742924337068,0.0003981302141275904,0.004868118794439524,0.0012951800780423922,0.0,0.0,0.006182476442438263,0.000666767624861986
3,physics,7.238400936126709,2.766950875641134,1.0,0.0024633018864110194,0.009119912646825988,0.0013840526491487703,0.0,0.008788326956395486,0.0003810161064160421,0.00477355120199794,0.0012708067975310284,0.0,0.0,0.006038547384797207,0.0006295927969178014
4,physics,4.5628557205200195,2.054187374044717,1.0,0.002418802751096274,0.008461268235724982,0.0013300859687452734,0.0,0.008363534842507344,0.0003840120109672022,0.004911878916873778,0.001236800330432935,0.0,0.0,0.006174797133761167,0.0006445179954576411
5,physics,7.61566686630249,2.5481941388286375,1.0,0.0024336870998505652,0.009168136521576392,0.0013467977005529673,0.0,0.008741583784449768,0.00037703068786578987,0.004834194600993283,0.001243491940033154,0.0,0.0,0.006086697651151276,0.0006307570663925482
6,physics,6.596796989440918,2.3429942533412795,1.0,0.0023823607147814953,0.008713204619530717,0.0013151937910951788,0.0,0.008432738003012174,0.00037858117840101506,0.004912108045947903,0.001209967936716156,0.0,0.0,0.00615344599472204,0.0006363539355689814
7,physics,5.494649887084961,2.3388180720825957,1.0,0.002344929991377527,0.009196613095182724,0.0012923342380193417,0.0,0.008608399781280925,0.00037282898490167076,0.00492113204492203,0.0012407665551239665,0.0,0.0,0.006160559037247342,0.0006190436306463756
8,physics,5.7122015953063965,2.314404323431441,1.0,0.0023607763592158213,0.00867465666103652,0.001304662254793268,0.0,0.008368292810594154,0.0003655258142513327,0.00495467836567042,0.001268932093900621,0.0,0.0,0.006216608176517298,0.0006274638058314988
9,physics,6.995721817016602,2.2534927823975957,1.0,0.002326253285726286,0.008390635271493694,0.0012824269673415813,0.0,0.008174243218047198,0.0003702452829790472,0.004927564165546469,0.001225693293820599,0.0,0.0,0.006169600301552643,0.0006291894390069292
10,physics,6.747424602508545,2.439066472460432,1.0,0.002299705109622534,0.008469167514551974,0.0012671685320078806,0.0,0.008169383208513337,0.0003679258353763136,0.004833050219883172,0.0012266203988989587,0.0,0.0,0.006073966810424412,0.000627606444569387
