epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,11.83680534362793,3.088944487571088,0.5,0.0017713030959778746,0.0053470133037876,0.0011882020621309618,0.0,0.0054641194905706136,0.0004252087530060612,0.009943454654428313,0.0029370055794598732,0.0,0.0,0.013565944233220209,0.0021539867223012
2,physics,6.65912389755249,2.20152610859967,1.0,0.0014877568420213567,0.004936328946511312,0.0010516495372368947,0.0,0.005399756957373815,0.0003921861229640162,0.010099879424196864,0.002888975800890976,0.0,0.0,0.013684502714928591,0.0021401352891134043
3,physics,5.152408123016357,2.1352083161640127,1.0,0.0013886593932038321,0.004755472467641043,0.0009820417040661974,0.0,0.005120865471224077,0.0003724281115108614,0.010168023691541931,0.0028589043095058257,0.0,0.0,0.01373735324012647,0.002139877351964709
4,physics,10.105904579162598,2.3119310683183967,1.0,0.0013352012787894653,0.004778178501248501,0.0009486558718460586,0.0,0.005033164853167548,0.00036021844209658903,0.009993833357925122,0.0027614909030120073,0.0,0.0,0.013518480777584992,0.0021439021097625546
5,physics,6.257941246032715,2.1198244900465357,1.0,0.001296452533266236,0.004661138829466104,0.0009298586083740239,0.0,0.0049099895603865965,0.0003531089928333649,0.010237210511143137,0.0027194378142478878,0.0,0.0,0.013755530444825288,0.0021586010155090693
6,physics,6.077170372009277,2.3160918307326366,1.0,0.001289093320573668,0.0043733502687523075,0.0009206340610446069,0.0,0.004748959415942527,0.00035255692075133647,0.010015896884665924,0.002710391549801421,0.0,0.0,0.013525923823734362,0.002154831161638408
7,physics,5.469745635986328,1.9677975159548218,1.0,0.0012460489141052542,0.0042573874666907005,0.0008899499841536267,0.0,0.004608535791494903,0.0003438431632674606,0.009968061667316943,0.002651789604636679,0.0,0.0,0.013442741536570999,0.002148784835902221
8,physics,4.515748023986816,1.970367472816591,1.0,0.0012056995751963764,0.004431184315240567,0.0008638611875262572,0.0,0.0046240560875567835,0.0003389031734651896,0.010061545935424823,0.0026696599252349464,0.0,0.0,0.01353738541230815,0.0021410092465572053
9,physics,6.359489917755127,2.447414799180054,1.0,0.0012147039106911205,0.004192609146688619,0.0008673333666152284,0.0,0.004513870443591286,0.00033552857944497695,0.010233894191531112,0.0026378110619586677,0.0,0.0,0.013701276205109487,0.0021484762866432333
10,physics,4.955639362335205,1.8023618003970596,1.0,0.0011704765037878731,0.004079216217727427,0.0008449964224295368,0.0,0.004389248069253311,0.0003341670346092627,0.010099498984250018,0.0026322817262166257,0.0,0.0,0.013551959463354177,0.0021363196152636727
