epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,5.637894630432129,2.530319416558928,0.5,0.0031913336482209246,0.011575842605343353,0.0020408211712323854,0.0,0.010599270912016477,0.0005996054757069524,0.001975279057814485,0.0009521357715129852,0.0,0.0,0.0034080259986126148,0.0009566790368844335
2,physics,8.971806526184082,2.7723672422337384,1.0,0.002873740347302764,0.010698730162371013,0.001840251581205435,0.0,0.010638465000931333,0.0005751079528105803,0.0019195624609239907,0.0013302709316698517,0.0,0.0,0.0035240629954509848,0.0009393650926027892
3,physics,5.786275863647461,2.7010492622866153,1.0,0.0027628795775945436,0.010330107192418898,0.0017448603421184156,0.0,0.01023422875512902,0.0005614352283441524,0.0018151660804877079,0.0007364970825574288,0.0,0.0,0.0030743472208777044,0.0008909325883514577
4,physics,6.044101238250732,2.6050805760159954,1.0,0.0026878629498074845,0.010107386587066669,0.0016911243752523915,0.0,0.009980132650800881,0.0005474520999478313,0.0018409179063006967,0.0005941623023834285,0.0,0.0,0.0030088674944176294,0.0008708684502255568
5,physics,6.859480381011963,2.0427106410659013,1.0,0.0026299435591549407,0.009998345988684008,0.0016520060430883815,0.0,0.00982019756999488,0.0005390750203766962,0.0017439752441456731,0.0005429778014942142,0.0,0.0,0.002864635469384769,0.0008491712995351738
6,physics,8.845807075500488,2.4598909625872136,1.0,0.0026048702249189828,0.010520265337287804,0.0016243544837123557,0.0,0.010022316817434021,0.0005329593837131471,0.001766195164937215,0.0005664825744314815,0.0,0.0,0.0028970540167622756,0.000847617451182838
7,physics,5.165668487548828,2.101355061346349,1.0,0.0025579749688750676,0.009716455228797395,0.001610552304503414,0.0,0.009548708341533556,0.0005219533642372875,0.0017468317231612903,0.0005851338954644806,0.0,0.0,0.0028761570665875357,0.0008367583949094344
8,physics,6.3569817543029785,2.355577761821088,1.0,0.0025404476091534425,0.0098112814046414,0.0015887553237262588,0.0,0.009551381585677527,0.0005165379545885233,0.0017148406933443154,0.0005289542235300156,0.0,0.0,0.0027910022588688234,0.0008116844351913311
9,physics,5.836933135986328,2.2902609635549753,1.0,0.0025215033692030384,0.009689680356713803,0.0015504832002243563,0.0,0.009432861023104868,0.0005160343342033377,0.00170916537915635,0.0005170381899961343,0.0,0.0,0.002779688343013588,0.0008120038277252586
10,physics,6.129922389984131,2.4948167549958224,1.0,0.002505436600004462,0.010383166477930581,0.0015430790033019478,0.0,0.009748091620598977,0.0005079928501113247,0.0017349275877515144,0.0006041519041382378,0.0,0.0,0.0028604564408799193,0.0008234528547696248
