seed,selected_stage,case,sample_id,system_id,component_index,component_name,smiles,atom_index,atom_symbol,signed_atom_contribution,matched_functional_groups,output,attribution_scope,evaluation_partition
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,1,1-丙醇,CCCO,0,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,1,1-丙醇,CCCO,1,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,1,1-丙醇,CCCO,2,C,0.21031594276428223,alcohol,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,1,1-丙醇,CCCO,3,O,0.21031594276428223,alcohol,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,2,2-乙氧基乙醇,CCOCCO,0,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,2,2-乙氧基乙醇,CCOCCO,1,C,-0.020355224609375,ether,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,2,2-乙氧基乙醇,CCOCCO,2,O,-0.020355224609375,ether,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,2,2-乙氧基乙醇,CCOCCO,3,C,-0.020355224609375,ether,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,2,2-乙氧基乙醇,CCOCCO,4,C,-0.08778119087219238,alcohol,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,near_ideal_binary,state_2468bcd1e1b69b85ebba4b46,2c_f98cab4acf014d5210d4,2,2-乙氧基乙醇,CCOCCO,5,O,-0.08778119087219238,alcohol,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,1,2-甲基丙烷,CC(C)C,0,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,1,2-甲基丙烷,CC(C)C,1,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,1,2-甲基丙烷,CC(C)C,2,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,1,2-甲基丙烷,CC(C)C,3,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,2,丙腈,CCC#N,0,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,2,丙腈,CCC#N,1,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,2,丙腈,CCC#N,2,C,0.25288546085357666,nitrile,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,nonideal_binary,state_eee98c531dcb9a8615375ffe,2c_9279bbcc7c86a33f7f84,2,丙腈,CCC#N,3,N,0.25288546085357666,nitrile,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,1,乙醇,CCO,0,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,1,乙醇,CCO,1,C,0.03579902648925781,alcohol,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,1,乙醇,CCO,2,O,0.03579902648925781,alcohol,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,0,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,1,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,2,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,3,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,4,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,5,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,6,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
0,stage2,hbond_binary,state_8db6883e35300d870b6bef16,2c_165952a69a69e7a8d3f6,2,异辛烷,CC(C)CC(C)(C)C,7,C,0.0,,mean_abs_log_alpha,smarts_view_local_occlusion,test
