seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,component_i_family,component_j_family,x_i,x_j,pair_interaction,absolute_pair_interaction,composition_weighted_pair_contribution,mean_abs_log_gamma,excess_gibbs_rt,evaluation_partition
0,stage2,state_01d8c748879f212a12304dd3,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.0,1.0,-0.4008651375770569,0.4008651375770569,-0.0,0.20043256878852844,0.0,test
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.566,0.43400000000000005,1.9243109226226807,1.9243109226226807,0.4726954322767258,0.48738980293273926,0.47269541025161743,test
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,alcohol/polyol,ether/carbonyl,0.5081,0.4919,0.9807475209236145,0.9807475209236145,0.24512253338605583,0.24521812796592712,0.2451225221157074,test
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.805,0.19499999999999995,0.5897281765937805,0.5897281765937805,0.09257258052080868,0.20994418859481812,0.09257258474826813,test
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.278,0.722,1.2704850435256958,1.2704850435256958,0.25500667599630356,0.3938843607902527,0.25500667095184326,test
0,stage2,state_0cee952ecf4f025da054ee13,2c_784276d4500715f79c89,isobaric,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.3561,0.6438999999999999,0.5471017956733704,0.5471017956733704,0.125446497143957,0.15021367371082306,0.12544649839401245,test
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.0,1.0,1.2053780555725098,1.2053780555725098,0.0,0.6026890277862549,0.0,test
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,ether/carbonyl,alcohol/polyol,0.201,0.7989999999999999,1.0794745683670044,1.0794745683670044,0.17336253620517253,0.37623900175094604,0.17336253821849823,test
0,stage2,state_1059a2a9cff664b934068b15,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.6257,0.37429999999999997,-0.2060508280992508,0.2060508280992508,-0.04825700297593877,0.04443524777889252,-0.0482570044696331,test
0,stage2,state_13f5a391df93f92ccc48c602,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.8118,0.18820000000000003,-0.2597167491912842,0.2597167491912842,-0.03967972232617378,0.07053293287754059,-0.039679720997810364,test
0,stage2,state_1496b8bc8194125c1572d87a,2c_68abb36eecbce76e2e58,isobaric,2,alkane/cycloalkane + halogenated,halogenated,alkane/cycloalkane,0.4529,0.5470999999999999,0.5518237948417664,0.5518237948417664,0.13673177728572664,0.13983063399791718,0.13673177361488342,test
0,stage2,state_14bbf84143746dbf18c961ba,2c_d119216a7f1c0b5c260c,isothermal,2,alcohol/polyol + alkane/cycloalkane,alcohol/polyol,alkane/cycloalkane,0.0997,0.9003,2.107130765914917,2.107130765914917,0.18913586790675402,0.7921513319015503,0.1891358643770218,test
0,stage2,state_154b54dde17c8be2dc669da1,2c_b5e6a87ec43f38c5a3d1,isothermal,2,alkane/cycloalkane + halogenated,alkane/cycloalkane,halogenated,0.348,0.652,0.8706150650978088,0.8706150650978088,0.19753907581043242,0.2487281858921051,0.1975390762090683,test
0,stage2,state_15feae5a5af6f3b1d51b250f,2c_0537ca75f0252274a31e,isobaric,2,alcohol/polyol + alcohol/polyol,alcohol/polyol,alcohol/polyol,0.3663,0.6336999999999999,0.46925705671310425,0.46925705671310425,0.10892597050216019,0.14078719913959503,0.10892597585916519,test
0,stage2,state_16f0a733fa0a851bb1b97d23,2c_0537ca75f0252274a31e,isobaric,2,alcohol/polyol + alcohol/polyol,alcohol/polyol,alcohol/polyol,0.1671,0.8329,0.3710165023803711,0.3710165023803711,0.051637182651529306,0.15876372158527374,0.051637183874845505,test
0,stage2,state_17d83c90cb279204af27a402,2c_7954fe4787215de62628,isobaric,2,alcohol/polyol + ether/carbonyl,ether/carbonyl,alcohol/polyol,0.728,0.272,1.0292270183563232,1.0292270183563232,0.2038034172668457,0.29454678297042847,0.2038034200668335,test
0,stage2,state_188e6c152ade68de895cbaee,2c_e1c33e24ae7f6ab4d0bf,isothermal,2,halogenated + nitrogen-containing,halogenated,nitrogen-containing,0.8693,0.13070000000000004,0.9811205267906189,0.9811205267906189,0.11147247126383844,0.33699339628219604,0.1114724799990654,test
0,stage2,state_1a113b4f8839c008ee8db709,2c_c6a565ee5191fe2b2cdb,isothermal,2,alcohol/polyol + sulfur-containing,sulfur-containing,alcohol/polyol,0.902,0.09799999999999998,1.2047288417816162,1.2047288417816162,0.10649321069812771,0.4780954122543335,0.10649320483207703,test
0,stage2,state_1ae4feef6e58a27e09dc24b0,2c_549357b643a32e7f29d6,isothermal,2,alcohol/polyol + ether/carbonyl,alcohol/polyol,ether/carbonyl,0.9308,0.06920000000000004,0.6609237790107727,0.6609237790107727,0.04257099946242334,0.28875070810317993,0.04257100075483322,test
0,stage2,state_1bec1c083dc044c3b3daf990,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.1259,0.8741,-0.4832068085670471,0.4832068085670471,-0.0531765178852886,0.18744009733200073,-0.05317652225494385,test
