epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.01154220760161849,0.00742046847937117,0.001649364682824551,0.0,0.6692515779981966,0.532950924155513,0.3902685482157044,0.00742046847937117,,,,,,,1.0,0.0,4.913391504909867,0.05430394644042892,1.0,9.0230762366847,0.0,0.03843668407429634
2,stage1_direct_ge,0.008430498597076206,0.005603969334093456,0.0013887200471301075,0.0,0.6692515779981966,0.532950924155513,0.274809450270113,0.005603969334093456,,,,,,,1.0,0.0,5.2570651678745,0.05280146178954856,1.0,11.435461024369548,0.0,0.03476175564982719
3,stage1_direct_ge,0.007155435794336428,0.004796149020384192,0.0012184311197546813,0.0,0.6692515779981966,0.532950924155513,0.18487099189907216,0.004796149020384192,,,,,,,1.0,0.0,5.043101154289897,0.05369643000179116,1.0,11.43185344739412,0.0,0.03736832082664709
4,stage1_direct_ge,0.006627539129971679,0.004497009097928522,0.0011832395357890704,0.0,0.6692515779981966,0.532950924155513,0.17880992728901032,0.004497009097928522,,,,,,,1.0,0.0,5.539974634683593,0.057284295270318975,1.0,11.38131021622507,0.0,0.03936800227568487
5,stage1_direct_ge,0.006490380870780229,0.00447116182120416,0.0012259713729241462,0.0,0.6692515779981966,0.532950924155513,0.1781620062920909,0.00447116182120416,,,,,,,1.0,0.0,5.331968053795591,0.060725494408503396,1.0,9.319251490089588,0.0,0.04147046496079788
6,stage1_direct_ge,0.005879856993526177,0.004104749330169883,0.0011648208432787242,0.0,0.6692515779981966,0.532950924155513,0.14041571881529477,0.004104749330169883,,,,,,,1.0,0.0,5.117897619770722,0.06031491404627329,1.0,9.249328180780624,0.0,0.041643485919969796
7,stage1_direct_ge,0.0058628413055764024,0.004117276082397068,0.001185855438430907,0.0,0.6692515779981966,0.532950924155513,0.1581081292711298,0.004117276082397068,,,,,,,1.0,0.0,6.254059698600876,0.06062710343206467,1.0,12.119426818588371,0.0,0.03752913692302868
8,stage1_direct_ge,0.005838164255922865,0.00411017002360367,0.001191087894892846,0.0,0.6692515779981966,0.532950924155513,0.14109106612213104,0.00411017002360367,,,,,,,1.0,0.0,5.32506477144598,0.056546642428378445,1.0,10.226794821375796,0.0,0.035305310823005316
9,stage1_direct_ge,0.005999698054278121,0.004137937665959717,0.0011380886662624707,0.0,0.6692515779981966,0.532950924155513,0.13781282599371963,0.004137937665959717,,,,,,,1.0,0.0,6.489355766562294,0.05896824677307913,1.0,13.487035315983134,0.0,0.037614083525045076
10,stage1_direct_ge,0.005852198505321834,0.004068233560915583,0.0011421342970805754,0.0,0.6692515779981966,0.532950924155513,0.14903151860200653,0.004068233560915583,,,,,,,1.0,0.0,4.804117311643,0.05763800567067142,1.0,11.58734341738364,0.0,0.037883861994805416
11,stage1_direct_ge,0.006160876056217394,0.0042528163118156145,0.0011723782664115633,0.0,0.6692515779981966,0.532950924155513,0.1627734925742739,0.0042528163118156145,,,,,,,1.0,0.0,10.017182104470375,0.07425503848037732,1.0,13.297287849963197,0.0,0.04391741000906818
12,stage1_direct_ge,0.005612874938527667,0.003887037670867811,0.0010806001893577384,0.0,0.6692515779981966,0.532950924155513,0.13133690827701258,0.003887037670867811,,,,,,,1.0,0.0,5.469828030310968,0.05741607445653417,1.0,9.781024635117609,0.0,0.03563007420506734
13,stage1_direct_ge,0.00554705032042404,0.003934537050408626,0.0011610118722631564,0.0,0.6692515779981966,0.532950924155513,0.13035116290651058,0.003934537050408626,,,,,,,1.0,0.0,6.092472584905962,0.05945965228190717,1.0,10.788881603232936,0.0,0.03543885228201174
14,stage1_direct_ge,0.005184848278991218,0.0036961691833942312,0.0011037450187309503,0.0,0.6692515779981966,0.532950924155513,0.11192611140514196,0.0036961691833942312,,,,,,,1.0,0.0,5.297843907742336,0.05579043449251799,1.0,9.268415071686478,0.0,0.036107863802620425
15,stage1_direct_ge,0.004966222714998393,0.0035912256577474207,0.0011081143011237506,0.0,0.6692515779981966,0.532950924155513,0.11311971758527312,0.0035912256577474207,,,,,,,1.0,0.0,5.49774531660174,0.05415313242870104,1.0,9.135819449102645,0.0,0.03464402987965446
16,stage1_direct_ge,0.004834730951726873,0.0034923437328378795,0.0010749782642977012,0.0,0.6692515779981966,0.532950924155513,0.09680483160579638,0.0034923437328378795,,,,,,,1.0,0.0,5.027638283082692,0.05514446458325878,1.0,9.826235530392067,0.0,0.03693033369233524
17,stage1_direct_ge,0.004749700326978248,0.0034430000054607867,0.001068149825288434,0.0,0.6692515779981966,0.532950924155513,0.09397914277246,0.0034430000054607867,,,,,,,1.0,0.0,5.0874685213499795,0.055223924917203335,1.0,8.714303967386117,0.0,0.036674068723918485
18,stage1_direct_ge,0.004735711741470717,0.0034401754321859305,0.0010723195564645237,0.0,0.6692515779981966,0.532950924155513,0.0936110147981981,0.0034401754321859305,,,,,,,1.0,0.0,5.090850917349128,0.0562943102414228,1.0,9.96642695740664,0.0,0.036713159720306116
19,stage1_direct_ge,0.004979513715738947,0.0036163894657266415,0.0011266326190164187,0.0,0.6692515779981966,0.532950924155513,0.10947416886506832,0.0036163894657266415,,,,,,,1.0,0.0,5.108743137226669,0.05593687711701261,1.0,10.067502114315175,0.0,0.03512211712030231
20,stage1_direct_ge,0.004652769499297513,0.0033897073742078228,0.0010633225981040737,0.0,0.6692515779981966,0.532950924155513,0.09810150682147405,0.0033897073742078228,,,,,,,1.0,0.0,5.167154475562378,0.054555880141895365,1.0,11.473219369089227,0.0,0.036929674785480114
1,stage2_joint_vle,0.007107767244768872,0.004776413838685965,0.001222530202767969,0.0,0.6692515779981966,0.532950924155513,8.727457169653732,0.047645349906006,0.019703600508290883,0.04097012912912723,0.0,0.0,0.042868935959763856,0.0026802707352949137,1.0,0.0,6.341671815655723,0.060534110783972285,1.0,11.411112770168907,0.0,0.036763273779259725
2,stage2_joint_vle,0.006937868918907764,0.004673603364641002,0.001204668893553008,0.0,0.6692515779981966,0.532950924155513,9.999809101267633,0.04607815506961256,0.019224793840273313,0.0395108131303614,0.0,0.0,0.041404551770027616,0.002424351424643612,1.0,0.0,6.072892374783566,0.060133764909959066,1.0,13.610617806876046,0.0,0.046028520454834944
3,stage2_joint_vle,0.00709526045052032,0.004763869835310743,0.0012162396219592255,0.0,0.6692515779981966,0.532950924155513,7.647724853950827,0.03592997410490757,0.014198237891772547,0.029457034124091144,0.0,0.0,0.03116610424000701,0.002239349172897269,1.0,0.0,8.307593786872003,0.060030498097528334,1.0,10.35191952294027,0.0,0.036030046132598845
4,stage2_joint_vle,0.007336323650659479,0.004879745948107627,0.0012115841308876355,0.0,0.6692515779981966,0.532950924155513,10.192844747296558,0.04869017777946665,0.017811814672803333,0.047060491875469346,0.0,0.0,0.04381043177698736,0.002468370937209854,1.0,0.0,8.43828304887351,0.06383268774089797,1.0,10.937552733793332,0.0,0.043705254038799886
5,stage2_joint_vle,0.008046668880293234,0.005264299177790833,0.0012409647577887413,0.0,0.6692515779981966,0.532950924155513,8.091252659740837,0.040647822571948045,0.015340863886111819,0.03544331702470205,0.0,0.0,0.03538352323380234,0.0023210006621411016,1.0,0.0,5.60993958883141,0.057343306545494126,1.0,11.43060352280925,0.0,0.038374348022063486
