epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.006960736556575912,0.004713277377255303,0.0012329090926327228,0.0,0.6671061305207646,0.5374175545408422,0.07680524825361826,0.004713277377255303,,,,,,,1.0,0.0,2.1732219587053576,0.02294030033453296,1.0,8.568179161048285,0.0,0.03111979065654086
2,stage1_direct_ge,0.005091897254967556,0.003650693797928346,0.001104745169972055,0.0,0.6671061305207646,0.5374175545408422,0.0510309067838752,0.003650693797928346,,,,,,,1.0,0.0,2.4363339947639635,0.025399855330017405,1.0,8.949737511053087,0.0,0.029884041628853202
3,stage1_direct_ge,0.005558519333814574,0.003887778647028511,0.001108519019457908,0.0,0.6671061305207646,0.5374175545408422,0.0609303083079893,0.003887778647028511,,,,,,,1.0,0.0,2.6665974996734922,0.029472832157857273,1.0,8.399335867928064,0.0,0.027788813523106488
4,stage1_direct_ge,0.004697037205494135,0.0034664441584049523,0.0011179255608555244,0.0,0.6671061305207646,0.5374175545408422,0.04972367537151672,0.0034664441584049523,,,,,,,1.0,0.0,2.8140364979103363,0.027295817474064916,1.0,8.754975526060477,0.0,0.028639185927411805
5,stage1_direct_ge,0.004507504693477711,0.0033396991609559333,0.0010859467979153889,0.0,0.6671061305207646,0.5374175545408422,0.05245708718230614,0.0033396991609559333,,,,,,,1.0,0.0,2.4818252096591644,0.02351378416438962,1.0,8.278737050216721,0.0,0.02730341797942378
6,stage1_direct_ge,0.004804265188768635,0.003528059462112772,0.0011259268604635717,0.0,0.6671061305207646,0.5374175545408422,0.060461328669679404,0.003528059462112772,,,,,,,1.0,0.0,2.8230785093916215,0.025887321079357487,1.0,9.731762093694966,0.0,0.029453858671144584
7,stage1_direct_ge,0.004577077582279123,0.003367045512002383,0.0010785067243180707,0.0,0.6671061305207646,0.5374175545408422,0.049208511612111094,0.003367045512002383,,,,,,,1.0,0.0,2.7165026509169996,0.026061587724433243,1.0,8.541886971315291,0.0,0.026364037162204194
8,stage1_direct_ge,0.004521654607876493,0.0033612000558809777,0.0011003727278002845,0.0,0.6671061305207646,0.5374175545408422,0.05424341977111341,0.0033612000558809777,,,,,,,1.0,0.0,2.6022722961982327,0.02637047617770122,1.0,10.004245625388682,0.0,0.03330287756067451
9,stage1_direct_ge,0.004531636700777876,0.003339470097833402,0.0010736517444174295,0.0,0.6671061305207646,0.5374175545408422,0.056463563277039774,0.003339470097833402,,,,,,,1.0,0.0,2.5070738979289358,0.025188578051783872,1.0,9.35584082295697,0.0,0.029178497622637314
10,stage1_direct_ge,0.0040874586903449014,0.003073198476996233,0.001029469123746768,0.0,0.6671061305207646,0.5374175545408422,0.042959899253640486,0.003073198476996233,,,,,,,1.0,0.0,3.0418687270453395,0.029032409371291434,1.0,8.683305598675101,0.0,0.029080761401844395
11,stage1_direct_ge,0.004121229650626617,0.0031044122326848835,0.0010437974104945884,0.0,0.6671061305207646,0.5374175545408422,0.04102814323606677,0.0031044122326848835,,,,,,,1.0,0.0,2.860017469535604,0.027498945183657517,1.0,9.267900465783608,0.0,0.030817930908843924
12,stage1_direct_ge,0.004092047326356543,0.0030935725847137255,0.0010475489251531296,0.0,0.6671061305207646,0.5374175545408422,0.0443112173758897,0.0030935725847137255,,,,,,,1.0,0.0,2.720648936664927,0.02763311540381369,1.0,8.635850753695559,0.0,0.025884247076429827
13,stage1_direct_ge,0.003967458759432159,0.0030269886603633738,0.001043259291515087,0.0,0.6671061305207646,0.5374175545408422,0.04711949412972264,0.0030269886603633738,,,,,,,1.0,0.0,2.8042219272911124,0.02551266267636358,1.0,8.740297819048953,0.0,0.02972003572068201
14,stage1_direct_ge,0.004177130804123581,0.0031448537436560104,0.0010562883309331518,0.0,0.6671061305207646,0.5374175545408422,0.04959291556518372,0.0031448537436560104,,,,,,,1.0,0.0,2.8009770708171065,0.028215487790960895,1.0,8.303543313726333,0.0,0.02563664657011298
