epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.0067173859987608555,0.00457765546145358,0.0012189624544753652,0.0,0.6692515779981966,0.532950924155513,0.0696539349982205,0.00457765546145358,,,,,,,1.0,0.0,2.206393439707955,0.028712332155308242,1.0,10.440703585356518,0.0,0.028591749727827926
2,stage1_direct_ge,0.005262332655954809,0.00375598787933759,0.0011248215494607382,0.0,0.6692515779981966,0.532950924155513,0.05884435532995665,0.00375598787933759,,,,,,,1.0,0.0,2.257765939830136,0.02896742105716045,1.0,10.497663732266533,0.0,0.02993293085057641
3,stage1_direct_ge,0.005712700189299611,0.003941431108368305,0.0010850810446642746,0.0,0.6692515779981966,0.532950924155513,0.059607708283181855,0.003941431108368305,,,,,,,1.0,0.0,2.4128918184309396,0.030667351543678632,1.0,9.903607805879062,0.0,0.028727863933069798
4,stage1_direct_ge,0.0052552813150040885,0.0037037132891818616,0.001076072642601637,0.0,0.6692515779981966,0.532950924155513,0.05630561668660855,0.0037037132891818616,,,,,,,1.0,0.0,2.2624782717025544,0.028630422169689237,1.0,10.289146033637257,0.0,0.03051408783066536
5,stage1_direct_ge,0.005097295972948966,0.003655529386569301,0.0011068813917819553,0.0,0.6692515779981966,0.532950924155513,0.04885388185609063,0.003655529386569301,,,,,,,1.0,0.0,2.164666151331407,0.028325959025263175,1.0,11.945375537583201,0.0,0.030670249530145296
6,stage1_direct_ge,0.004643175024373031,0.003406901077745474,0.0010853135736316082,0.0,0.6692515779981966,0.532950924155513,0.0419779056192888,0.003406901077745474,,,,,,,1.0,0.0,2.4004110693228498,0.03062798823408872,1.0,9.97137911539637,0.0,0.030659576113624
7,stage1_direct_ge,0.004724160016385555,0.0034199127772202094,0.0010578327412109222,0.0,0.6692515779981966,0.532950924155513,0.04624281666740784,0.0034199127772202094,,,,,,,1.0,0.0,2.387927501361431,0.03008781814454417,1.0,11.071419648275734,0.0,0.030929088626339158
8,stage1_direct_ge,0.004909760946760499,0.0035353541657342853,0.0010804736605828178,0.0,0.6692515779981966,0.532950924155513,0.05080587401596735,0.0035353541657342853,,,,,,,1.0,0.0,2.5493036297754728,0.03218413113684546,1.0,11.248354300905385,0.0,0.03304894507877844
9,stage1_direct_ge,0.005080303516704293,0.003636502623074279,0.0010963508829041435,0.0,0.6692515779981966,0.532950924155513,0.05492270004652426,0.003636502623074279,,,,,,,1.0,0.0,2.755207203173876,0.032406215988384515,1.0,10.305753289815575,0.0,0.032647183403864355
10,stage1_direct_ge,0.004560379261819324,0.003329322483791828,0.0010491328857255323,0.0,0.6692515779981966,0.532950924155513,0.04784335054129533,0.003329322483791828,,,,,,,1.0,0.0,2.4051012125432885,0.03030250505180118,1.0,11.874518359246505,0.0,0.030947385249241496
11,stage1_direct_ge,0.0051103138312319895,0.003630238747428402,0.0010750818026084108,0.0,0.6692515779981966,0.532950924155513,0.04937419678429421,0.003630238747428402,,,,,,,1.0,0.0,2.6315101941256187,0.03238477833595032,1.0,10.340460618267777,0.0,0.032108076366447955
12,stage1_direct_ge,0.004543285727722913,0.003283385693515877,0.0010117428174424977,0.0,0.6692515779981966,0.532950924155513,0.04722233333686038,0.003283385693515877,,,,,,,1.0,0.0,2.622454840529703,0.03322227272833147,1.0,10.647073866936246,0.0,0.030045532952007882
13,stage1_direct_ge,0.004544019825350543,0.003282781030568416,0.001010771087565061,0.0,0.6692515779981966,0.532950924155513,0.04392531860152044,0.003282781030568416,,,,,,,1.0,0.0,2.6815095843194987,0.03223638722335199,1.0,12.305227131145736,0.0,0.03246585668878436
14,stage1_direct_ge,0.004301886678506532,0.003169571181463637,0.0010186278244030558,0.0,0.6692515779981966,0.532950924155513,0.044118334156377365,0.003169571181463637,,,,,,,1.0,0.0,2.618390850377363,0.032764761483907084,1.0,13.460696360908452,0.0,0.03129654783112225
15,stage1_direct_ge,0.004359738884815428,0.003200041089999953,0.0010201716724111847,0.0,0.6692515779981966,0.532950924155513,0.05154513365110065,0.003200041089999953,,,,,,,1.0,0.0,3.0381708554565363,0.036011698341562634,1.0,12.471387089433025,0.0,0.03303041743868702
16,stage1_direct_ge,0.004487183334102879,0.0032584691760020414,0.0010148775209223113,0.0,0.6692515779981966,0.532950924155513,0.04570491879494651,0.0032584691760020414,,,,,,,1.0,0.0,2.862996253455934,0.03539759515039316,1.0,12.687037062707198,0.0,0.031781530803541916
17,stage1_direct_ge,0.004325472519550784,0.003229212967430789,0.0010664766904231104,0.0,0.6692515779981966,0.532950924155513,0.04811426007572901,0.003229212967430789,,,,,,,1.0,0.0,3.3176146991855915,0.03821462260672391,1.0,13.75422863442328,0.0,0.033574537567808524
