epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.009957162801655803,0.007046009166349188,0.0020674277457493014,0.0,0.6550877403126311,0.4954303122619954,0.1491918542109549,0.007046009166349188,,,,,,,1.0,0.0,2.9903195699056013,0.035730806912537535,1.0,3.460124440131758,0.0,0.031078329241484643
2,stage1_direct_ge,0.007644454649985063,0.005657908450064962,0.0018356811371085162,0.0,0.6550877403126311,0.4954303122619954,0.11492601452775036,0.005657908450064962,,,,,,,1.0,0.0,3.4675768760398604,0.040256752116210714,1.0,3.4153439876232405,0.0,0.029137184545734034
3,stage1_direct_ge,0.00646977437701238,0.004977055258791696,0.001742168076669286,0.0,0.6550877403126311,0.4954303122619954,0.09486822378789753,0.004977055258791696,,,,,,,1.0,0.0,3.9337554615162063,0.04138269045802899,1.0,3.689442469139325,0.0,0.030811597004193607
4,stage1_direct_ge,0.006102914857155827,0.004780423086477994,0.0017289657040642668,0.0,0.6550877403126311,0.4954303122619954,0.0859371787871041,0.004780423086477994,,,,,,,1.0,0.0,3.6557856660065853,0.04344485224106093,1.0,3.7753826496893406,0.0,0.03460220297972625
5,stage1_direct_ge,0.006108196011897414,0.00477728143119941,0.001723183409173035,0.0,0.6550877403126311,0.4954303122619954,0.08528205908798996,0.00477728143119941,,,,,,,1.0,0.0,3.4934327155219207,0.03804930480817312,1.0,3.7124913652977884,0.0,0.031275668301767805
6,stage1_direct_ge,0.0060551362856347745,0.004712702536192496,0.0016851343676257183,0.0,0.6550877403126311,0.4954303122619954,0.08406914701374632,0.004712702536192496,,,,,,,1.0,0.0,3.5287561939380807,0.043547809946154696,1.0,3.7332007479914187,0.0,0.03160708917461021
7,stage1_direct_ge,0.005536518060380234,0.004428802085054438,0.0016605430494262864,0.0,0.6550877403126311,0.4954303122619954,0.0743446702179675,0.004428802085054438,,,,,,,1.0,0.0,3.6604339916088,0.04105884727015576,1.0,3.651589344763651,0.0,0.02920748742462236
8,stage1_direct_ge,0.005249361440978659,0.0042650696592936,0.001640388940437159,0.0,0.6550877403126311,0.4954303122619954,0.0628284281098425,0.0042650696592936,,,,,,,1.0,0.0,3.600459295202187,0.037038979763964315,1.0,3.6868226931897365,0.0,0.030988839487481358
9,stage1_direct_ge,0.005071558248593091,0.004139143884216023,0.0016033647621656226,0.0,0.6550877403126311,0.4954303122619954,0.059336759622900824,0.004139143884216023,,,,,,,1.0,0.0,4.119141724763096,0.04157821407397198,1.0,3.7146697257699794,0.0,0.029631771270742464
10,stage1_direct_ge,0.005237392043291966,0.004240708463057104,0.0016220124229690896,0.0,0.6550877403126311,0.4954303122619954,0.06551307931402427,0.004240708463057104,,,,,,,1.0,0.0,4.012788662380647,0.037801948033697554,1.0,3.4971613610201433,0.0,0.029980264266904616
11,stage1_direct_ge,0.005021924884740654,0.004115465569676839,0.001604503128488694,0.0,0.6550877403126311,0.4954303122619954,0.061202220806928116,0.004115465569676839,,,,,,,1.0,0.0,3.5516095931441725,0.04238367383055764,1.0,3.6943963392235153,0.0,0.03339101528449123
12,stage1_direct_ge,0.0051728436410309825,0.004179276296631065,0.0015928544788345919,0.0,0.6550877403126311,0.4954303122619954,0.06302612566742143,0.004179276296631065,,,,,,,1.0,0.0,3.4784588283962696,0.0386351651793051,1.0,4.366746622769906,0.0,0.033050809323904376
13,stage1_direct_ge,0.004765006086717431,0.003972848324552245,0.0015903452943489922,0.0,0.6550877403126311,0.4954303122619954,0.05628877404181598,0.003972848324552245,,,,,,,1.0,0.0,3.7051060124150053,0.041290253191730075,1.0,4.009352908976286,0.0,0.030224837231727072
