epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,6.850902557373047,4.83367399084505,0.2199752049155967,0.0,0.0,0.0,0.2577505536338009,0.037775345942961475,0.04919771000603649,0.0,0.0,0.0,0.0670034640303282,0.017805755521370984
2,experimental,4.888486385345459,2.819744059333095,0.0775749886773093,0.0,0.0,0.0,0.10431454887702352,0.02673956198992316,0.03418065680660934,0.0,0.0,0.0,0.04396771594324959,0.009787059136640245
3,experimental,2.03060245513916,1.5135619142068126,0.02928856899616895,0.0,0.0,0.0,0.04487758251054892,0.01558901300979039,0.05109337055794547,0.0,0.0,0.0,0.057299690617022114,0.0062063195063758675
4,experimental,1.2453182935714722,0.9624169439235062,0.017254854543578058,0.0,0.0,0.0,0.026645741053911112,0.009390887014922642,0.05730895551844178,0.0,0.0,0.0,0.06259107875211217,0.005282122489482721
5,experimental,0.9007651209831238,0.6243980100545934,0.01007459174900774,0.0,0.0,0.0,0.016915504851196177,0.00684091301496934,0.06553262061326304,0.0,0.0,0.0,0.07034209572544722,0.004809474555131431
6,experimental,0.6981193423271179,0.518846053610403,0.008272959889164046,0.0,0.0,0.0,0.01364397770533013,0.0053710179423134795,0.06599657314124509,0.0,0.0,0.0,0.07117761594948367,0.005181042438320746
7,experimental,0.868411123752594,0.6035013274540977,0.008403343823615206,0.0,0.0,0.0,0.012591075889332585,0.004187732143573975,0.056791546676203467,0.0,0.0,0.0,0.0620795401318051,0.005287995505381689
8,experimental,1.070988416671753,0.5185293861167141,0.007428312502683155,0.0,0.0,0.0,0.01178138566908067,0.004353073127469216,0.0539719034856725,0.0,0.0,0.0,0.05993802330204259,0.005966119437748305
9,experimental,0.6095919609069824,0.46347343353998094,0.006468332213443265,0.0,0.0,0.0,0.010189422387531195,0.003721090181479378,0.05411747940511347,0.0,0.0,0.0,0.06018272460064041,0.006065245191174969
10,experimental,0.6773849725723267,0.5024225980516464,0.006698402207068823,0.0,0.0,0.0,0.01039380492277877,0.003695402866002744,0.0524145334123451,0.0,0.0,0.0,0.058936862884280836,0.006522327417803702
11,experimental,1.0645461082458496,0.5889898479300201,0.007688858420169227,0.0,0.0,0.0,0.011053660292198102,0.0033648019035657246,0.05257685785399419,0.0,0.0,0.0,0.05862100791429805,0.006044148289050175
12,experimental,1.331542730331421,0.622958614649596,0.007043601862258381,0.0,0.0,0.0,0.010532559072056776,0.003488957253407943,0.05588514399584209,0.0,0.0,0.0,0.06267242662817518,0.006787282919563422
13,experimental,0.7236694693565369,0.41196871387264716,0.006162360011939964,0.0,0.0,0.0,0.009277590358304598,0.0031152302591455363,0.05112695760119741,0.0,0.0,0.0,0.056899883270820725,0.005772926513906394
14,experimental,0.5467125177383423,0.48121323585510256,0.005766124867651828,0.0,0.0,0.0,0.008923689436620821,0.003157564695116389,0.05120438570591891,0.0,0.0,0.0,0.05808717980284557,0.006882793065508671
