epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.007154501269767401,0.0050386102507357765,0.0014613596329909617,0.0,0.6475613896118593,0.5160122213420845,0.08209189558455453,0.0050386102507357765,,,,,,,1.0,0.0,1.6254259980359356,0.02426771303584758,1.0,2.969045576539759,0.0,0.014840011565569956
2,stage1_direct_ge,0.006178225589798285,0.004564588524030113,0.0014754757016162087,0.0,0.6475613896118593,0.5160122213420845,0.07059668289147393,0.004564588524030113,,,,,,,1.0,0.0,1.4111131171218496,0.02031385191025976,1.0,3.291929272377327,0.0,0.012625190061158198
3,stage1_direct_ge,0.005139415470474446,0.003901580129740983,0.001331872387758864,0.0,0.6475613896118593,0.5160122213420845,0.05732927799664958,0.003901580129740983,,,,,,,1.0,0.0,1.8105928787530647,0.024865698049734875,1.0,3.166540899389955,0.0,0.011287543685733481
4,stage1_direct_ge,0.004901760409329108,0.003761091612831021,0.0013102114100637266,0.0,0.6475613896118593,0.5160122213420845,0.05162975996346145,0.003761091612831021,,,,,,,1.0,0.0,1.6609897235261295,0.02086339092283358,1.0,3.226914125973775,0.0,0.010640926803422377
5,stage1_direct_ge,0.004591380702910775,0.0035810588909977246,0.0012853685671213204,0.0,0.6475613896118593,0.5160122213420845,0.04827600838615437,0.0035810588909977246,,,,,,,1.0,0.0,1.974825200099571,0.02454265706137548,1.0,3.5289815095753423,0.0,0.013678357216712681
6,stage1_direct_ge,0.004928519889258423,0.003762692210133927,0.001298432265913921,0.0,0.6475613896118593,0.5160122213420845,0.058316450809291195,0.003762692210133927,,,,,,,1.0,0.0,1.691955826275822,0.022581033961587824,1.0,3.9630153013708385,0.0,0.01695194551742888
7,stage1_direct_ge,0.004561021719020792,0.003557789786459002,0.001277278953093311,0.0,0.6475613896118593,0.5160122213420845,0.05466904787455693,0.003557789786459002,,,,,,,1.0,0.0,2.0098930226387464,0.026162795439804945,1.0,3.1323402211960056,0.0,0.012984058153162427
8,stage1_direct_ge,0.004221400201204167,0.0033908890343214127,0.001280188954376602,0.0,0.6475613896118593,0.5160122213420845,0.04526465549136353,0.0033908890343214127,,,,,,,1.0,0.0,1.7741607136018465,0.02331590323806555,1.0,3.09566714057748,0.0,0.014040203672063014
9,stage1_direct_ge,0.004322645880101289,0.003447169374665706,0.0012858464332054838,0.0,0.6475613896118593,0.5160122213420845,0.0438252822773697,0.003447169374665706,,,,,,,1.0,0.0,2.059433422783177,0.02451835621435673,1.0,3.750533419035123,0.0,0.014596385014327685
10,stage1_direct_ge,0.004928521673006734,0.003821425509951141,0.0013571646947301767,0.0,0.6475613896118593,0.5160122213420845,0.05621959580829595,0.003821425509951141,,,,,,,1.0,0.0,2.3855037058768818,0.028275173587046395,1.0,4.200047648213008,0.0,0.014909646157228095
