epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.0068922031957248655,0.0050436543428403835,0.0015975527012848675,0.0,0.6457798784604997,0.5101958136394328,0.08546788359789088,0.0050436543428403835,,,,,,,1.0,0.0,1.9634666173598334,0.018351541348481007,1.0,5.716284167402217,0.0,0.011845206819781554
2,stage1_direct_ge,0.004832415535082634,0.0038441733413757625,0.0014279655326095866,0.0,0.6457798784604997,0.5101958136394328,0.05716172753255324,0.0038441733413757625,,,,,,,1.0,0.0,2.20498975865981,0.02113560663523043,1.0,6.012262968386136,0.0,0.013042042018166687
3,stage1_direct_ge,0.0046268699071914015,0.0037101704326765153,0.0013967354732580832,0.0,0.6457798784604997,0.5101958136394328,0.05165391924220674,0.0037101704326765153,,,,,,,1.0,0.0,2.812611837948067,0.029075033482021704,1.0,5.653722585198819,0.0,0.0121296775439384
4,stage1_direct_ge,0.0041103986425200766,0.0034287074060103204,0.001373508072896514,0.0,0.6457798784604997,0.5101958136394328,0.0538896093259463,0.0034287074060103204,,,,,,,1.0,0.0,2.5037964944278466,0.024834437176837205,1.0,5.957349691759418,0.0,0.012336708586676536
5,stage1_direct_ge,0.004350791326258646,0.0036180053584722225,0.001442609707882504,0.0,0.6457798784604997,0.5101958136394328,0.05205717845734996,0.0036180053584722225,,,,,,,1.0,0.0,3.0249477162080636,0.0288641279576675,1.0,5.763488427030125,0.0,0.012327977521055272
6,stage1_direct_ge,0.003881354087455592,0.0032800427419469916,0.0013393656978183059,0.0,0.6457798784604997,0.5101958136394328,0.03952120634891309,0.0032800427419469916,,,,,,,1.0,0.0,3.955728750789866,0.030150281947040385,1.0,5.482816441801673,0.0,0.01221844272006892
7,stage1_direct_ge,0.003871462655497072,0.0033023828670135993,0.001366651559537522,0.0,0.6457798784604997,0.5101958136394328,0.04374892323716197,0.0033023828670135993,,,,,,,1.0,0.0,3.2380967622644743,0.0295192991561092,1.0,5.79211042466123,0.0,0.011802873343915445
8,stage1_direct_ge,0.003912130185792186,0.0032887514733447166,0.0013326863770292674,0.0,0.6457798784604997,0.5101958136394328,0.03666574292332638,0.0032887514733447166,,,,,,,1.0,0.0,3.0578204884248605,0.027537730009974365,1.0,6.299266027414696,0.0,0.011906815115812942
9,stage1_direct_ge,0.0038549629032830685,0.0032236222772318857,0.0012961408062218604,0.0,0.6457798784604997,0.5101958136394328,0.044884912975781434,0.0032236222772318857,,,,,,,1.0,0.0,3.4303461501177606,0.028229931177045493,1.0,6.020843863078061,0.0,0.011809737603861484
10,stage1_direct_ge,0.003953934473958392,0.003340945631180117,0.0013639784086644047,0.0,0.6457798784604997,0.5101958136394328,0.04093766071903472,0.003340945631180117,,,,,,,1.0,0.0,3.968702491311465,0.031377484874619055,1.0,6.911318445580637,0.0,0.014205117790537892
11,stage1_direct_ge,0.0038590155074663414,0.003251516251528609,0.001322008510800783,0.0,0.6457798784604997,0.5101958136394328,0.04576333870886146,0.003251516251528609,,,,,,,1.0,0.0,4.084337158203124,0.033458876056848635,1.0,6.3143627820919725,0.0,0.013186879164434201
12,stage1_direct_ge,0.0037261016346334373,0.003239645128294632,0.001376594278780941,0.0,0.6457798784604997,0.5101958136394328,0.04041742978266652,0.003239645128294632,,,,,,,1.0,0.0,3.2373996959013085,0.02937525282983175,1.0,6.825956767833743,0.0,0.012219970001447466
13,stage1_direct_ge,0.003707502789136367,0.003150404866952713,0.0012966535059649655,0.0,0.6457798784604997,0.5101958136394328,0.03746023069938882,0.003150404866952713,,,,,,,1.0,0.0,3.758179384119369,0.038140025410965527,1.0,7.152353125515146,0.0,0.014048984110762133
14,stage1_direct_ge,0.0038488107236796473,0.00327808904957723,0.0013536837182993762,0.0,0.6457798784604997,0.5101958136394328,0.046966145557881527,0.00327808904957723,,,,,,,1.0,0.0,4.054997495763441,0.037464920481393,1.0,7.412919002239521,0.0,0.015020382479485122
15,stage1_direct_ge,0.0039032744469811574,0.003305410473999881,0.001353773238435438,0.0,0.6457798784604997,0.5101958136394328,0.040414430621878106,0.003305410473999881,,,,,,,1.0,0.0,4.149168503705191,0.0323651511008139,1.0,6.677710402751173,0.0,0.012113227495600459
16,stage1_direct_ge,0.003515795796322287,0.003058241926206579,0.0013003440157573697,0.0,0.6457798784604997,0.5101958136394328,0.033476923528875074,0.003058241926206579,,,,,,,1.0,0.0,3.8367197463091665,0.031335017032417305,1.0,7.011584098646376,0.0,0.012690569057040964
17,stage1_direct_ge,0.0035782663177718974,0.00314250425226511,0.0013533711152630408,0.0,0.6457798784604997,0.5101958136394328,0.042270478556922446,0.00314250425226511,,,,,,,1.0,0.0,3.7930690451229303,0.033985245425265063,1.0,7.76871809539795,0.0,0.013061367043976186
18,stage1_direct_ge,0.0037387153261405925,0.003189849391690305,0.0013204917268592369,0.0,0.6457798784604997,0.5101958136394328,0.041783728431419774,0.003189849391690305,,,,,,,1.0,0.0,3.6867843807444833,0.0326481910590192,1.0,7.65410171293601,0.0,0.012327028451976167
19,stage1_direct_ge,0.0033627880166506724,0.0029463837667010537,0.001264989773984882,0.0,0.6457798784604997,0.5101958136394328,0.034456616781204236,0.0029463837667010537,,,,,,,1.0,0.0,4.042766723632812,0.033414225503539334,1.0,6.9979894165691165,0.0,0.012479827075905331
20,stage1_direct_ge,0.003537666444414516,0.0030582021476334913,0.001289368916119296,0.0,0.6457798784604997,0.5101958136394328,0.0370930326711399,0.0030582021476334913,,,,,,,1.0,0.0,3.512539026596966,0.02818676662446164,1.0,7.679141250310392,0.0,0.012615526834725698
1,stage2_joint_vle,0.005544026836546629,0.004276159524528975,0.001504146115851474,0.0,0.6457798784604997,0.5101958136394328,4.812638147033444,0.020053656291591403,0.00785422275304432,0.014163776448123524,0.0,0.0,0.015777496749549036,0.0008413857022950591,1.0,0.0,1.5880462556726789,0.01661592397862936,1.0,7.150533917705831,0.0,0.014678816946706549
2,stage2_joint_vle,0.00450918028724759,0.0036513298349348097,0.0013967396573532703,0.0,0.6457798784604997,0.5101958136394328,2.90909881888009,0.013391728007978559,0.004517312162316163,0.009257627320824887,0.0,0.0,0.009740398062555312,0.0005942723069954374,1.0,0.0,1.2408448432473573,0.013174585466634706,1.0,5.438612363779443,0.0,0.010708158995833597
3,stage2_joint_vle,0.004486817690172182,0.0036664766282601575,0.0014230677358847638,0.0,0.6457798784604997,0.5101958136394328,2.695381994298952,0.013557109782493634,0.004600937455574366,0.009346131406564725,0.0,0.0,0.009890633141452158,0.0006166300428664949,1.0,0.0,2.188314711626838,0.022324386208340086,1.0,4.126627105008639,0.0,0.013627944483885811
4,stage2_joint_vle,0.004394215239138971,0.003648516291483311,0.0014514086850960332,0.0,0.6457798784604997,0.5101958136394328,3.212345840832738,0.01425951524001875,0.004886484155613755,0.01023484480873525,0.0,0.0,0.010610998993403682,0.0006070924463686908,1.0,0.0,1.6487225341796863,0.022197753772523036,1.0,4.677616726749778,0.0,0.01047823665472639
5,stage2_joint_vle,0.004410932018974347,0.003612603547251522,0.001407137542077847,0.0,0.6457798784604997,0.5101958136394328,6.507517462208173,0.01840413350896164,0.007125311628346263,0.013877974410782205,0.0,0.0,0.01479152996975936,0.0007272310083738927,1.0,0.0,1.9537207928825822,0.01844028631393962,1.0,4.1799375930851355,0.0,0.011472884964099966
6,stage2_joint_vle,0.004216018475870087,0.0035608087740222256,0.0014527995335717938,0.0,0.6457798784604997,0.5101958136394328,3.4977353277277254,0.014803107121580762,0.0054286014732001075,0.010332147722370837,0.0,0.0,0.011242298254394836,0.0006476228777114818,1.0,0.0,1.3173921921673928,0.019514201556748767,1.0,4.0782256611229,0.0,0.013256481821164805
7,stage2_joint_vle,0.004325378081741806,0.0035769306290530014,0.0014142415835286298,0.0,0.6457798784604997,0.5101958136394328,3.6365061739825624,0.0156223316470024,0.005829090849137353,0.011141557193041768,0.0,0.0,0.012045400980910302,0.0006455315119139774,1.0,0.0,2.2073211490406712,0.020697549968815468,1.0,6.619102321670402,0.0,0.014067157611044712
8,stage2_joint_vle,0.00423113276896172,0.0034747850706399615,0.0013592186937052668,0.0,0.6457798784604997,0.5101958136394328,3.4651194145436386,0.013768042917668337,0.0048892294188928685,0.009602181708684177,0.0,0.0,0.010293257823886801,0.0006029374969207885,1.0,0.0,1.3479561929141772,0.015817553013617945,1.0,5.12041474511562,0.0,0.011470566538752367
9,stage2_joint_vle,0.004635103722999048,0.003778786644459671,0.001461234784166748,0.0,0.6457798784604997,0.5101958136394328,5.088623451687531,0.01597837533312551,0.005884843111600397,0.011449315540492848,0.0,0.0,0.012199588603850084,0.0005900878800168208,1.0,0.0,1.1965351418887853,0.012999472547366341,1.0,3.8536862510485537,0.0,0.011422629684765432
10,stage2_joint_vle,0.0041024014962476145,0.003434498978691939,0.001383298232077365,0.0,0.6457798784604997,0.5101958136394328,2.906404239434314,0.01253285567571109,0.00410728205327425,0.00897778661775099,0.0,0.0,0.009098356610301134,0.0005021812513192071,1.0,0.0,0.7547987634995399,0.012982622626697759,1.0,5.67725536941137,0.0,0.010880400919510671
11,stage2_joint_vle,0.003996810352254928,0.0033548719345879345,0.0013564667962384608,0.0,0.6457798784604997,0.5101958136394328,3.7716799323257764,0.013228389867289013,0.004462043421530365,0.009773407763299066,0.0,0.0,0.009873518017218131,0.0005247707201144673,1.0,0.0,2.437060968735638,0.02126862029329161,1.0,6.292029235018217,0.0,0.014258698655677656
12,stage2_joint_vle,0.0039189853659245535,0.0033208065836675903,0.0013613139153417302,0.0,0.6457798784604997,0.5101958136394328,3.1515734961192243,0.01253422376574605,0.004433162140570063,0.008494538651869847,0.0,0.0,0.0092134171518938,0.000532985640190426,1.0,0.0,1.1755801212086396,0.012886615582917108,1.0,6.185919342197515,0.0,0.009955510306233366
13,stage2_joint_vle,0.003723032020817207,0.003248877188154345,0.001387361173925495,0.0,0.6457798784604997,0.5101958136394328,2.466847723356217,0.011043814612976367,0.003480224785533942,0.007702762702232193,0.0,0.0,0.007794937504119643,0.00046333138801718407,1.0,0.0,0.9586939463895899,0.013527538655983176,1.0,5.226214407322549,0.0,0.01238368243061993
14,stage2_joint_vle,0.0037154368812389355,0.003218389882352065,0.0013606714265891726,0.0,0.6457798784604997,0.5101958136394328,2.7529231480373717,0.012422670103020962,0.004211789700985558,0.009009441163121728,0.0,0.0,0.009204280156086297,0.0004877697979799641,1.0,0.0,1.411813049316404,0.013400191488960652,1.0,5.386163724041798,0.0,0.01250186731403964
15,stage2_joint_vle,0.0037596676371467177,0.0032262539003386458,0.0013464200873738175,0.0,0.6457798784604997,0.5101958136394328,3.3393695181080973,0.012338016449444243,0.004167756723437476,0.008751430630980715,0.0,0.0,0.00911176255756359,0.0005682905441905314,1.0,0.0,1.250045255773206,0.015141930843659623,1.0,4.331160924966928,0.0,0.013192542968130805
16,stage2_joint_vle,0.003754976262249792,0.0032365189646078297,0.0013590308236493367,0.0,0.6457798784604997,0.5101958136394328,3.2699111969385655,0.012604543724292884,0.004196113265565345,0.009300060928557105,0.0,0.0,0.009368024733116263,0.0005218810221377778,1.0,0.0,0.9391955207375919,0.01400237682524192,1.0,5.391711645442605,0.0,0.010194552612610352
17,stage2_joint_vle,0.0037932057996393053,0.0032716972627636147,0.0013750943586678017,0.0,0.6457798784604997,0.5101958136394328,2.6523415223719864,0.011711813638503692,0.003902678134782613,0.00806668231324755,0.0,0.0,0.00844011628436859,0.0005040971068071124,1.0,0.0,1.3940727323644286,0.012879360122660947,1.0,4.541969310088851,0.0,0.012968227459164736
18,stage2_joint_vle,0.0038049882094537404,0.0032985989223055135,0.0013961048283948137,0.0,0.6457798784604997,0.5101958136394328,3.900676786633942,0.013634015743763443,0.005057884538061992,0.0094213351910427,0.0,0.0,0.010335416896212129,0.0005668648281782377,1.0,0.0,1.359106185015509,0.01855218615144053,1.0,5.286286887274847,0.0,0.012974058164978543
19,stage2_joint_vle,0.0036886411077285703,0.0031851364638603554,0.0013408159329607809,0.0,0.6457798784604997,0.5101958136394328,2.339598970297299,0.011169297517523179,0.003696156977465191,0.0076293357545453334,0.0,0.0,0.007984161088689608,0.00047333619301773324,1.0,0.0,0.9995269595875463,0.013212731968184163,1.0,5.138304052747416,0.0,0.009986544739712886
20,stage2_joint_vle,0.0036766312165270073,0.003198995044332936,0.0013606794408015067,0.0,0.6457798784604997,0.5101958136394328,3.013321451719028,0.011095310857923228,0.0035577478176542507,0.00781985044494777,0.0,0.0,0.007896315786424097,0.00042864270438330095,1.0,0.0,1.17758929084329,0.014290882974315215,1.0,4.870056839797844,0.0,0.011229627258329785
21,stage2_joint_vle,0.0035502622617128166,0.0031043914386312114,0.0013292603093213737,0.0,0.6457798784604997,0.5101958136394328,2.9705775996626107,0.011495439772123747,0.003768722473528641,0.008218438373243462,0.0,0.0,0.00839104828217861,0.0005131066214308334,1.0,0.0,1.121266946231616,0.013379293370772809,1.0,4.405111160813029,0.0,0.010990240994087044
1,stage3_fugacity,0.004097007273395774,0.0033994983249091763,0.0013509946653448362,0.5,0.6457798784604997,0.5101958136394328,1.7927339852459925,0.011725401091606311,0.004066717895100008,0.007527910221195456,0.002050973206375217,0.0,0.010366621083950348,0.0004849748732962323,1.0,0.0,1.3452420133702883,0.01358485940766028,1.0,4.3806480577517775,0.0,0.010984296507157513
2,stage3_fugacity,0.0037753695488770937,0.0032592833469131965,0.0013715985614069404,1.0,0.6457798784604997,0.5101958136394328,1.4800139541041601,0.010078386191950305,0.0031787783317965917,0.006389486565692306,0.0017002339029868914,0.0,0.008502334457049291,0.0004285789226255066,1.0,0.0,1.0898524923885555,0.013394444054978737,1.0,4.355629460352711,0.0,0.010784034299415051
3,stage3_fugacity,0.003564942456776519,0.0031199236227413872,0.0013374523909573533,1.0,0.6457798784604997,0.5101958136394328,1.411912394785382,0.009438555351358503,0.0028495132459194264,0.006068204387841314,0.0016037955353034007,0.0,0.007906389206831496,0.00041897823889617186,1.0,0.0,1.0745458804859818,0.01366952422446407,1.0,4.367528004859859,0.0,0.010670695379754512
4,stage3_fugacity,0.00352931786300256,0.003136915270415821,0.001372256350359558,1.0,0.6457798784604997,0.5101958136394328,1.4685492755874117,0.009193313104533802,0.0026878092743838075,0.0058846012451626226,0.0015339065067470703,0.0,0.007574965238098274,0.00041094883944437405,1.0,0.0,0.8810827008415659,0.013279663709090915,1.0,4.401574610353127,0.0,0.010512866741204715
5,stage3_fugacity,0.0034017014894810564,0.0030069176546894745,0.0013060669110572893,1.0,0.6457798784604997,0.5101958136394328,1.2411805120333879,0.009199593702625486,0.002575255386769686,0.006384590748652871,0.0014947042059546977,0.0,0.00767243318272293,0.0004101782204749303,1.0,0.0,0.898066424201515,0.013749582221753459,1.0,4.354611638869588,0.0,0.010554346581437809
6,stage3_fugacity,0.0034661661691405255,0.0030760420601095586,0.001342958964345817,1.0,0.6457798784604997,0.5101958136394328,1.1442818711851996,0.008805588075789263,0.002496566360119597,0.00562176428628981,0.0014630422168892382,0.0,0.00717795772533323,0.00040746705898129024,1.0,0.0,0.9380235559800073,0.014145387533285163,1.0,4.334626969648834,0.0,0.010553143095127985
7,stage3_fugacity,0.0034290915100874883,0.0030422188984299335,0.0013276731236639718,1.0,0.6457798784604997,0.5101958136394328,1.122887162144807,0.009053884781356259,0.002453634678684854,0.006277205993828239,0.0014351888441535407,0.0,0.007432502838937034,0.0004050763865576266,1.0,0.0,0.9312024105296401,0.01410027362406254,1.0,4.201676067280566,0.0,0.010535762715173298
8,stage3_fugacity,0.0034734304259458255,0.0030752663074170065,0.00133855111054258,1.0,0.6457798784604997,0.5101958136394328,1.1740194311019618,0.009066999469966119,0.002412423232958918,0.006323980464575501,0.0014149070003652878,0.0,0.007392491111978335,0.00040317060649354116,1.0,0.0,0.8475128443100852,0.014094792309699252,1.0,4.161376908939721,0.0,0.010421723861036361
9,stage3_fugacity,0.003476232449264076,0.003067877820936949,0.0013297615673268498,1.0,0.6457798784604997,0.5101958136394328,0.9956439898233008,0.008814215982882439,0.002374357617743801,0.005910191959736065,0.001410880776868654,0.0,0.0071431101114941276,0.0004027757663218459,1.0,0.0,0.8018935080135551,0.013751104675934597,1.0,4.25836997342884,0.0,0.010263593746432795
10,stage3_fugacity,0.003434811261275646,0.0030525121485857213,0.0013351064775759137,1.0,0.6457798784604997,0.5101958136394328,1.2126992297164496,0.008964443388681137,0.002344963157803869,0.006298553269016676,0.0013877994271157502,0.0,0.007285852667703913,0.00040381345884943007,1.0,0.0,0.8540116792566612,0.013943141863725205,1.0,4.269398067109198,0.0,0.010333718939340061
