epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.006705818591021475,0.004896301355329413,0.0015433920532563607,0.0,0.6396726517649933,0.4981067546109686,0.09016781062100693,0.004896301355329413,,,,,,,1.0,0.0,2.305697515030117,0.03521980116676505,1.0,5.349920780018623,0.0,0.01870918783091254
2,stage1_direct_ge,0.005027879871934456,0.0038992867941457492,0.0013853468565006163,0.0,0.6396726517649933,0.4981067546109686,0.05763334266844142,0.0038992867941457492,,,,,,,1.0,0.0,2.126971626384562,0.03516846090720691,1.0,4.32248161712772,0.0,0.014927138649428516
3,stage1_direct_ge,0.004814225578714989,0.0038754949102746314,0.001468382128880076,0.0,0.6396726517649933,0.4981067546109686,0.05166126459452919,0.0038754949102746314,,,,,,,1.0,0.0,2.5180870430424562,0.03274840043144889,1.0,4.09521404184726,0.0,0.01647888545714656
4,stage1_direct_ge,0.004690356879934525,0.003754720664127553,0.0014095422127846633,0.0,0.6396726517649933,0.4981067546109686,0.05255667109479685,0.003754720664127553,,,,,,,1.0,0.0,2.4376911667158057,0.036501571829629535,1.0,3.5432773257063257,0.0,0.014695421584131419
5,stage1_direct_ge,0.004539468266691909,0.0036214120587000956,0.0013516779205763783,0.0,0.6396726517649933,0.4981067546109686,0.047230504941424126,0.0036214120587000956,,,,,,,1.0,0.0,2.6533215068806895,0.03600024347951672,1.0,4.12634214239552,0.0,0.018428918175086566
6,stage1_direct_ge,0.00446098255494313,0.0035871016552273187,0.0013566103929990938,0.0,0.6396726517649933,0.4981067546109686,0.052650664873076285,0.0035871016552273187,,,,,,,1.0,0.0,2.5054435429740174,0.03457901106450522,1.0,3.8560824475009743,0.0,0.015401329484066846
7,stage1_direct_ge,0.004412534733542803,0.0035570402591792644,0.0013507729210744425,0.0,0.6396726517649933,0.4981067546109686,0.04977884731756341,0.0035570402591792644,,,,,,,1.0,0.0,2.5209396683109477,0.03894999794162695,1.0,3.688978841560269,0.0,0.01776238169375761
8,stage1_direct_ge,0.004612506591252272,0.003662293476268833,0.0013560402025194495,0.0,0.6396726517649933,0.4981067546109686,0.05478045796101618,0.003662293476268833,,,,,,,1.0,0.0,2.927618592460204,0.03693786480767056,1.0,4.212557960409786,0.0,0.014911912141731124
9,stage1_direct_ge,0.0043804448814495,0.0034999991943430657,0.0013097767728946711,0.0,0.6396726517649933,0.4981067546109686,0.04569886130655847,0.0034999991943430657,,,,,,,1.0,0.0,2.8087840678171356,0.033990389485037124,1.0,3.5736486703817727,0.0,0.015951832670529867
10,stage1_direct_ge,0.00435319128089655,0.0035185001710069407,0.001341904550579769,0.0,0.6396726517649933,0.4981067546109686,0.04895429790458633,0.0035185001710069407,,,,,,,1.0,0.0,2.5133971674423026,0.03360575849628925,1.0,4.491671281112859,0.0,0.01734853787627914
11,stage1_direct_ge,0.00424271565131116,0.0034851690329869758,0.0013638112087746785,0.0,0.6396726517649933,0.4981067546109686,0.051961586968655896,0.0034851690329869758,,,,,,,1.0,0.0,2.689182247357229,0.03533336571935194,1.0,4.3631273687606,0.0,0.01614652604044342
12,stage1_direct_ge,0.004500913423179708,0.003687812455139096,0.0014373557474525037,0.0,0.6396726517649933,0.4981067546109686,0.049249987628370524,0.003687812455139096,,,,,,,1.0,0.0,2.914771248131112,0.03646229841249622,1.0,4.068935775351819,0.0,0.017548725055483147
13,stage1_direct_ge,0.004327772397333416,0.003475780770164636,0.0013118945605773262,0.0,0.6396726517649933,0.4981067546109686,0.048224506133679755,0.003475780770164636,,,,,,,1.0,0.0,2.7008796432783067,0.03851919644081088,1.0,4.558937308743952,0.0,0.017978463573631188
14,stage1_direct_ge,0.004139819063125214,0.0034223678728848373,0.0013524583442798934,0.0,0.6396726517649933,0.4981067546109686,0.04617520647071811,0.0034223678728848373,,,,,,,1.0,0.0,3.0665258295516797,0.03641710685341768,1.0,4.154651683948658,0.0,0.01805889067396277
15,stage1_direct_ge,0.00398860160573426,0.0032968932462254857,0.0013025924454415172,0.0,0.6396726517649933,0.4981067546109686,0.04880218054583706,0.0032968932462254857,,,,,,,1.0,0.0,2.3767692923738677,0.035952451687303114,1.0,3.9503466478700986,0.0,0.017247547723267056
16,stage1_direct_ge,0.003967433770880998,0.003292424177824432,0.0013087072805710548,0.0,0.6396726517649933,0.4981067546109686,0.04232312434893163,0.003292424177824432,,,,,,,1.0,0.0,3.1790031626410933,0.04113532618274607,1.0,4.166196588065692,0.0,0.016902321779862842
17,stage1_direct_ge,0.0038108839857340484,0.0031830635150098003,0.0012776214924879387,0.0,0.6396726517649933,0.4981067546109686,0.03732961110604163,0.0031830635150098003,,,,,,,1.0,0.0,3.070219894368055,0.04002717224856423,1.0,4.098267788799899,0.0,0.017378615406036014
18,stage1_direct_ge,0.0037055430456966842,0.0031751599748093004,0.0013223884383102061,0.0,0.6396726517649933,0.4981067546109686,0.037070070598258544,0.0031751599748093004,,,,,,,1.0,0.0,2.6717002551960514,0.03984703861985783,1.0,4.813263800268605,0.0,0.01769318152892982
19,stage1_direct_ge,0.0038315782703880617,0.0032001937695413634,0.0012844046282755918,0.0,0.6396726517649933,0.4981067546109686,0.03875407994182989,0.0032001937695413634,,,,,,,1.0,0.0,3.1186513698197498,0.04158479238646277,1.0,4.263391045589997,0.0,0.01675468326295293
20,stage1_direct_ge,0.0037636833849249386,0.0031418549176322596,0.0012600132363179046,0.0,0.6396726517649933,0.4981067546109686,0.03911202818704049,0.0031418549176322596,,,,,,,1.0,0.0,2.7973274794421776,0.039252289001746536,1.0,4.693307779929077,0.0,0.018270724759563622
1,stage2_joint_vle,0.005300244499208148,0.0040703931850333075,0.0014202709403900733,0.0,0.6396726517649933,0.4981067546109686,5.61309345638969,0.0226970682662566,0.008757181995161196,0.017839494235363143,0.0,0.0,0.0186266750627379,0.0009497459820668275,1.0,0.0,1.5983863390488136,0.028836529899144512,1.0,7.739649544983538,0.0,0.01506280672115584
2,stage2_joint_vle,0.005158376475017783,0.0039741919168692135,0.0013950036984002776,0.0,0.6396726517649933,0.4981067546109686,4.247100503275475,0.018232585921887222,0.006800758846172854,0.01340196023945321,0.0,0.0,0.014258393990741598,0.0007566551020186582,1.0,0.0,2.056886677292162,0.03432344477317566,1.0,4.065563730423539,0.0,0.01666352637385635
3,stage2_joint_vle,0.005223345777023954,0.004060238088442792,0.001448565197812105,0.0,0.6396726517649933,0.4981067546109686,2.799319301112254,0.015693901839646845,0.005088685639378917,0.011730521980079721,0.0,0.0,0.011633663736643249,0.0006797171875683909,1.0,0.0,1.5019476367713944,0.026333719022229096,1.0,4.335776381830914,0.0,0.012123680302184919
4,stage2_joint_vle,0.0044761084347642085,0.003641291263604158,0.0014032370397095077,0.0,0.6396726517649933,0.4981067546109686,3.4184815386821894,0.014739074940058692,0.004953880208842816,0.011054155803444229,0.0,0.0,0.011097783695224317,0.0006168255781326217,1.0,0.0,1.9440351378242964,0.03057669202732496,1.0,6.1564440839916585,0.0,0.012317882526603069
5,stage2_joint_vle,0.005318007918004881,0.004081021617193431,0.0014220176822539962,0.0,0.6396726517649933,0.4981067546109686,4.310832764474234,0.016503099988928946,0.005938689868680608,0.01145706074970978,0.0,0.0,0.012422078419342515,0.0007548581844738227,1.0,0.0,1.4524274323250115,0.023000990364924936,1.0,3.341311834041767,0.0,0.015480910256215267
6,stage2_joint_vle,0.004740423260681414,0.00375059994099828,0.0013803883310199454,0.0,0.6396726517649933,0.4981067546109686,3.5062302763469058,0.014997381942431554,0.005099625291371737,0.011048654217891946,0.0,0.0,0.011246782017814178,0.0006228296503720297,1.0,0.0,1.4633104810689075,0.02397193950261023,1.0,2.465992240271547,0.0,0.01072717737583865
7,stage2_joint_vle,0.004485686232878597,0.0035952226139597766,0.0013523794878085367,0.0,0.6396726517649933,0.4981067546109686,3.5330413405939205,0.013968422034027537,0.004277601485694956,0.011049284112048306,0.0,0.0,0.010373199350619557,0.0005709558762263856,1.0,0.0,1.429221721145344,0.02116318691260958,1.0,4.110817892823396,0.0,0.01281354161133001
