epoch,stage,train_activity_coefficient,train_direct_thermodynamic_total,train_excess_gibbs,train_fugacity_warmup_scale,train_gamma_component_coverage,train_ge_state_coverage,train_gradient_norm,train_total,train_vle_pressure,train_vle_pure_vapor_pressure,train_vle_teacher_forced_fugacity,train_vle_temperature,train_vle_total,train_vle_vapor_composition,validation_isobaric_coverage,validation_isobaric_solver_failure_rate,validation_isobaric_temperature_mae_k,validation_isobaric_y_mae,validation_isothermal_coverage,validation_isothermal_pressure_mae_kpa,validation_isothermal_solver_failure_rate,validation_isothermal_y_mae
1,stage1_direct_ge,0.006530489689281129,0.004896188163992928,0.0016309433369103082,0.0,0.6355324932048431,0.4955522609340252,0.07729115604264429,0.004896188163992928,,,,,,,1.0,0.0,1.333111975718355,0.015602643650589445,1.0,2.6848838503620684,0.0,0.016359454274150656
2,stage1_direct_ge,0.005970965252099786,0.004521843454424749,0.001536360829784382,0.0,0.6355324932048431,0.4955522609340252,0.06617407684661089,0.004521843454424749,,,,,,,1.0,0.0,1.390622765492586,0.015470868032427747,1.0,2.3946947246289856,0.0,0.013637038255033727
3,stage1_direct_ge,0.00574566557677106,0.004369676597430209,0.0014968437991492323,0.0,0.6355324932048431,0.4955522609340252,0.06387700912597181,0.004369676597430209,,,,,,,1.0,0.0,1.8960932327529147,0.018709978356865352,1.0,2.735668126047733,0.0,0.014526258076728735
4,stage1_direct_ge,0.005218312598549497,0.004118286729759203,0.0015091304421274248,0.0,0.6355324932048431,0.4955522609340252,0.05291825262284261,0.004118286729759203,,,,,,,1.0,0.0,1.6527029849984576,0.017491941031896757,1.0,2.6603383106273006,0.0,0.016064438629725997
5,stage1_direct_ge,0.005196151206482037,0.004102474501566358,0.0015043988981491487,0.0,0.6355324932048431,0.4955522609340252,0.0573644600458828,0.004102474501566358,,,,,,,1.0,0.0,1.9945991990256475,0.019962536012496413,1.0,2.838575646969903,0.0,0.0168115926546512
6,stage1_direct_ge,0.004931505497308894,0.003868407727002155,0.0014026549873514134,0.0,0.6355324932048431,0.4955522609340252,0.056968258546072965,0.003868407727002155,,,,,,,1.0,0.0,1.9274566098660413,0.020026544087339653,1.0,2.6764868674984053,0.0,0.018549250855534896
7,stage1_direct_ge,0.004734063086663503,0.003801762010402331,0.001434730486573814,0.0,0.6355324932048431,0.4955522609340252,0.04940426910044324,0.003801762010402331,,,,,,,1.0,0.0,1.7510128525556177,0.019162210908826006,1.0,2.1667660736414507,0.0,0.01606967719465575
8,stage1_direct_ge,0.004685188091445409,0.003748441191308692,0.0014058471292757605,0.0,0.6355324932048431,0.4955522609340252,0.046014885752030825,0.003748441191308692,,,,,,,1.0,0.0,2.2796968449307053,0.02260120810795954,1.0,2.7494911234225605,0.0,0.018293145633642205
9,stage1_direct_ge,0.004606348822407207,0.003802857053910746,0.001499682635573216,0.0,0.6355324932048431,0.4955522609340252,0.04983960774531328,0.003802857053910746,,,,,,,1.0,0.0,2.2831723763848446,0.022986100359882182,1.0,2.244289272090761,0.0,0.016395174128895736
10,stage1_direct_ge,0.004649689412888205,0.0037157092075900794,0.0013908644976653112,0.0,0.6355324932048431,0.4955522609340252,0.04555083045053399,0.0037157092075900794,,,,,,,1.0,0.0,2.0490468170683287,0.020188812893091324,1.0,2.6652899909449834,0.0,0.018080811955057598
11,stage1_direct_ge,0.004972007724693289,0.003956697602509626,0.0014706937319467401,0.0,0.6355324932048431,0.4955522609340252,0.05000013219248315,0.003956697602509626,,,,,,,1.0,0.0,2.0980620958576113,0.02092243089372039,1.0,1.9714243017754405,0.0,0.014759723334856305
12,stage1_direct_ge,0.004305111759689514,0.0035505999690407302,0.001398044097980339,0.0,0.6355324932048431,0.4955522609340252,0.045057340445697,0.0035505999690407302,,,,,,,1.0,0.0,2.1561227675615746,0.02290122705556552,1.0,2.3636351407543423,0.0,0.01630561511372132
13,stage1_direct_ge,0.004298197235606016,0.00354733728734196,0.001398238658032619,0.0,0.6355324932048431,0.4955522609340252,0.04951399040974774,0.00354733728734196,,,,,,,1.0,0.0,2.2345446294579827,0.02458612213608766,1.0,2.5689371973857127,0.0,0.018888681047454156
14,stage1_direct_ge,0.00447107367301537,0.0036497530456361285,0.0014142162274711563,0.0,0.6355324932048431,0.4955522609340252,0.04578575031651901,0.0036497530456361285,,,,,,,1.0,0.0,2.5975268865035783,0.02462806691818931,1.0,2.5347841468508068,0.0,0.018609847743349277
15,stage1_direct_ge,0.004268268046406778,0.0035096628659075503,0.0013755288245241553,0.0,0.6355324932048431,0.4955522609340252,0.03960763384876412,0.0035096628659075503,,,,,,,1.0,0.0,2.2041021280234836,0.025632611168953087,1.0,2.432401432673596,0.0,0.01789993340835809
16,stage1_direct_ge,0.004459788022529033,0.003613674515535655,0.0013837805051916453,0.0,0.6355324932048431,0.4955522609340252,0.04534442250945699,0.003613674515535655,,,,,,,1.0,0.0,2.339860329493293,0.024455649417986048,1.0,2.1503927152117246,0.0,0.01708770434968039
17,stage1_direct_ge,0.004248667606397679,0.003524614147593854,0.0014002803534382728,0.0,0.6355324932048431,0.4955522609340252,0.049866882295764046,0.003524614147593854,,,,,,,1.0,0.0,2.559253805559237,0.027293001182819052,1.0,2.857032327749756,0.0,0.018738121809565637
18,stage1_direct_ge,0.0045896807474583344,0.003717728818218841,0.001422888441239135,0.0,0.6355324932048431,0.4955522609340252,0.04573347063264288,0.003717728818218841,,,,,,,1.0,0.0,2.581059387551864,0.029045919647661303,1.0,2.1432140367308254,0.0,0.016237793006563715
