ternary_system_id,component_1,component_2,component_3,component_id_1,component_id_2,component_id_3,points,binary_subsystem_12,binary_subsystem_13,binary_subsystem_23,covered_binary_subsystems,coverage_class
3c_5af2e9ac27e2698a2927,C1CCCCC1,CC(C)=O,CC(C)OC(C)C,mol_893981623557f359,mol_e04cf77cea7bbe66,mol_1a0ca8e5eeb68da8,43,0,0,0,0,0/3
3c_4e70b80f964e5f3efc39,C1CCOC1,CC#N,Cc1ccccc1,mol_c59bfa659357f795,mol_7028b7cbd3d829b4,mol_1c09299644053521,17,0,0,0,0,0/3
3c_c1f86c0bca7d787912fb,C1CCOCC1,CC(C)CC(C)(C)C,CC(C)O,mol_626f3d1f5bbb6f55,mol_57615b5c3546c298,mol_db030b5de88f8eaf,51,1,1,1,3,3/3
3c_e0e1cd9a389a64136bfe,C1CCOCC1,CCCCCC,CCO,mol_626f3d1f5bbb6f55,mol_c55e04e90e298cf6,mol_f29e20f49d416e54,37,1,0,1,2,2/3
3c_a6f39dd395c2cfcf800d,CC(=O)C(C)(C)C,CC(C)(C)CO,COC(C)(C)C,mol_61a887e37d396488,mol_dfb42f12fdc989ed,mol_b614d6fea320c179,52,1,1,1,3,3/3
3c_65250b1389afa8bc1bcc,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,mol_b650f1cc3cac74aa,mol_7347d05012022dd9,mol_1a0ca8e5eeb68da8,84,1,1,1,3,3/3
3c_9d99da16f52b34af2793,CC(=O)C(C)C,CC(C)CC(C)(C)C,CC(C)O,mol_b650f1cc3cac74aa,mol_57615b5c3546c298,mol_db030b5de88f8eaf,66,1,1,1,3,3/3
3c_485aadc678c8a7fb274c,CC(=O)CC(C)C,CC(C)CC(C)(C)C,CC(C)CO,mol_0a895444a9f0f36b,mol_57615b5c3546c298,mol_015d21fca05fcd26,85,1,1,1,3,3/3
3c_93c3339e467773a7c208,CC(=O)CC(C)C,CC(C)O,CC(C)OC(C)C,mol_0a895444a9f0f36b,mol_db030b5de88f8eaf,mol_1a0ca8e5eeb68da8,90,1,1,1,3,3/3
3c_50c0ded265c297b30405,CC(=O)N(C)C,CCC(C)O,CCC(C)OC(C)=O,mol_b8ccf255e2b62919,mol_06affb0d2c6c8ff2,mol_879306ab1082c162,14,1,1,0,2,2/3
3c_c45f0751ac63a91a45e8,CC(=O)OCC(C)C,CC(C)CO,CCCCCCO,mol_e7eb29ad965cc8ee,mol_015d21fca05fcd26,mol_eb71ecc709e3f0dc,42,0,1,1,2,2/3
3c_2cb16216a8c609b7ad27,CC(=O)OCC(C)C,CC(C)CO,CCCCOC(=O)CC,mol_e7eb29ad965cc8ee,mol_015d21fca05fcd26,mol_a9c167bbb331e76a,42,0,1,1,2,2/3
3c_f0c258463b44c2183ab7,CC(=O)OCC(C)C,CC(C)CO,CN(C)C=O,mol_e7eb29ad965cc8ee,mol_015d21fca05fcd26,mol_ca12d6d2f2ffb170,42,0,1,1,2,2/3
3c_f6a2de3ac0acbac84e4f,CC(C)=O,CC(C)CC(C)(C)C,CCO,mol_e04cf77cea7bbe66,mol_57615b5c3546c298,mol_f29e20f49d416e54,54,1,1,1,3,3/3
