system_id,direction,binary_subsystem_coverage,primary_unit,full_y_mae,pairwise_y_mae,full_primary_mae,pairwise_primary_mae,seeds,delta_y_mae_pairwise_minus_full,delta_primary_mae_pairwise_minus_full
3c_5af2e9ac27e2698a2927,isobaric,0,K,0.12404337030835162,0.1277537804834025,7.018222400754004,6.483876260446953,5,0.003710410175050874,-0.5343461403070506
3c_2254869a6d8c8579192d,isobaric,1,K,0.018174534347511467,0.044243357772770386,4.454728480747757,5.182725597563236,1,0.02606882342525892,0.7279971168154784
3c_26480c03c31f56c69ee8,isothermal,1,kPa,0.04803012807047556,0.14032753433021053,4.509480897830732,7.52872523643838,2,0.09229740625973497,3.0192443386076473
3c_2cb16216a8c609b7ad27,isobaric,1,K,0.0203237480158134,0.04260601149913337,1.490717337472094,2.2243126569475424,1,0.022282263483319974,0.7335953194754485
3c_f0c258463b44c2183ab7,isobaric,1,K,0.031215791536702047,0.029098166660479607,3.6397602480933706,2.2672040085565444,1,-0.0021176248762224403,-1.3725562395368263
3c_1a08c4f653f7d812cdc9,isobaric,2,K,0.06836980681320032,0.14647108130432943,5.426148851182713,23.78800950792101,1,0.07810127449112911,18.361860656738298
3c_9d99da16f52b34af2793,isothermal,2,kPa,0.031077519138345524,0.0883131534349136,5.846837150820851,16.627565531724503,1,0.05723563429656807,10.780728380903653
3c_bd75ed1e70032dcf0b2e,isobaric,2,K,0.047150398328206417,0.034867044900890945,3.5368714096966984,2.805426204905792,2,-0.012283353427315472,-0.7314452047909064
3c_f1332761d3af136f02b5,isobaric,2,K,0.03425125986677077,0.03452877819706445,4.06669433593749,1.2149447292751807,1,0.00027751833029367873,-2.8517496066623096
3c_1a08c4f653f7d812cdc9,isobaric,3,K,0.050556015949447954,0.12685855528930273,3.62293511284721,2.3173991224500776,1,0.07630253933985479,-1.3055359903971322
3c_65250b1389afa8bc1bcc,isothermal,3,kPa,0.031623229726297525,0.03556552761010235,3.0170976290776372,9.762022953066113,1,0.003942297883804825,6.744925323988475
3c_9d99da16f52b34af2793,isothermal,3,kPa,0.029605658386489663,0.09315830411306687,3.2556895327633244,9.49912149540036,1,0.0635526457265772,6.243431962637035
3c_c07bedcaeb0f8ef073f8,isothermal,3,kPa,0.0296098375474491,0.026247224733586587,6.2047002988563165,3.860523665343786,2,-0.003362612813862513,-2.3441766335125305
