attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,10.260119288382155,0.6780431899590447,11.94898148817769,7.694282390185215,9.82043341346107,all,0,0.0,,4,61,5.762644903464407,0.9665448661520949,6.159629998913164,5.754389904722071,6.134359514337194,1.0,166,0.05063384804416385,498,0.05662455513214311,0.8684155989889804,0.0886000410358268,0.05662455513214311,0.05680261844881311,0.08879947336611195
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,5.762644903464407,0.9665448661520949,6.159629998913164,5.754389904722071,6.134359514337194,1.0,61,0.08382857504727977,183,0.09858456549909922,0.6234973778211144,0.13595961792101352,0.0985845654990992,0.08382857504727978,0.11942209389989321
105,,isothermal,0.0,105,10.260119288382155,0.6780431899590447,11.94898148817769,7.694282390185215,9.82043341346107,direction,0,0.0,,2,0,,,,,,1.0,105,0.029776661850346456,315,0.03224778720467336,0.9745942259978136,0.04088409715960999,0.03224778720467336,0.029776661850346456,0.03884657550882368
166,3,,0.0,105,10.260119288382155,0.6780431899590447,11.94898148817769,7.694282390185215,9.82043341346107,cardinality,0,0.0,,4,61,5.762644903464407,0.9665448661520949,6.159629998913164,5.754389904722071,6.134359514337194,1.0,166,0.05063384804416385,498,0.05662455513214311,0.8684155989889804,0.0886000410358268,0.05662455513214311,0.05680261844881311,0.08879947336611195
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,5.762644903464407,0.9665448661520949,6.159629998913164,5.754389904722071,6.134359514337194,1.0,61,0.08382857504727977,183,0.09858456549909922,0.6234973778211144,0.13595961792101352,0.0985845654990992,0.08382857504727978,0.11942209389989321
105,3,isothermal,0.0,105,10.260119288382155,0.6780431899590447,11.94898148817769,7.694282390185215,9.82043341346107,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.029776661850346456,315,0.03224778720467336,0.9745942259978136,0.04088409715960999,0.03224778720467336,0.029776661850346456,0.03884657550882368
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,5.77453210165337,-0.7122936998205709,6.195838428148874,5.77453210165337,6.195838428148874,1.0,43,0.11983319174971922,129,0.11983319174971921,0.409248425546073,0.15673763627249837,0.11983319174971921,0.11983319174971921,0.15673763627249837
21,,,0.0,21,3.417887559856979,0.9329996136478226,4.383168808130909,3.417887559856979,4.383168808130909,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.025658119593134947,63,0.025658119593134944,0.9895503015649433,0.0351895080353968,0.025658119593134947,0.025658119593134944,0.0351895080353968
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,5.734247707790773,0.7711279642531178,6.072258185761884,5.734247707790773,6.072258185761884,1.0,18,0.047823958344840344,54,0.04782395834484034,0.9409817129861675,0.06290140219883675,0.04782395834484034,0.04782395834484034,0.06290140219883675
84,,,0.0,84,11.970677220513451,0.5135739717544093,13.178378354557646,11.970677220513451,13.178378354557646,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.03389520410755797,252,0.03389520410755797,0.9661731426764402,0.04218781081962209,0.03389520410755796,0.03389520410755797,0.04218781081962209
166,,,0.0,66,2.245817740018938,0.9427097803902815,2.554491562010037,2.245817740018938,2.554491562010037,all,1,0.0,,4,100,6.372181054687513,0.9110656521309309,7.177096701132102,6.05310807282655,6.804699689265355,1.0,166,0.05959887739116485,498,0.06210229284978775,0.8280246937312506,0.09704884957437085,0.062102292849787744,0.05959887739116486,0.09496603539903979
100,,isobaric,0.0,0,,,,,,direction,1,0.0,,3,100,6.372181054687513,0.9110656521309309,7.177096701132102,6.05310807282655,6.804699689265355,1.0,100,0.0676939868409253,300,0.07978286376300454,0.7998021171172428,0.1193092849672386,0.07978286376300453,0.06769398684092531,0.10638456161939781
66,,isothermal,0.0,66,2.245817740018938,0.9427097803902815,2.554491562010037,2.245817740018938,2.554491562010037,direction,1,0.0,,1,0,,,,,,1.0,66,0.03531354904188352,198,0.03531354904188351,0.9293271084703804,0.046056125160421006,0.03531354904188351,0.03531354904188351,0.046056125160421006
166,3,,0.0,66,2.245817740018938,0.9427097803902815,2.554491562010037,2.245817740018938,2.554491562010037,cardinality,1,0.0,,4,100,6.372181054687513,0.9110656521309309,7.177096701132102,6.05310807282655,6.804699689265355,1.0,166,0.05959887739116485,498,0.06210229284978775,0.8280246937312506,0.09704884957437085,0.062102292849787744,0.05959887739116486,0.09496603539903979
100,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,100,6.372181054687513,0.9110656521309309,7.177096701132102,6.05310807282655,6.804699689265355,1.0,100,0.0676939868409253,300,0.07978286376300454,0.7998021171172428,0.1193092849672386,0.07978286376300453,0.06769398684092531,0.10638456161939781
66,3,isothermal,0.0,66,2.245817740018938,0.9427097803902815,2.554491562010037,2.245817740018938,2.554491562010037,direction_cardinality,1,0.0,,1,0,,,,,,1.0,66,0.03531354904188352,198,0.03531354904188351,0.9293271084703804,0.046056125160421006,0.03531354904188351,0.03531354904188351,0.046056125160421006
43,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,0/3,1,43,9.039542491824154,-2.9242430890127906,9.379699081426887,9.039542491824154,9.379699081426887,1.0,43,0.13116786684881346,129,0.13116786684881349,0.29030058538138004,0.17179403196534324,0.13116786684881346,0.13116786684881349,0.17179403196534324
21,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,1/3,1,21,5.31962425595236,-0.4515932888613654,5.571384431564686,5.31962425595236,5.571384431564686,1.0,21,0.016722618030744884,63,0.01672261803074489,0.9965195923878872,0.019027476090726827,0.016722618030744887,0.01672261803074489,0.019027476090726827
66,,,0.0,66,2.245817740018938,0.9427097803902815,2.554491562010037,2.245817740018938,2.554491562010037,binary_subsystem_coverage,1,0.0,2/3,1,0,,,,,,1.0,66,0.03531354904188352,198,0.03531354904188351,0.9293271084703804,0.046056125160421006,0.03531354904188351,0.03531354904188351,0.046056125160421006
36,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,3/3,1,36,3.800157470703138,0.19090521344006584,4.46012715523474,3.800157470703138,4.46012715523474,1.0,36,0.05519147564321756,108,0.05519147564321756,0.9532131649911887,0.06385758050194038,0.05519147564321757,0.05519147564321756,0.06385758050194038
166,,,0.0,87,6.709721278595068,0.7122689524260659,7.820738781622895,5.534398332602969,6.752458042554594,all,2,0.0,,4,79,14.101537359696428,0.5065021540860246,18.4253359385411,15.109023219855285,19.257627331265333,1.0,166,0.12833429421450293,498,0.11905008524241277,0.5716884206492416,0.15569700613523577,0.11905008524241277,0.12833429421450296,0.16952360966767657
79,,isobaric,0.0,0,,,,,,direction,2,0.0,,2,79,14.101537359696428,0.5065021540860246,18.4253359385411,15.109023219855285,19.257627331265333,1.0,79,0.1247980287429109,237,0.1255658762057874,0.5838943734004611,0.16107477195492653,0.12556587620578738,0.1247980287429109,0.15924331327811952
87,,isothermal,0.0,87,6.709721278595068,0.7122689524260659,7.820738781622895,5.534398332602969,6.752458042554594,direction,2,0.0,,2,0,,,,,,1.0,87,0.13187055968609498,261,0.11313344747107262,0.5582361016097332,0.15064753301735692,0.11313344747107265,0.13187055968609498,0.17921516578047797
166,3,,0.0,87,6.709721278595068,0.7122689524260659,7.820738781622895,5.534398332602969,6.752458042554594,cardinality,2,0.0,,4,79,14.101537359696428,0.5065021540860246,18.4253359385411,15.109023219855285,19.257627331265333,1.0,166,0.12833429421450293,498,0.11905008524241277,0.5716884206492416,0.15569700613523577,0.11905008524241277,0.12833429421450296,0.16952360966767657
79,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,2,79,14.101537359696428,0.5065021540860246,18.4253359385411,15.109023219855285,19.257627331265333,1.0,79,0.1247980287429109,237,0.1255658762057874,0.5838943734004611,0.16107477195492653,0.12556587620578738,0.1247980287429109,0.15924331327811952
87,3,isothermal,0.0,87,6.709721278595068,0.7122689524260659,7.820738781622895,5.534398332602969,6.752458042554594,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.13187055968609498,261,0.11313344747107262,0.5582361016097332,0.15064753301735692,0.11313344747107265,0.13187055968609498,0.17921516578047797
43,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,0/3,1,43,3.7388256552053303,0.2461836873801433,4.110964441011295,3.7388256552053303,4.110964441011295,1.0,43,0.13346373582394547,129,0.1334637358239455,0.23100103372506742,0.17882726196491416,0.13346373582394547,0.1334637358239455,0.17882726196491416
21,,,0.0,21,3.2621073036849118,0.9459557178920303,3.9366283839788574,3.2621073036849118,3.9366283839788574,binary_subsystem_coverage,2,0.0,1/3,1,0,,,,,,1.0,21,0.1680956433018049,63,0.16809564330180485,0.5752223990182328,0.22435828957118437,0.16809564330180488,0.16809564330180485,0.22435828957118437
36,,,0.0,0,,,,,,binary_subsystem_coverage,2,0.0,2/3,1,36,26.479220784505237,-28.48020722954596,26.922340021337963,26.479220784505237,26.922340021337963,1.0,36,0.11613232166187631,108,0.11613232166187633,0.7850118739942353,0.13688563118793223,0.1161323216618763,0.11613232166187633,0.13688563118793223
66,,,0.0,66,7.806689361521025,0.33543888380292974,8.700249203291389,7.806689361521025,8.700249203291389,binary_subsystem_coverage,2,0.0,3/3,1,0,,,,,,1.0,66,0.0956454760703851,198,0.09564547607038511,0.5368970662438313,0.11789617971817831,0.09564547607038508,0.09564547607038511,0.11789617971817831
166,,,0.0,64,2.288994125478438,0.9472883725187317,3.0025128935331997,2.288994125478438,3.0025128935331997,all,3,0.0,,4,102,3.018231655943629,0.9879871988791933,3.5755143174196764,2.7101316539572298,3.262264975808226,1.0,166,0.047831942171704,498,0.0506840337672327,0.8457044893681037,0.0883409935974092,0.050684033767232683,0.04783194217170401,0.08585174725782777
102,,isobaric,0.0,0,,,,,,direction,3,0.0,,3,102,3.018231655943629,0.9879871988791933,3.5755143174196764,2.7101316539572298,3.262264975808226,1.0,102,0.05227112220553379,306,0.060829685028106754,0.7432426876128775,0.10709220314767541,0.06082968502810675,0.05227112220553379,0.09577478651215265
64,,isothermal,0.0,64,2.288994125478438,0.9472883725187317,3.0025128935331997,2.288994125478438,3.0025128935331997,direction,3,0.0,,1,0,,,,,,1.0,64,0.03451440207021466,192,0.03451440207021466,0.967272625580546,0.044313212866395724,0.03451440207021467,0.03451440207021466,0.044313212866395724
166,3,,0.0,64,2.288994125478438,0.9472883725187317,3.0025128935331997,2.288994125478438,3.0025128935331997,cardinality,3,0.0,,4,102,3.018231655943629,0.9879871988791933,3.5755143174196764,2.7101316539572298,3.262264975808226,1.0,166,0.047831942171704,498,0.0506840337672327,0.8457044893681037,0.0883409935974092,0.050684033767232683,0.04783194217170401,0.08585174725782777
