attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,3.3235738244317985,0.961257496885725,4.145013207874623,3.78328811746304,4.694563949011654,all,0,0.0,,4,61,8.30641411452998,0.9279615279762521,9.03868987967192,7.073937434706577,7.959995476053,1.0,166,0.058359094479509606,498,0.06029476312242418,0.8462704784256564,0.09576578146080646,0.06029476312242418,0.06318376763479804,0.0975752254910358
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,8.30641411452998,0.9279615279762521,9.03868987967192,7.073937434706577,7.959995476053,1.0,61,0.08103436865708875,183,0.10020777389902236,0.5750510462763031,0.14444227331274312,0.10020777389902234,0.08103436865708875,0.12375494694109072
105,,isothermal,0.0,105,3.3235738244317985,0.961257496885725,4.145013207874623,3.78328811746304,4.694563949011654,direction,0,0.0,,2,0,,,,,,1.0,105,0.04533316661250733,315,0.03710720448078145,0.9638513868056658,0.04876789573320319,0.03710720448078144,0.04533316661250734,0.06104557614488363
166,3,,0.0,105,3.3235738244317985,0.961257496885725,4.145013207874623,3.78328811746304,4.694563949011654,cardinality,0,0.0,,4,61,8.30641411452998,0.9279615279762521,9.03868987967192,7.073937434706577,7.959995476053,1.0,166,0.058359094479509606,498,0.06029476312242418,0.8462704784256564,0.09576578146080646,0.06029476312242418,0.06318376763479804,0.0975752254910358
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,8.30641411452998,0.9279615279762521,9.03868987967192,7.073937434706577,7.959995476053,1.0,61,0.08103436865708875,183,0.10020777389902236,0.5750510462763031,0.14444227331274312,0.10020777389902234,0.08103436865708875,0.12375494694109072
105,3,isothermal,0.0,105,3.3235738244317985,0.961257496885725,4.145013207874623,3.78328811746304,4.694563949011654,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.04533316661250733,315,0.03710720448078145,0.9638513868056658,0.04876789573320319,0.03710720448078144,0.04533316661250734,0.06104557614488363
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,10.081180533475681,-3.821843071023487,10.397226153080767,10.081180533475681,10.397226153080767,1.0,43,0.1278174774474067,129,0.12781747744740674,0.3061736977015542,0.16986199826669007,0.1278174774474067,0.12781747744740674,0.16986199826669007
21,,,0.0,21,4.549478605848442,0.8949065081982761,5.489558965393722,4.549478605848442,5.489558965393722,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.059043103498717144,63,0.05904310349871716,0.9495899185926276,0.0772894142464184,0.05904310349871715,0.05904310349871716,0.0772894142464184
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,4.066694335937474,0.8844182380970623,4.315176042673317,4.066694335937474,4.315176042673317,1.0,18,0.034251259866770765,54,0.034251259866770765,0.9734863494446013,0.042160115389208046,0.034251259866770765,0.034251259866770765,0.042160115389208046
84,,,0.0,84,3.0170976290776377,0.960948587685388,3.7339796073606495,3.0170976290776377,3.7339796073606495,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.03162322972629752,252,0.03162322972629752,0.9718813684387531,0.03846389448778044,0.03162322972629751,0.03162322972629752,0.03846389448778044
166,,,0.0,66,5.84683715082085,0.6655597202761643,6.171965900273674,5.84683715082085,6.171965900273674,all,1,0.0,,4,100,5.328915673828123,0.939982004339975,5.895963404339144,5.087256897280565,5.608354218212137,1.0,166,0.055604837228447314,498,0.05738001853122588,0.8478878094111181,0.09127237598989889,0.05738001853122589,0.05560483722844732,0.08974010617802561
100,,isobaric,0.0,0,,,,,,direction,1,0.0,,3,100,5.328915673828123,0.939982004339975,5.895963404339144,5.087256897280565,5.608354218212137,1.0,100,0.06378060992514793,300,0.07473966813052695,0.8196416201392113,0.11324333881794141,0.07473966813052695,0.06378060992514793,0.10114460388804226
66,,isothermal,0.0,66,5.84683715082085,0.6655597202761643,6.171965900273674,5.84683715082085,6.171965900273674,direction,1,0.0,,1,0,,,,,,1.0,66,0.03107751913834551,198,0.03107751913834551,0.949274979674036,0.0390186358086275,0.03107751913834551,0.03107751913834551,0.0390186358086275
166,3,,0.0,66,5.84683715082085,0.6655597202761643,6.171965900273674,5.84683715082085,6.171965900273674,cardinality,1,0.0,,4,100,5.328915673828123,0.939982004339975,5.895963404339144,5.087256897280565,5.608354218212137,1.0,166,0.055604837228447314,498,0.05738001853122588,0.8478878094111181,0.09127237598989889,0.05738001853122589,0.05560483722844732,0.08974010617802561
100,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,3,100,5.328915673828123,0.939982004339975,5.895963404339144,5.087256897280565,5.608354218212137,1.0,100,0.06378060992514793,300,0.07473966813052695,0.8196416201392113,0.11324333881794141,0.07473966813052695,0.06378060992514793,0.10114460388804226
66,3,isothermal,0.0,66,5.84683715082085,0.6655597202761643,6.171965900273674,5.84683715082085,6.171965900273674,direction_cardinality,1,0.0,,1,0,,,,,,1.0,66,0.03107751913834551,198,0.03107751913834551,0.949274979674036,0.0390186358086275,0.03107751913834551,0.03107751913834551,0.0390186358086275
43,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,0/3,1,43,7.1841070982467565,-1.4466498010868807,7.406224293563208,7.1841070982467565,7.406224293563208,1.0,43,0.12261127947848434,129,0.12261127947848435,0.3670850408515979,0.16223461755258314,0.12261127947848435,0.12261127947848435,0.16223461755258314
21,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,1/3,1,21,4.454728480747747,0.04999119135826802,4.50717547520697,4.454728480747747,4.50717547520697,1.0,21,0.018174534347511474,63,0.018174534347511477,0.9957060704638809,0.02113457829525185,0.01817453434751147,0.018174534347511477,0.02113457829525185
66,,,0.0,66,5.84683715082085,0.6655597202761643,6.171965900273674,5.84683715082085,6.171965900273674,binary_subsystem_coverage,1,0.0,2/3,1,0,,,,,,1.0,66,0.03107751913834551,198,0.03107751913834551,0.949274979674036,0.0390186358086275,0.03107751913834551,0.03107751913834551,0.0390186358086275
36,,,0.0,0,,,,,,binary_subsystem_coverage,1,0.0,3/3,1,36,3.622935112847194,0.21931978262734042,4.381109683623611,3.622935112847194,4.381109683623611,1.0,36,0.050556015949447954,108,0.05055601594944795,0.9549782532175962,0.0626414491758921,0.050556015949447954,0.05055601594944795,0.0626414491758921
166,,,0.0,87,3.548674208602908,0.8946567598321468,4.732141834746424,3.862586361288175,5.410259492712738,all,2,0.0,,4,79,6.926496659290945,0.9184140541647405,7.491701423322553,6.804375326072832,7.391433996015178,1.0,166,0.06479178916353175,498,0.06344669803129621,0.8294148835608148,0.09825867919486679,0.06344669803129621,0.06479178916353173,0.09899804578886578
