attempted_samples_available_seeds,attempted_samples_mean,attempted_samples_seed_ids,attempted_samples_std,component_count,direction,nonphysical_rate_available_seeds,nonphysical_rate_mean,nonphysical_rate_seed_ids,nonphysical_rate_std,pressure_count_available_seeds,pressure_count_mean,pressure_count_seed_ids,pressure_count_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_mean,pressure_mae_kpa_seed_ids,pressure_mae_kpa_std,pressure_r2_available_seeds,pressure_r2_mean,pressure_r2_seed_ids,pressure_r2_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_mean,pressure_rmse_kpa_seed_ids,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_seed_ids,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_available_seeds,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_seed_ids,pressure_system_macro_rmse_kpa_std,scope,scope_available_seeds,scope_seed_ids,seeds,solver_failure_rate_available_seeds,solver_failure_rate_mean,solver_failure_rate_seed_ids,solver_failure_rate_std,subgroup,systems_available_seeds,systems_mean,systems_seed_ids,systems_std,temperature_count_available_seeds,temperature_count_mean,temperature_count_seed_ids,temperature_count_std,temperature_mae_k_available_seeds,temperature_mae_k_mean,temperature_mae_k_seed_ids,temperature_mae_k_std,temperature_r2_available_seeds,temperature_r2_mean,temperature_r2_seed_ids,temperature_r2_std,temperature_rmse_k_available_seeds,temperature_rmse_k_mean,temperature_rmse_k_seed_ids,temperature_rmse_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_seed_ids,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_available_seeds,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_seed_ids,temperature_system_macro_rmse_k_std,valid_coverage_available_seeds,valid_coverage_mean,valid_coverage_seed_ids,valid_coverage_std,valid_samples_available_seeds,valid_samples_mean,valid_samples_seed_ids,valid_samples_std,y_component_macro_mae_available_seeds,y_component_macro_mae_mean,y_component_macro_mae_seed_ids,y_component_macro_mae_std,y_component_values_available_seeds,y_component_values_mean,y_component_values_seed_ids,y_component_values_std,y_mae_available_seeds,y_mae_mean,y_mae_seed_ids,y_mae_std,y_r2_available_seeds,y_r2_mean,y_r2_seed_ids,y_r2_std,y_rmse_available_seeds,y_rmse_mean,y_rmse_seed_ids,y_rmse_std,y_sample_macro_mae_available_seeds,y_sample_macro_mae_mean,y_sample_macro_mae_seed_ids,y_sample_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_mean,y_system_macro_mae_seed_ids,y_system_macro_mae_std,y_system_macro_rmse_available_seeds,y_system_macro_rmse_mean,y_system_macro_rmse_seed_ids,y_system_macro_rmse_std
5,166.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,1.302735392540118,0;1;2;3;4,0.5032515037119629,5,0.9824378607327258,0;1;2;3;4,0.011186433508013507,5,1.8078316365556293,0;1;2;3;4,0.568511474435496,5,1.5693422058949362,0;1;2;3;4,0.5414833003707404,5,2.1508153972417765,0;1;2;3;4,0.8116491399217338,all,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,4.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,1.8137041096665303,0;1;2;3;4,0.8552093051475874,5,0.990204847807339,0;1;2;3;4,0.009786779671442588,5,2.4341381188724096,0;1;2;3;4,1.1479557310670432,5,1.9430785118367297,0;1;2;3;4,1.003739046695012,5,2.542561483492633,0;1;2;3;4,1.2765706026570514,5,1.0,0;1;2;3;4,0.0,5,166.0,0;1;2;3;4,0.0,5,0.04255155868243227,0;1;2;3;4,0.007755933204439388,5,498.0,0;1;2;3;4,0.0,5,0.04248063876881806,0;1;2;3;4,0.006087119147522431,5,0.8798707680965847,0;1;2;3;4,0.01128074409972394,5,0.08085102490075874,0;1;2;3;4,0.003581184080777165,5,0.04248063876881806,0;1;2;3;4,0.006087119147522428,5,0.043298805554135775,0;1;2;3;4,0.006952688659464422,5,0.08030722185277833,0;1;2;3;4,0.00418607295913914
5,43.0,0;1;2;3;4,0.0,,,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,0/3,5,1.0,0;1;2;3;4,0.0,5,43.0,0;1;2;3;4,0.0,5,1.2417130836664216,0;1;2;3;4,0.32878842200446784,5,0.8806082099133052,0;1;2;3;4,0.03247767780432446,5,1.624125162420799,0;1;2;3;4,0.220502147064007,5,1.2417130836664216,0;1;2;3;4,0.32878842200446784,5,1.624125162420799,0;1;2;3;4,0.220502147064007,5,1.0,0;1;2;3;4,0.0,5,43.0,0;1;2;3;4,0.0,5,0.11730424137739248,0;1;2;3;4,0.0027041054937393216,5,129.0,0;1;2;3;4,0.0,5,0.11730424137739245,0;1;2;3;4,0.0027041054937393173,5,0.4502184479436543,0;1;2;3;4,0.01635012751010259,5,0.15119176959386232,0;1;2;3;4,0.002229760303878098,5,0.11730424137739248,0;1;2;3;4,0.0027041054937393155,5,0.11730424137739245,0;1;2;3;4,0.0027041054937393173,5,0.15119176959386232,0;1;2;3;4,0.002229760303878098
5,29.4,0;1;2;3;4,11.502173707608488,,,5,0.0,0;1;2;3;4,0.0,5,8.4,0;1;2;3;4,11.502173707608488,2,3.0139892100920918,0;2,0.2787923815146825,2,0.9475603411800203,0;2,0.006451220416836041,2,3.8740703544051756,0;2,0.23875004835774927,2,3.0139892100920918,0;2,0.2787923815146825,2,3.8740703544051756,0;2,0.23875004835774927,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,1/3,5,1.0,0;1;2;3;4,0.0,5,21.0,0;1;2;3;4,21.0,3,1.778477889772433,1;3;4,1.9397616412646348,3,0.7269104096933598,1;3;4,0.45379600565918626,3,1.936457224876902,1;3;4,1.8999923581817204,3,1.778477889772433,1;3;4,1.9397616412646348,3,1.936457224876902,1;3;4,1.8999923581817204,5,1.0,0;1;2;3;4,0.0,5,29.4,0;1;2;3;4,11.502173707608488,5,0.017552633039336355,0;1;2;3;4,0.008306513524239745,5,88.2,0;1;2;3;4,34.50652112282546,5,0.017552633039336355,0;1;2;3;4,0.008306513524239743,5,0.9940449233662912,0;1;2;3;4,0.0036510498304606082,5,0.022587881059888404,0;1;2;3;4,0.010372719304259904,5,0.01755263303933636,0;1;2;3;4,0.008306513524239747,5,0.017552633039336355,0;1;2;3;4,0.008306513524239743,5,0.022587881059888404,0;1;2;3;4,0.010372719304259904
5,30.8,0;1;2;3;4,21.276747871796573,,,5,0.0,0;1;2;3;4,0.0,5,13.2,0;1;2;3;4,29.51609730299722,1,0.6594498910410977,1,0.0,1,0.9932498945049555,1,0.0,1,0.8768382953899846,1,0.0,1,0.6594498910410977,1,0.0,1,0.8768382953899846,1,0.0,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,2/3,5,1.0,0;1;2;3;4,0.0,5,17.6,0;1;2;3;4,12.739701723352868,4,2.2046569809259067,0;2;3;4,1.8761766247509697,4,-1.6410004115911923,0;2;3;4,3.0014890740905993,4,2.579267116552627,0;2;3;4,2.172638600180324,4,2.2046569809259067,0;2;3;4,1.8761766247509697,4,2.579267116552627,0;2;3;4,2.172638600180324,5,1.0,0;1;2;3;4,0.0,5,30.8,0;1;2;3;4,21.276747871796573,5,0.020353059906757946,0;1;2;3;4,0.020037784300746014,5,92.4,0;1;2;3;4,63.83024361538972,5,0.02035305990675794,0;1;2;3;4,0.02003778430074601,5,0.9828753579393054,0;1;2;3;4,0.02398259201066141,5,0.026362372655847243,0;1;2;3;4,0.02643501016606476,5,0.020353059906757943,0;1;2;3;4,0.020037784300746014,5,0.02035305990675794,0;1;2;3;4,0.02003778430074601,5,0.026362372655847243,0;1;2;3;4,0.02643501016606476
5,62.8,0;1;2;3;4,17.181385275931625,,,5,0.0,0;1;2;3;4,0.0,5,55.6,0;1;2;3;4,32.19937887599697,4,1.2055832666151653,0;2;3;4,0.6789863928819192,4,0.9844821368212482,0;2;3;4,0.01504186724434519,4,1.4542757544773757,0;2;3;4,0.8334675419529328,4,1.2055832666151653,0;2;3;4,0.6789863928819192,4,1.4542757544773757,0;2;3;4,0.8334675419529328,binary_subsystem_coverage,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,3/3,5,1.0,0;1;2;3;4,0.0,5,7.2,0;1;2;3;4,16.09968943799849,1,3.881316494411872,1,0.0,1,0.11500201942731092,1,0.0,1,4.664645871869974,1,0.0,1,3.881316494411872,1,0.0,1,4.664645871869974,1,0.0,5,1.0,0;1;2;3;4,0.0,5,62.8,0;1;2;3;4,17.181385275931625,5,0.01798528789305636,0;1;2;3;4,0.020326688988391177,5,188.4,0;1;2;3;4,51.54415582779487,5,0.01798528789305636,0;1;2;3;4,0.020326688988391173,5,0.9854543567321956,0;1;2;3;4,0.023462333447903317,5,0.02449608974870933,0;1;2;3;4,0.025975401838543424,5,0.01798528789305636,0;1;2;3;4,0.020326688988391173,5,0.01798528789305636,0;1;2;3;4,0.020326688988391173,5,0.02449608974870933,0;1;2;3;4,0.025975401838543424
5,166.0,0;1;2;3;4,0.0,3,,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,1.302735392540118,0;1;2;3;4,0.5032515037119629,5,0.9824378607327258,0;1;2;3;4,0.011186433508013507,5,1.8078316365556293,0;1;2;3;4,0.568511474435496,5,1.5693422058949362,0;1;2;3;4,0.5414833003707404,5,2.1508153972417765,0;1;2;3;4,0.8116491399217338,cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,4.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,1.8137041096665303,0;1;2;3;4,0.8552093051475874,5,0.990204847807339,0;1;2;3;4,0.009786779671442588,5,2.4341381188724096,0;1;2;3;4,1.1479557310670432,5,1.9430785118367297,0;1;2;3;4,1.003739046695012,5,2.542561483492633,0;1;2;3;4,1.2765706026570514,5,1.0,0;1;2;3;4,0.0,5,166.0,0;1;2;3;4,0.0,5,0.04255155868243227,0;1;2;3;4,0.007755933204439388,5,498.0,0;1;2;3;4,0.0,5,0.04248063876881806,0;1;2;3;4,0.006087119147522431,5,0.8798707680965847,0;1;2;3;4,0.01128074409972394,5,0.08085102490075874,0;1;2;3;4,0.003581184080777165,5,0.04248063876881806,0;1;2;3;4,0.006087119147522428,5,0.043298805554135775,0;1;2;3;4,0.006952688659464422,5,0.08030722185277833,0;1;2;3;4,0.00418607295913914
5,88.8,0;1;2;3;4,18.322117781522966,,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,2.6,0;1;2;3;4,0.5477225575051661,5,88.8,0;1;2;3;4,18.322117781522966,5,1.8137041096665303,0;1;2;3;4,0.8552093051475874,5,0.990204847807339,0;1;2;3;4,0.009786779671442588,5,2.4341381188724096,0;1;2;3;4,1.1479557310670432,5,1.9430785118367297,0;1;2;3;4,1.003739046695012,5,2.542561483492633,0;1;2;3;4,1.2765706026570514,5,1.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,0.062199522159025675,0;1;2;3;4,0.0158458689619342,5,266.4,0;1;2;3;4,54.966353344568894,5,0.07206153526074179,0;1;2;3;4,0.015921197431672425,5,0.7675870046640048,0;1;2;3;4,0.06033503183143546,5,0.11094108542492387,0;1;2;3;4,0.012739418740041078,5,0.0720615352607418,0;1;2;3;4,0.01592119743167242,5,0.06128058318370918,0;1;2;3;4,0.016753634876189197,5,0.09985046955380997,0;1;2;3;4,0.013030925985002132
5,77.2,0;1;2;3;4,18.322117781522966,,isothermal,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,1.302735392540118,0;1;2;3;4,0.5032515037119629,5,0.9824378607327258,0;1;2;3;4,0.011186433508013507,5,1.8078316365556293,0;1;2;3;4,0.568511474435496,5,1.5693422058949362,0;1;2;3;4,0.5414833003707404,5,2.1508153972417765,0;1;2;3;4,0.8116491399217338,direction,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.4,0;1;2;3;4,0.5477225575051661,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,0.013324690309488926,0;1;2;3;4,0.003950246446405857,5,231.6,0;1;2;3;4,54.966353344568894,5,0.011163497120640221,0;1;2;3;4,0.0028216719304665554,5,0.9941996494632287,0;1;2;3;4,0.0022850648691764603,5,0.01692946865565907,0;1;2;3;4,0.0029379169217426306,5,0.011163497120640218,0;1;2;3;4,0.002821671930466554,5,0.013324690309488924,0;1;2;3;4,0.003950246446405858,5,0.01966800796436206,0;1;2;3;4,0.005269316725284753
5,88.8,0;1;2;3;4,18.322117781522966,3,isobaric,5,0.0,0;1;2;3;4,0.0,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,2.6,0;1;2;3;4,0.5477225575051661,5,88.8,0;1;2;3;4,18.322117781522966,5,1.8137041096665303,0;1;2;3;4,0.8552093051475874,5,0.990204847807339,0;1;2;3;4,0.009786779671442588,5,2.4341381188724096,0;1;2;3;4,1.1479557310670432,5,1.9430785118367297,0;1;2;3;4,1.003739046695012,5,2.542561483492633,0;1;2;3;4,1.2765706026570514,5,1.0,0;1;2;3;4,0.0,5,88.8,0;1;2;3;4,18.322117781522966,5,0.062199522159025675,0;1;2;3;4,0.0158458689619342,5,266.4,0;1;2;3;4,54.966353344568894,5,0.07206153526074179,0;1;2;3;4,0.015921197431672425,5,0.7675870046640048,0;1;2;3;4,0.06033503183143546,5,0.11094108542492387,0;1;2;3;4,0.012739418740041078,5,0.0720615352607418,0;1;2;3;4,0.01592119743167242,5,0.06128058318370918,0;1;2;3;4,0.016753634876189197,5,0.09985046955380997,0;1;2;3;4,0.013030925985002132
5,77.2,0;1;2;3;4,18.322117781522966,3,isothermal,5,0.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,1.302735392540118,0;1;2;3;4,0.5032515037119629,5,0.9824378607327258,0;1;2;3;4,0.011186433508013507,5,1.8078316365556293,0;1;2;3;4,0.568511474435496,5,1.5693422058949362,0;1;2;3;4,0.5414833003707404,5,2.1508153972417765,0;1;2;3;4,0.8116491399217338,direction_cardinality,5,0;1;2;3;4,5,5,0.0,0;1;2;3;4,0.0,,5,1.4,0;1;2;3;4,0.5477225575051661,5,0.0,0;1;2;3;4,0.0,0,,,,0,,,,0,,,,0,,,,0,,,,5,1.0,0;1;2;3;4,0.0,5,77.2,0;1;2;3;4,18.322117781522966,5,0.013324690309488926,0;1;2;3;4,0.003950246446405857,5,231.6,0;1;2;3;4,54.966353344568894,5,0.011163497120640221,0;1;2;3;4,0.0028216719304665554,5,0.9941996494632287,0;1;2;3;4,0.0022850648691764603,5,0.01692946865565907,0;1;2;3;4,0.0029379169217426306,5,0.011163497120640218,0;1;2;3;4,0.002821671930466554,5,0.013324690309488924,0;1;2;3;4,0.003950246446405858,5,0.01966800796436206,0;1;2;3;4,0.005269316725284753
