attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,5.369718357680142,0.9748814055457284,14.48811116967122,5.810679725227715,15.45341831653792,all,0,0.0,,57,854,2.583149071007759,0.9832755679100195,4.489982122268503,3.2945002385554125,5.421665948546975,1.0,1676,0.03068218553489631,3520,0.030105266342498944,0.9735031961035026,0.05166472884414107,0.030913413233408227,0.03219516782442092,0.05539917380682466
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.583149071007759,0.9832755679100195,4.489982122268503,3.2945002385554125,5.421665948546975,1.0,854,0.031229601569722376,1771,0.030750921543334513,0.9736863009142874,0.050541541036923585,0.03142322467900147,0.03278975332579914,0.05491254426274261
822,,isothermal,0.0,822,5.369718357680142,0.9748814055457284,14.48811116967122,5.810679725227715,15.45341831653792,direction,0,0.0,,26,0,,,,,,1.0,822,0.033306387415754445,1749,0.029451489692596262,0.9733116388447639,0.05277769441772358,0.03041819641633882,0.031212855552253713,0.05564394384456659
1508,2,,0.0,717,5.855457329892218,0.974754090776332,15.47953158369012,6.085574597475198,16.056093992131654,cardinality,0,0.0,,53,791,2.718304997382665,0.9826962109667547,4.656485861250532,3.4438031554331614,5.578244633830795,1.0,1508,0.03275891868614046,3016,0.03285612497658954,0.9700054678216055,0.05526959966593375,0.03284503677389548,0.033451020939891975,0.057114962907643854
168,3,,0.0,105,2.0528150902891182,0.9841593087886104,2.6504471239078917,2.5119412582579184,3.305743221551224,cardinality,0,0.0,,4,63,0.886191328745051,0.9952727878773459,1.0192245865538698,0.8310021100725518,0.9877556850594386,1.0,168,0.015555114044429406,504,0.013643778960718698,0.9948462268080877,0.019038286766954477,0.013643778960718698,0.015555114044429408,0.022608603298238238
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.718304997382665,0.9826962109667547,4.656485861250532,3.4438031554331614,5.578244633830795,1.0,791,0.03408133854823399,1582,0.032928469752662906,0.9706877670434853,0.053158610652019794,0.032928469752662906,0.0341342135742905,0.05643367500744766
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,0.886191328745051,0.9952727878773459,1.0192245865538698,0.8310021100725518,0.9877556850594386,1.0,63,0.010606159225691645,189,0.012524036531919054,0.9963690442721704,0.016816903279398773,0.012524036531919056,0.010606159225691643,0.014857554296434186
717,2,isothermal,0.0,717,5.855457329892218,0.974754090776332,15.47953158369012,6.085574597475198,16.056093992131654,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.033659750498494456,1434,0.0327763136545895,0.9693325815094074,0.05750863171937626,0.032776313654589495,0.032105254443010926,0.05733649169521239
105,3,isothermal,0.0,105,2.0528150902891182,0.9841593087886104,2.6504471239078917,2.5119412582579184,3.305743221551224,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.020504068863167173,315,0.014315624417998486,0.993764559247255,0.020254511578610784,0.014315624417998486,0.020504068863167173,0.02831167544534813
1685,,,0.0,628,8.641614323927316,0.9847076311635968,16.326342677907654,8.735419193424395,15.87283416798432,all,1,0.0,,57,1057,2.4327386861492597,0.983417477855743,3.5812905902651186,2.643383533349168,3.8976654186288093,1.0,1685,0.040383444839786384,3545,0.03654341027773658,0.9565295199720123,0.06682699107904318,0.035678910084313974,0.03886178917147356,0.06957203981506602
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.4327386861492597,0.983417477855743,3.5812905902651186,2.643383533349168,3.8976654186288093,1.0,1057,0.04324705147112206,2289,0.03915376272182243,0.9481414230369091,0.07150417309906483,0.03787249788163606,0.03867307300853386,0.07016598058519667
