attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
751,,,0.0,294,1.6912236255867739,0.9947831933781902,5.704415557795173,2.6048183002867,8.726540731783427,all,0,0.0,,170,457,0.5916907913575259,0.9989412414654067,0.8408355557177458,0.6423968043712189,0.8983698083820268,1.0,751,0.014462962672553207,1670,0.013958901848609817,0.9895592422553605,0.027626529001616613,0.013449145377303781,0.014395374058809272,0.02734195767530425
457,,isobaric,0.0,0,,,,,,direction,0,0.0,,116,457,0.5916907913575259,0.9989412414654067,0.8408355557177458,0.6423968043712189,0.8983698083820268,1.0,457,0.017879096144797706,1008,0.01675393830496867,0.9841660097458231,0.03371302853820293,0.015715436440363016,0.016298779163701534,0.031590431242332274
294,,isothermal,0.0,294,1.6912236255867739,0.9947831933781902,5.704415557795173,2.6048183002867,8.726540731783427,direction,0,0.0,,60,0,,,,,,1.0,294,0.01046803830626434,662,0.00970301552231114,0.9974053645800187,0.01395531741163819,0.009761126672690766,0.010672642807580889,0.015012945753193221
583,2,,0.0,220,2.068210993535059,0.9945612781565767,6.575320012197647,2.8954700267435287,9.363744112842861,cardinality,0,0.0,,144,363,0.5802709792796535,0.9990702685578368,0.8003447236321055,0.631276800142806,0.8610626964211701,1.0,583,0.01257612348038137,1166,0.011738955399438346,0.9960592641877901,0.017279317967546774,0.011805370206147121,0.012494555627033681,0.01823693714005604
168,3,,0.0,74,0.5704503695243024,0.9981973947450198,0.8636941232451008,0.7155820783173141,1.1071466957311296,cardinality,0,0.0,,26,94,0.635790703956118,0.998352167620245,0.9816441196123483,0.7029390496148004,1.0790913224807945,1.0,168,0.02397559080164704,504,0.01909473034014541,0.961332923856422,0.042874116069905405,0.01909473034014541,0.024922983834797147,0.05519081732360318
363,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,98,363,0.5802709792796535,0.9990702685578368,0.8003447236321055,0.631276800142806,0.8610626964211701,1.0,363,0.014001104893470149,726,0.01283166266757376,0.9952158659558212,0.01886082058050574,0.012831662667573757,0.013566122742520332,0.019822393003472327
94,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,18,94,0.635790703956118,0.998352167620245,0.9816441196123483,0.7029390496148004,1.0790913224807945,1.0,94,0.030957766332881203,282,0.02685171175443217,0.9302904997429504,0.056096436028787645,0.026851711754432173,0.03117657523457697,0.0655133354682821
220,2,isothermal,0.0,220,2.068210993535059,0.9945612781565767,6.575320012197647,2.8954700267435287,9.363744112842861,direction_cardinality,0,0.0,,52,0,,,,,,1.0,220,0.009590124230050016,440,0.009935988407014911,0.9973842892287256,0.014292231651213608,0.009935988407014911,0.010644987364856017,0.014924538653159956
74,3,isothermal,0.0,74,0.5704503695243024,0.9981973947450198,0.8636941232451008,0.7155820783173141,1.1071466957311296,direction_cardinality,0,0.0,,8,0,,,,,,1.0,74,0.012061282784283695,222,0.0092412674625379,0.9965228376690402,0.013262290848097836,0.0092412674625379,0.010852403185292545,0.015575365175481162
751,,,0.0,294,1.7703188526478564,0.9946533635012269,5.774961800126432,2.7004432991691107,8.377028480502458,all,1,0.0,,170,457,0.5842765958356094,0.9988951944895172,0.8589255503446259,0.6384881205963274,0.9078761433560484,1.0,751,0.014755199350613072,1670,0.013682464714981519,0.989929615215545,0.027132096096814513,0.013289947820096132,0.014424414132315032,0.027069291188086486
457,,isobaric,0.0,0,,,,,,direction,1,0.0,,116,457,0.5842765958356094,0.9988951944895172,0.8589255503446259,0.6384881205963274,0.9078761433560484,1.0,457,0.01805149032029984,1008,0.01653072755455315,0.9848501198770021,0.032976698966918724,0.015671586973781154,0.016553474356495988,0.031193559029345733
294,,isothermal,0.0,294,1.7703188526478564,0.9946533635012269,5.774961800126432,2.7004432991691107,8.377028480502458,direction,1,0.0,,60,0,,,,,,1.0,294,0.010841534444768524,662,0.009345532777990275,0.9973191463646561,0.014185286104759026,0.009425848918841533,0.010163155043507286,0.015141457611297779
