protocol,test_subset,scope,component_count,direction,subgroup,requested_seeds,scope_available_seeds,scope_seed_ids,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_seed_ids,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_seed_ids,pressure_r2_mean,pressure_r2_std,pressure_r2_available_seeds,pressure_r2_seed_ids,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_seed_ids,temperature_mae_k_mean,temperature_mae_k_std,temperature_mae_k_available_seeds,temperature_mae_k_seed_ids,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_rmse_k_available_seeds,temperature_rmse_k_seed_ids,temperature_r2_mean,temperature_r2_std,temperature_r2_available_seeds,temperature_r2_seed_ids,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_seed_ids,y_mae_mean,y_mae_std,y_mae_available_seeds,y_mae_seed_ids,y_rmse_mean,y_rmse_std,y_rmse_available_seeds,y_rmse_seed_ids,y_r2_mean,y_r2_std,y_r2_available_seeds,y_r2_seed_ids,y_system_macro_mae_mean,y_system_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_seed_ids,y_component_macro_mae_mean,y_component_macro_mae_std,y_component_macro_mae_available_seeds,y_component_macro_mae_seed_ids,valid_coverage_mean,valid_coverage_std,valid_coverage_available_seeds,valid_coverage_seed_ids,solver_failure_rate_mean,solver_failure_rate_std,solver_failure_rate_available_seeds,solver_failure_rate_seed_ids,nonphysical_rate_mean,nonphysical_rate_std,nonphysical_rate_available_seeds,nonphysical_rate_seed_ids,attempted_samples_mean,attempted_samples_std,attempted_samples_available_seeds,attempted_samples_seed_ids,systems_mean,systems_std,systems_available_seeds,systems_seed_ids
state_composition_interpolation,State interpolation,direction,,isothermal,,5,5,0;1;2;3;4,4.453156100532761,1.0266447130966685,5,0;1;2;3;4,10.052453285859272,2.3679548036497176,5,0;1;2;3;4,0.9830804199582062,0.0078882416148475,5,0;1;2;3;4,5.610637605246612,1.1987077458400917,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.030088598644475,0.0065239199931922,5,0;1;2;3;4,0.0426700334002102,0.0095722255236017,5,0;1;2;3;4,0.974766086006978,0.0116334852839838,5,0;1;2;3;4,0.0300334607562169,0.0079522448081762,5,0;1;2;3;4,0.0294426290070212,0.0076227042578092,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,294.0,0.0,5,0;1;2;3;4,60.0,0.0,5,0;1;2;3;4
state_composition_interpolation,State interpolation,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,1.829723681961156,0.4544233996653395,5,0;1;2;3;4,2.485661036952712,0.577850341436877,5,0;1;2;3;4,0.9903474778439668,0.0048809522600235,5,0;1;2;3;4,1.9961910027643357,0.4653672662684081,5,0;1;2;3;4,0.0338400468181766,0.0077462275872356,5,0;1;2;3;4,0.050082055802739,0.0080079925670128,5,0;1;2;3;4,0.9643423711778638,0.0121747644830892,5,0;1;2;3;4,0.0354171854004761,0.0077528980436889,5,0;1;2;3;4,0.0373838757278632,0.0084032627340254,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,457.0,0.0,5,0;1;2;3;4,116.0,0.0,5,0;1;2;3;4
state_composition_edge_extrapolation,Composition edge,direction,,isothermal,,5,5,0;1;2;3;4,10.475672743722876,3.3478019298816784,5,0;1;2;3;4,24.67572449447913,7.095867123065853,5,0;1;2;3;4,0.8983543217862214,0.0588383579503167,5,0;1;2;3;4,11.71358893192916,3.41744451865593,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0275066166346486,0.0071776051240239,5,0;1;2;3;4,0.0551279267762381,0.0143175450679556,5,0;1;2;3;4,0.9818594751342186,0.0099447687657144,5,0;1;2;3;4,0.0262894511571582,0.0081477360389104,5,0;1;2;3;4,0.0297758540611873,0.0105137632696036,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,309.0,0.0,5,0;1;2;3;4,62.0,0.0,5,0;1;2;3;4
state_composition_edge_extrapolation,Composition edge,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.753381930851786,3.3519820299888865,5,0;1;2;3;4,7.8149191853699005,4.648373560601496,5,0;1;2;3;4,0.9178027897510974,0.1052970440286957,5,0;1;2;3;4,6.245353177702296,3.7222660009499657,5,0;1;2;3;4,0.0369012817595842,0.0148295198573512,5,0;1;2;3;4,0.0657492719616276,0.025299664687803,5,0;1;2;3;4,0.9710166717339452,0.0246912182264471,5,0;1;2;3;4,0.0356280716910434,0.0146347525189193,5,0;1;2;3;4,0.0371850656207535,0.0171856076887973,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,463.0,0.0,5,0;1;2;3;4,118.0,0.0,5,0;1;2;3;4
state_temperature_low_extrapolation,Low temperature,direction,,isothermal,,5,5,0;1;2;3;4,6.246983710309864,2.4723133331513307,5,0;1;2;3;4,13.115558262021244,7.413349448490433,5,0;1;2;3;4,0.9567620565561784,0.0487379439316823,5,0;1;2;3;4,5.261754973360103,1.5933109417576874,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0495064101086923,0.0175692598972637,5,0;1;2;3;4,0.0730996350026948,0.0286084971323307,5,0;1;2;3;4,0.94275511602506,0.0397626235900321,5,0;1;2;3;4,0.0544138917332549,0.0205421218023701,5,0;1;2;3;4,0.0513133206585269,0.0197822421110663,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,351.0,0.0,5,0;1;2;3;4,26.0,0.0,5,0;1;2;3;4
state_temperature_low_extrapolation,Low temperature,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,3.026514628051018,1.1368456512274947,5,0;1;2;3;4,4.209264883365664,1.5320426082722756,5,0;1;2;3;4,0.9633256508388556,0.0293989800332026,5,0;1;2;3;4,3.124296780882716,1.2815557497113033,5,0;1;2;3;4,0.0297349118833756,0.0085491823630233,5,0;1;2;3;4,0.0441481400448631,0.0109441244329913,5,0;1;2;3;4,0.9858562406480096,0.0072574523563219,5,0;1;2;3;4,0.027113102880206,0.0065417093186236,5,0;1;2;3;4,0.0301600983855884,0.0055571670480111,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,491.0,0.0,5,0;1;2;3;4,115.0,0.0,5,0;1;2;3;4
state_temperature_high_extrapolation,High temperature,direction,,isothermal,,5,5,0;1;2;3;4,15.160184657785598,6.81354219955027,5,0;1;2;3;4,32.23725501917549,15.309689004351526,5,0;1;2;3;4,0.9168659716612932,0.0679717310454895,5,0;1;2;3;4,16.49537751274601,6.711505386402091,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0434708802068587,0.0119485253682208,5,0;1;2;3;4,0.0652034846223052,0.0189227748343695,5,0;1;2;3;4,0.9486391392479264,0.0275541379611082,5,0;1;2;3;4,0.0505928765299212,0.0181158839052496,5,0;1;2;3;4,0.0492973335515191,0.0181228768837519,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,311.0,0.0,5,0;1;2;3;4,25.0,0.0,5,0;1;2;3;4
state_temperature_high_extrapolation,High temperature,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.152212441279973,3.377522760960819,5,0;1;2;3;4,6.982302045296521,4.61088589778487,5,0;1;2;3;4,0.926745472828847,0.0908034587000019,5,0;1;2;3;4,5.710598532288636,3.789598077514857,5,0;1;2;3;4,0.0506913423537169,0.0174618287415813,5,0;1;2;3;4,0.0769383670320198,0.0259408342532096,5,0;1;2;3;4,0.938531785532056,0.0403754166393944,5,0;1;2;3;4,0.0534339148987706,0.0197305498882748,5,0;1;2;3;4,0.0548847276307712,0.0206398193916418,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,464.0,0.0,5,0;1;2;3;4,117.0,0.0,5,0;1;2;3;4
state_pressure_low_extrapolation,Low pressure,direction,,isothermal,,5,5,0;1;2;3;4,4.590897788628004,1.2992183929043637,5,0;1;2;3;4,9.379081116667487,1.35156368032504,5,0;1;2;3;4,0.93014991181685,0.0205833643545239,5,0;1;2;3;4,6.998884823005943,1.474994175952847,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0673189940110105,0.028879252570965,5,0;1;2;3;4,0.1011148654895832,0.0406946420169725,5,0;1;2;3;4,0.890175215302788,0.0795317620884341,5,0;1;2;3;4,0.0669489197179588,0.0279854714954908,5,0;1;2;3;4,0.0728874393363905,0.0301066771869433,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,287.0,0.0,5,0;1;2;3;4,59.0,0.0,5,0;1;2;3;4
state_pressure_low_extrapolation,Low pressure,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.331681311677626,3.1144359825722847,5,0;1;2;3;4,6.832978968330775,3.844711631987253,5,0;1;2;3;4,0.8533584581869785,0.142282322965923,5,0;1;2;3;4,5.214728333873039,2.926551049318344,5,0;1;2;3;4,0.0680625716749414,0.0259610349507154,5,0;1;2;3;4,0.087930045599929,0.0322067657860513,5,0;1;2;3;4,0.9058020093903778,0.0619337263616917,5,0;1;2;3;4,0.0711175892235563,0.0265098000635834,5,0;1;2;3;4,0.070489921162284,0.0274442555363947,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,190.0,0.0,5,0;1;2;3;4,12.0,0.0,5,0;1;2;3;4
