attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,5.737222095947787,0.9683696696760519,16.25795684124324,6.021428371449006,17.168039879227905,all,0,0.0,,57,854,2.6243268651314557,0.9847853803778592,4.2825207078050616,3.211161263842018,5.233918055197869,1.0,1676,0.03105765835938684,3520,0.03086549195388935,0.973210005937345,0.05194978054839318,0.031556015452231335,0.03245640616968295,0.05566105456152083
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.6243268651314557,0.9847853803778592,4.2825207078050616,3.211161263842018,5.233918055197869,1.0,854,0.03171135226849213,1771,0.03127938257347107,0.9724794670964937,0.0516875500343198,0.031975727443434014,0.03321866405209604,0.055672387271942105
822,,isothermal,0.0,822,5.737222095947787,0.9683696696760519,16.25795684124324,6.021428371449006,17.168039879227905,direction,0,0.0,,26,0,,,,,,1.0,822,0.03284533656860094,1749,0.030446395162992145,0.973878719133205,0.05221396764209244,0.031093835627300052,0.030825070920366956,0.05434834272310766
1508,2,,0.0,717,6.0364544068235295,0.9683584509930719,17.329705187437835,6.2548255829289845,17.833250550114816,cardinality,0,0.0,,53,791,2.685877713325198,0.9844833623237502,4.409471017535051,3.3095758821023518,5.370009158911969,1.0,1508,0.03317192096391924,3016,0.03312511982049692,0.9698615748969609,0.05540201361684337,0.03314568733169267,0.03365117726896997,0.05739482452278121
168,3,,0.0,105,3.6938928873962835,0.9582620711849592,4.302268665365695,3.220661833689268,3.9169899966468886,cardinality,0,0.0,,4,63,1.8515217711433694,0.9795882468118843,2.1179099971076965,1.5873200625465163,1.8928142003469253,1.0,168,0.016625689104129933,504,0.017343591863237733,0.9931600583165913,0.021932665370344804,0.017343591863237733,0.016625689104129933,0.022382632571310894
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.685877713325198,0.9844833623237502,4.409471017535051,3.3095758821023518,5.370009158911969,1.0,791,0.034564335657679586,1582,0.033534800470873184,0.9693079917928945,0.05439535592426137,0.033534800470873184,0.034574802876415504,0.0572218543291428
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,1.8515217711433694,0.9795882468118843,2.1179099971076965,1.5873200625465163,1.8928142003469253,1.0,63,0.010842373450824788,189,0.012400699432253368,0.9965694644577534,0.01634618881677627,0.01240069943225337,0.010842373450824788,0.014599219755392481
717,2,isothermal,0.0,717,6.0364544068235295,0.9683584509930719,17.329705187437835,6.2548255829289845,17.833250550114816,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.03343835995034349,1434,0.032673156927264524,0.9704075208418562,0.056491759312110805,0.03267315692726453,0.03152640976727795,0.055983497102234235
105,3,isothermal,0.0,105,3.6938928873962835,0.9582620711849592,4.302268665365695,3.220661833689268,3.9169899966468886,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.022409004757435073,315,0.020309327321828354,0.990738334038022,0.024684978490892275,0.020309327321828358,0.022409004757435073,0.028086068863021268
1685,,,0.0,628,8.641614960216389,0.9847076290558241,16.326343803051113,8.735419944674446,15.872835406937657,all,1,0.0,,57,1057,2.432738888252426,0.9834174764114368,3.5812907462269155,2.64338414039495,3.8976656706454587,1.0,1685,0.040383446219852355,3545,0.03654341136424333,0.9565295181071873,0.066826992512437,0.03567891108627124,0.038861790227077087,0.06957204062470498
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.432738888252426,0.9834174764114368,3.5812907462269155,2.64338414039495,3.8976656706454587,1.0,1057,0.04324705380060134,2289,0.03915376494106579,0.9481414191992839,0.0715041757447816,0.037872499979363934,0.03867307476481499,0.07016598215352708
628,,isothermal,0.0,628,8.641614960216389,0.9847076290558241,16.326343803051113,8.735419944674446,15.872835406937657,direction,1,0.0,,20,0,,,,,,1.0,628,0.03749097541112818,1256,0.03178616666890366,0.9699391724568949,0.057329921801061674,0.03178616666890366,0.03402940648682207,0.05983093753652683
1510,2,,0.0,628,8.641614960216389,0.9847076290558241,16.326343803051113,8.735419944674446,15.872835406937657,cardinality,1,0.0,,52,882,2.4670400661892384,0.9837772665924999,3.6231227859316517,2.7068584330310568,3.9784527535265943,1.0,1510,0.03729970623516354,3020,0.03339896831293704,0.9660209059078484,0.0598244973664941,0.03345592613075732,0.03775082404063023,0.06706486616107138
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,2.25986095145089,0.9307949105983226,3.362545439374836,2.1609795163605403,3.218074591673164,1.0,175,0.05647084608988996,525,0.054631445678424276,0.8508275355320671,0.09781358845621667,0.05463144567842427,0.05041583856612445,0.09166800694304808
882,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,38,882,2.4670400661892384,0.9837772665924999,3.6231227859316517,2.7068584330310568,3.9784527535265943,1.0,882,0.03682808103405106,1764,0.03454731234066148,0.9630442633375129,0.06153907847355767,0.03454731234066149,0.037127974264642705,0.06682366420838247
175,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,5,175,2.25986095145089,0.9307949105983226,3.362545439374836,2.1609795163605403,3.218074591673164,1.0,175,0.05647084608988996,525,0.054631445678424276,0.8508275355320671,0.09781358845621667,0.05463144567842427,0.05041583856612445,0.09166800694304808
628,2,isothermal,0.0,628,8.641614960216389,0.9847076290558241,16.326343803051113,8.735419944674446,15.872835406937657,direction_cardinality,1,0.0,,20,0,,,,,,1.0,628,0.03749097541112818,1256,0.03178616666890366,0.9699391724568949,0.057329921801061674,0.03178616666890366,0.03402940648682207,0.05983093753652683
1804,,,0.0,882,6.5416061948509965,0.973446347712028,15.736866248857984,5.906258786056136,14.692146247371234,all,2,0.0,,55,922,2.162894923940394,0.9820213818169176,4.038331716287515,2.6676088803630758,5.213663215663585,1.0,1804,0.0243003185365167,3779,0.02397702966602246,0.9814835334542669,0.0423050702731413,0.023556382120879356,0.025887548578723475,0.04964544220094419
922,,isobaric,0.0,0,,,,,,direction,2,0.0,,33,922,2.162894923940394,0.9820213818169176,4.038331716287515,2.6676088803630758,5.213663215663585,1.0,922,0.030808305581398507,1928,0.02600767979250122,0.9759557446605985,0.04701467389375141,0.025258500798135918,0.030084182725310292,0.057505261556554256
882,,isothermal,0.0,882,6.5416061948509965,0.973446347712028,15.736866248857984,5.906258786056136,14.692146247371234,direction,2,0.0,,27,0,,,,,,1.0,882,0.021922534244236173,1851,0.021861906249571322,0.9866941771748354,0.03676355890480987,0.021967368424255774,0.021279662058412228,0.036360818496910925
1633,2,,0.0,795,7.04500362566686,0.9731493730488416,16.554561052857014,6.195860111691038,15.243032486658917,cardinality,2,0.0,,50,838,2.2558942305899428,0.9810187434636566,4.202171362529878,2.7610439635803115,5.4204476754329525,1.0,1633,0.02179730563573454,3266,0.022891289008160356,0.9837266779863573,0.04063829967888429,0.022779467379194927,0.023715829030557977,0.045730547721386995
171,3,,0.0,87,1.941595189119821,0.9700519196732379,2.5231258414559017,2.2862422156198687,3.118202352993398,cardinality,2,0.0,,5,84,1.2351161266508512,0.9957969599935702,1.6849503549201759,1.7332580481907176,2.278726699043581,1.0,171,0.04491350424628927,513,0.030889366875725417,0.9362988149937739,0.051670767536342616,0.030889366875725414,0.04760474406037841,0.07873080271164304
838,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,30,838,2.2558942305899428,0.9810187434636566,4.202171362529878,2.7610439635803115,5.4204476754329525,1.0,838,0.02241862701685482,1676,0.02353485270608784,0.9812324606597473,0.04273106915185577,0.02353485270608784,0.026622642666991127,0.051548455395358316
84,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,3,84,1.2351161266508512,0.9957969599935702,1.6849503549201759,1.7332580481907176,2.278726699043581,1.0,84,0.06469958330850195,252,0.04245394247832989,0.8515545466579603,0.0690447633812201,0.042453942478329884,0.06469958330850195,0.09900996736234402
795,2,isothermal,0.0,795,7.04500362566686,0.9731493730488416,16.554561052857014,6.195860111691038,15.243032486658917,direction_cardinality,2,0.0,,25,0,,,,,,1.0,795,0.021522711833403475,1590,0.02221291620455881,0.9861420972479907,0.03830876705593756,0.02221291620455881,0.021225036208029756,0.036939502281889004
87,3,isothermal,0.0,87,1.941595189119821,0.9700519196732379,2.5231258414559017,2.2862422156198687,3.118202352993398,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.02196248518819309,261,0.019723569742176268,0.9874471065734783,0.025394451337996577,0.019723569742176265,0.02196248518819309,0.02814050076687521
1691,,,0.0,764,13.788278790231765,0.9373582294156046,32.899815138640854,12.382662094515643,26.790176533955332,all,3,0.0,,48,927,3.095121683163924,0.9575400516065474,5.602201809167902,3.818432291720015,6.537519962924832,1.0,1691,0.028529696075114474,3548,0.0253292532532008,0.975769488335053,0.04933093032075427,0.02591143986251538,0.0320661993515769,0.05957162282956131
