attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,3.669524401308739,0.9941346667288147,7.001005996369568,3.8909976239940134,7.365343644056867,all,0,0.0,,57,854,2.3932500177244913,0.9873910948753862,3.898590413434146,2.8665610041993927,4.488518201987751,1.0,1676,0.030815856699496054,3520,0.030450030055630066,0.9760704055203732,0.04909814431625259,0.031003286823845518,0.03170315779437443,0.05258000227297581
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.3932500177244913,0.9873910948753862,3.898590413434146,2.8665610041993927,4.488518201987751,1.0,854,0.029834010177329073,1771,0.03021895658015555,0.9752652329504705,0.049001733039635176,0.030677405543313354,0.03168582015844021,0.052952850303461044
822,,isothermal,0.0,822,3.669524401308739,0.9941346667288147,7.001005996369568,3.8909976239940134,7.365343644056867,direction,0,0.0,,26,0,,,,,,1.0,822,0.03151534798013867,1749,0.03068401011570174,0.9768114723824914,0.049195575791324074,0.03118114080918165,0.029910248009285365,0.04931349795141106
1508,2,,0.0,717,3.8920002801331495,0.9942227482868119,7.404964000206023,4.014265108396972,7.608493916080444,cardinality,0,0.0,,53,791,2.3884195629172895,0.9873683990696196,3.978477269493489,2.900705366232965,4.578379798786191,1.0,1508,0.03285014457772062,3016,0.03203189684455764,0.9737003018172297,0.051753610715879445,0.032123959626017336,0.03242418135138553,0.05387368735559107
168,3,,0.0,105,2.150331971622052,0.9790834753124964,3.0456279135393323,2.4117878111585127,3.2492422013814157,cardinality,0,0.0,,4,63,2.453899061414914,0.9667894299275609,2.7015033561968758,2.303179030645447,2.5890457249083574,1.0,168,0.0221495956639774,504,0.020983938318714205,0.9885106358084181,0.028425833708788477,0.020983938318714205,0.022149595663977402,0.030657773860097385
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.3884195629172895,0.9873683990696196,3.978477269493489,2.900705366232965,4.578379798786191,1.0,791,0.03220283776428937,1582,0.03170384437233038,0.9727164279345322,0.05128611295658397,0.03170384437233038,0.03248499141974499,0.05423771704334201
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,2.453899061414914,0.9667894299275609,2.7015033561968758,2.303179030645447,2.5890457249083574,1.0,63,0.018499494346911234,189,0.017789895801210688,0.9937916662267258,0.021989891085241048,0.01778989580121068,0.018499494346911238,0.023054978656426126
717,2,isothermal,0.0,717,3.8920002801331495,0.9942227482868119,7.404964000206023,4.014265108396972,7.608493916080444,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.031773940186912146,1434,0.032393806894113815,0.9746706023061742,0.052264506780195764,0.032393806894113815,0.030252793928305516,0.050220686215430035
105,3,isothermal,0.0,105,2.150331971622052,0.9790834753124964,3.0456279135393323,2.4117878111585127,3.2492422013814157,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.025799696981043573,315,0.022900363829216314,0.9847594841267593,0.031665622515577585,0.022900363829216317,0.02579969698104357,0.03671874392276343
1685,,,0.0,628,10.835394061836217,0.9780068625463167,19.579207990187836,10.357527935539542,18.628930894326064,all,1,0.0,,57,1057,2.487284465634602,0.9830867182022273,3.6168309557680773,2.8143404898895192,3.9686190911453516,1.0,1685,0.04064022552810719,3545,0.03473331352471097,0.9610079320687825,0.06329112618639533,0.034032346609301746,0.03872477831166273,0.0677976284271835
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.487284465634602,0.9830867182022273,3.6168309557680773,2.8143404898895192,3.9686190911453516,1.0,1057,0.044567402623803404,2289,0.037733175190219355,0.9526869055061994,0.06829859472482974,0.03647990885362852,0.03968097377107841,0.06921056081857176
628,,isothermal,0.0,628,10.835394061836217,0.9780068625463167,19.579207990187836,10.357527935539542,18.628930894326064,direction,1,0.0,,20,0,,,,,,1.0,628,0.032611672875564414,1256,0.02926620894481553,0.9743460084974144,0.05296126582644141,0.02926620894481553,0.030193176994677974,0.05492420501609955
1510,2,,0.0,628,10.835394061836217,0.9780068625463167,19.579207990187836,10.357527935539542,18.628930894326064,cardinality,1,0.0,,52,882,2.4504234981753075,0.9836342216037846,3.639061286725781,2.8547096255993916,4.040613254845334,1.0,1510,0.037198590459385734,3020,0.03157995508727686,0.9685736290492891,0.05753343136674257,0.031822527549507096,0.03757913640234254,0.06594372449965179
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,2.673063741629449,0.9249080260412673,3.5026432443861717,2.507535058494491,3.371593214998985,1.0,175,0.05627020393862236,525,0.05287263253623673,0.8751498979960117,0.08948480796025014,0.05287263253623674,0.0506394541685927,0.08470615126884753
882,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,38,882,2.4504234981753075,0.9836342216037846,3.639061286725781,2.8547096255993916,4.040613254845334,1.0,882,0.038225009791983254,1764,0.03322738431342847,0.9641884474435098,0.06057893464601348,0.03322738431342847,0.03823906845561601,0.0669050218446796
175,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,5,175,2.673063741629449,0.9249080260412673,3.5026432443861717,2.507535058494491,3.371593214998985,1.0,175,0.05627020393862236,525,0.05287263253623673,0.8751498979960117,0.08948480796025014,0.05287263253623674,0.0506394541685927,0.08470615126884753
628,2,isothermal,0.0,628,10.835394061836217,0.9780068625463167,19.579207990187836,10.357527935539542,18.628930894326064,direction_cardinality,1,0.0,,20,0,,,,,,1.0,628,0.032611672875564414,1256,0.02926620894481553,0.9743460084974144,0.05296126582644141,0.02926620894481553,0.030193176994677974,0.05492420501609955
1804,,,0.0,882,7.708337355564767,0.957611437318306,19.882933821776806,7.466104249809202,19.104264283951085,all,2,0.0,,55,922,2.2828160177963053,0.9832553599057487,3.897281212281827,2.9347123390066936,5.010732457235366,1.0,1804,0.026512133784189484,3779,0.024985779808330656,0.981173688194927,0.04265755771215264,0.024726654239897727,0.02925563162417254,0.051251873217278865
