attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1676,,,0.0,822,5.16398435849671,0.9867324456638875,10.529543427097662,5.485803393993309,11.07101047341945,all,0,0.0,,57,854,2.7918748370489905,0.9843466432162166,4.3438284374456835,3.426489670698849,5.095611515303312,1.0,1676,0.030589252742986933,3520,0.02933004398856955,0.9755046351242278,0.049675170350868825,0.030181452385636645,0.032316947617688226,0.05455696406377695
854,,isobaric,0.0,0,,,,,,direction,0,0.0,,35,854,2.7918748370489905,0.9843466432162166,4.3438284374456835,3.426489670698849,5.095611515303312,1.0,854,0.0329664546878456,1771,0.03170381135902526,0.9729564274765267,0.05123769201884529,0.0323556966095826,0.034430605601561075,0.05669291770456858
822,,isothermal,0.0,822,5.16398435849671,0.9867324456638875,10.529543427097662,5.485803393993309,11.07101047341945,direction,0,0.0,,26,0,,,,,,1.0,822,0.03052084694752566,1749,0.02692641790905151,0.9778869078787785,0.04804123892627134,0.027947127128976287,0.028589957114607958,0.0503420768439777
1508,2,,0.0,717,5.398219785378172,0.9869081902109532,11.147106486561569,5.597084030577,11.422093574468093,cardinality,0,0.0,,53,791,2.8430143157148726,0.9840963854872549,4.464117354633127,3.516441215488848,5.219654186306944,1.0,1508,0.033286473592767096,3016,0.032208988974828476,0.9722802147294034,0.053132494188361905,0.03220364677327063,0.03363049196526204,0.05624148712128962
168,3,,0.0,105,3.5644910149347244,0.9561204512825124,4.4112650862586955,4.150435754989024,5.272939241680818,cardinality,0,0.0,,4,63,2.149790271577364,0.9746703901808861,2.3592914624356838,1.942289181663862,2.2029435771674706,1.0,168,0.014912485012335204,504,0.01210207161048043,0.9951566031272617,0.018456113044871,0.01210207161048043,0.014912485012335202,0.022437660229257122
791,2,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,33,791,2.8430143157148726,0.9840963854872549,4.464117354633127,3.516441215488848,5.219654186306944,1.0,791,0.03635748088714578,1582,0.033815227303308326,0.9699656266400666,0.05380943817433529,0.033815227303308326,0.03577467715303795,0.058235162722552025
63,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,63,2.149790271577364,0.9746703901808861,2.3592914624356838,1.942289181663862,2.2029435771674706,1.0,63,0.012253425002192696,189,0.014030477899470657,0.9953265335188539,0.019078978372237626,0.014030477899470655,0.012253425002192696,0.017014909246962806
717,2,isothermal,0.0,717,5.398219785378172,0.9869081902109532,11.147106486561569,5.597084030577,11.422093574468093,direction_cardinality,0,0.0,,24,0,,,,,,1.0,717,0.03087576529872582,1434,0.030436974305612905,0.9745628710680708,0.052375534800777,0.030436974305612905,0.029508158122285483,0.05182408630493774
105,3,isothermal,0.0,105,3.5644910149347244,0.9561204512825124,4.4112650862586955,4.150435754989024,5.272939241680818,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.017571545022477705,315,0.010945027837086294,0.9950359004189463,0.018072092422381676,0.010945027837086292,0.017571545022477708,0.02678413815012149
1685,,,0.0,628,16.630065588989055,0.9259800757116701,35.91913288643183,15.469311638616649,33.61294996061377,all,1,0.0,,57,1057,2.106998175528109,0.9845740278987489,3.4541447994399843,2.436536429367765,3.8367198620918144,1.0,1685,0.038996106629636255,3545,0.03361149682762594,0.9608121177046277,0.0634498480974632,0.03291344064117072,0.03557681776594411,0.06489088271615442
1057,,isobaric,0.0,0,,,,,,direction,1,0.0,,43,1057,2.106998175528109,0.9845740278987489,3.4541447994399843,2.436536429367765,3.8367198620918144,1.0,1057,0.04034951799270366,2289,0.03375345663036444,0.9586914062720001,0.06381772177760628,0.03230400264418945,0.03372393367267505,0.06160642086576143
628,,isothermal,0.0,628,16.630065588989055,0.9259800757116701,35.91913288643183,15.469311638616649,33.61294996061377,direction,1,0.0,,20,0,,,,,,1.0,628,0.03580560001362958,1256,0.03335278186865424,0.9639590639672269,0.06277387152034093,0.03335278186865424,0.03321920213437925,0.06324918789164605
1510,2,,0.0,628,16.630065588989055,0.9259800757116701,35.91913288643183,15.469311638616649,33.61294996061377,cardinality,1,0.0,,52,882,2.1125853758658493,0.9846749963313176,3.5214484096051795,2.479581100224634,3.930502287928651,1.0,1510,0.035423858370100765,3020,0.030542965014129387,0.9690422682577662,0.05710284241665289,0.030761196321544143,0.034344730685461004,0.06245864845208789
175,3,,0.0,0,,,,,,cardinality,1,0.0,,5,175,2.078838685825894,0.9414558867601543,3.0927211256747644,2.109396930855559,3.030570803054535,1.0,175,0.054516270800669966,525,0.05126286078335843,0.8686048830231712,0.09180037866096968,0.051262860783358406,0.04839052340296845,0.08620999448539528
882,2,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,38,882,2.1125853758658493,0.9846749963313176,3.5214484096051795,2.479581100224634,3.930502287928651,1.0,882,0.03365123875387585,1764,0.02854232444197338,0.9729038948458331,0.052694281987042554,0.02854232444197338,0.03179411923447855,0.05759186739128455
175,3,isobaric,0.0,0,,,,,,direction_cardinality,1,0.0,,5,175,2.078838685825894,0.9414558867601543,3.0927211256747644,2.109396930855559,3.030570803054535,1.0,175,0.054516270800669966,525,0.05126286078335843,0.8686048830231712,0.09180037866096968,0.051262860783358406,0.04839052340296845,0.08620999448539528
628,2,isothermal,0.0,628,16.630065588989055,0.9259800757116701,35.91913288643183,15.469311638616649,33.61294996061377,direction_cardinality,1,0.0,,20,0,,,,,,1.0,628,0.03580560001362958,1256,0.03335278186865424,0.9639590639672269,0.06277387152034093,0.03335278186865424,0.03321920213437925,0.06324918789164605
1804,,,0.0,882,6.535090413531266,0.9701617279238923,16.681801783349364,6.034428266006241,15.664320829459767,all,2,0.0,,55,922,2.1500423671366597,0.9836878972345258,3.8466157865315727,2.718383323482643,4.986294628378036,1.0,1804,0.02479377792174731,3779,0.023816349036377204,0.9829857414725612,0.040552709550587866,0.023588376474729663,0.027345791174142802,0.048414966681342646
922,,isobaric,0.0,0,,,,,,direction,2,0.0,,33,922,2.1500423671366597,0.9836878972345258,3.8466157865315727,2.718383323482643,4.986294628378036,1.0,922,0.032200666690273716,1928,0.02591612928255434,0.9779487133704111,0.04502406778498108,0.025425924167700453,0.03157975326831501,0.05554751733796898
882,,isothermal,0.0,882,6.535090413531266,0.9701617279238923,16.681801783349364,6.034428266006241,15.664320829459767,direction,2,0.0,,27,0,,,,,,1.0,882,0.02062381115408039,1851,0.021629219747004155,0.9877337787507718,0.0352981606664389,0.02179973088271556,0.022166659945934652,0.035965166576059464
1633,2,,0.0,795,7.0429621577615835,0.9698128455147634,17.553007690857243,6.34402733469011,16.25841052007596,cardinality,2,0.0,,50,838,2.2514160549555293,0.9827566576977532,4.0051796799906905,2.836222992754689,5.188743130097543,1.0,1633,0.022275634411793248,3266,0.023275083377253744,0.9853214282663438,0.03859573530297585,0.02319913162408481,0.025424772005181683,0.043857568979719416
171,3,,0.0,87,1.8941934403921665,0.9730044959900729,2.395521853022097,2.1644399074578677,2.882512300039544,cardinality,2,0.0,,5,84,1.1387191481817456,0.9964825111294323,1.5414225690132564,1.5399866307621897,2.064926785521384,1.0,171,0.04480676843830122,513,0.027262301556254805,0.9372349062319071,0.05128971053642565,0.027262301556254805,0.046555982863754015,0.08092734654121704
838,2,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,30,838,2.2514160549555293,0.9827566576977532,4.0051796799906905,2.836222992754689,5.188743130097543,1.0,838,0.023937236872450217,1676,0.024298101421354034,0.9833091551861941,0.040297606466588344,0.024298101421354034,0.028217565715117316,0.04842813912577313
84,3,isobaric,0.0,0,,,,,,direction_cardinality,2,0.0,,3,84,1.1387191481817456,0.9964825111294323,1.5414225690132564,1.5399866307621897,2.064926785521384,1.0,84,0.06520162880029194,252,0.03667729870863259,0.8533590492709298,0.06862382624419332,0.03667729870863259,0.06520162880029194,0.10241067773762275
795,2,isothermal,0.0,795,7.0429621577615835,0.9698128455147634,17.553007690857243,6.34402733469011,16.25841052007596,direction_cardinality,2,0.0,,25,0,,,,,,1.0,795,0.020853500920311168,1590,0.02219673228171156,0.9872701290093004,0.03671651232956542,0.02219673228171156,0.02245299162489366,0.036683500507888565
87,3,isothermal,0.0,87,1.8941934403921665,0.9730044959900729,2.395521853022097,2.1644399074578677,2.882512300039544,direction_cardinality,2,0.0,,2,0,,,,,,1.0,87,0.018587513958947113,261,0.018171959478096945,0.9878590590222455,0.024974286361609352,0.018171959478096942,0.018587513958947116,0.025321298811213453
