attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,1.3821012118753118,0.9929595837808218,1.7669784293109592,1.7616936891656305,2.3088496882007497,all,0,0.0,,4,61,1.6741543929303289,0.9959833965958832,2.1342864912004265,1.8875248414663006,2.348001865103682,1.0,166,0.035679215449700236,498,0.03897969131461797,0.8989548748052449,0.07764069284659905,0.038979691314617974,0.041956648744168865,0.07771372700044273
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,1.6741543929303289,0.9959833965958832,2.1342864912004265,1.8875248414663006,2.348001865103682,1.0,61,0.0666892124716117,183,0.08605617516363659,0.6768351370211696,0.12596155118128133,0.0860561751636366,0.0666892124716117,0.10701794062124001
105,,isothermal,0.0,105,1.3821012118753118,0.9929595837808218,1.7669784293109592,1.7616936891656305,2.3088496882007497,direction,0,0.0,,2,0,,,,,,1.0,105,0.017224085016726027,315,0.011630495935664292,0.9952497469344629,0.01767854709892128,0.01163049593566429,0.017224085016726027,0.02502013416805411
166,3,,0.0,105,1.3821012118753118,0.9929595837808218,1.7669784293109592,1.7616936891656305,2.3088496882007497,cardinality,0,0.0,,4,61,1.6741543929303289,0.9959833965958832,2.1342864912004265,1.8875248414663006,2.348001865103682,1.0,166,0.035679215449700236,498,0.03897969131461797,0.8989548748052449,0.07764069284659905,0.038979691314617974,0.041956648744168865,0.07771372700044273
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,1.6741543929303289,0.9959833965958832,2.1342864912004265,1.8875248414663006,2.348001865103682,1.0,61,0.0666892124716117,183,0.08605617516363659,0.6768351370211696,0.12596155118128133,0.0860561751636366,0.0666892124716117,0.10701794062124001
105,3,isothermal,0.0,105,1.3821012118753118,0.9929595837808218,1.7669784293109592,1.7616936891656305,2.3088496882007497,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.017224085016726027,315,0.011630495935664292,0.9952497469344629,0.01767854709892128,0.01163049593566429,0.017224085016726027,0.02502013416805411
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.3669009470385296,0.8583472729592083,1.7820645230817542,1.3669009470385296,1.7820645230817542,1.0,43,0.11394460144015246,129,0.11394460144015245,0.46563766484137625,0.1490694910171042,0.11394460144015242,0.11394460144015245,0.1490694910171042
21,,,0.0,21,2.3943478179828284,0.9685725063939088,3.0019566515516987,2.3943478179828284,3.0019566515516987,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.026546733485162257,63,0.026546733485162257,0.9903083887577059,0.033889043326005036,0.02654673348516226,0.026546733485162257,0.033889043326005036
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,2.4081487358940716,0.9512709416866382,2.8018692961368017,2.4081487358940716,2.8018692961368017,1.0,18,0.019433823503070952,54,0.019433823503070952,0.989797643168989,0.026152745124059015,0.019433823503070956,0.019433823503070952,0.026152745124059015
84,,,0.0,84,1.1290395603484327,0.9953790415329989,1.2844570945009837,1.1290395603484327,1.2844570945009837,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.007901436548289799,252,0.007901436548289799,0.9980320001225035,0.010175803163535101,0.0079014365482898,0.007901436548289799,0.010175803163535101
